"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"X0021B83B832420742F7471D507766310",0.0114939945976545,0,0.0358482823233019,0.0983264572457093,0,0,0.119560838742116,0.0702957445234686,0,0.05254414942426,0,0.069175938962613,0,0.0325490264546586,0.14644595132085,0.235519627455806,0.00621674359860377,0,0,0.0692011082195988,0.00446158816699378,0.0483605489643664,0.117,0.102967293307674,1.06892076933504
"X04B821125002719A73F3A867800F963D",0.00877529174570314,0.0207840151415361,0.069850974386943,0.056199828012356,0,0.296059305043794,0.0937968852217332,0.044212973291709,0,0.089403192464888,0,0.0132307279650263,0.0534265123128319,0.0423143140337705,0.0447732245124387,0.0627691826620634,0,0.0472340063122409,0,0.0372814844756136,0.0198880824173525,0,0.00600000000000001,0.300526923998215,0.963537149725223
"X06C3B3C45A4F2E3C14CB37119FBAE16E",0.0114248616384961,0.180958412046987,0,0.0638132958998797,0,0.113122915692077,0.0905122267388632,0.01415773025327,0.0275597906097806,0.101016215124015,0,0,0.0453372230251661,0.140063039579613,0.0941516457205991,0.0518785056536259,0,0,0,0.0584354655455153,0.00756867247211285,0,0.002,0.456901720302772,0.888789038125796
"X086017DFE41A8F4141F1781336E0C2B8",0.00964433692924287,0,0.0223478363398359,0,0.0471884800258045,0.263500367066524,0.00433873420778776,0.0379180009932864,0,0.175347946826844,0,0.0585466339868529,0.075040599637476,0.0330612881948079,0.0191420296983089,0.122659939566444,0.00279545018047584,0,0,0.128468356346308,0,0,0.41,0.0296802175210901,1.10649094855504
"X09A005E5F2D2AD18E99CDF6212BC805A",0.0659055432902438,0,0.0769135053358598,0,0.073276200226684,0.253729717570394,0,0,0.000301297675873378,0.154826308045413,0,0,0.046225616497186,0,0,0.204973953563821,0,0.0065203604775524,0,0.0392105423628484,0.0781169549541253,0,0.533,0.0126224047977542,1.08397750207297
"X0AB2B89FAACB27E0139A2EB082F2D73C",0.0658820622310496,0,0.0892747366548626,0.0416604580343269,0,0.0515621621849368,0.126282353277962,0.0464361269097311,0,0.0930837571108143,0,0.0481582576750152,0.031138222168682,0.0154923869670018,0.228602691442244,0.117055205789747,0.0128013145822934,0,0,0.0270657757558788,0.00550448921545508,0,0.002,0.418752400597392,0.914793811040929
"X0C3E07FE8E1DA594D793C0B7ECE4CE95",0.0213707920721216,0,0.147887955084104,0.0190515671057133,0,0.100063064318663,0.15240048591917,0.0551947264620703,0,0.051656632988586,0,0.0705982155663653,0.0512189482876376,0.00512247155490109,0.143040914627618,0.0712216700479447,0.0143897631267083,0.00650596435706925,0,0.06534888688023,0.0249279416010983,0,0.00600000000000001,0.297296521558573,0.966808600136762
"X0DCB6903E401F4F0DADF8DB1D10A0114",0.0119110646383486,0,0.0100348058973966,0,0,0.31438676523142,0.0615166620093091,0.0615825086756187,0,0,0,0.0802443556634576,0.222015826125006,0.0326443628237497,0.114616065817244,0.0150878837047658,0.00957743685562442,0.0305820212088705,0.00536746890096383,0.00364949545070127,0.0267832769975244,0,0.351,0.0370013190369667,1.08467417806389
"X0FC3F1C32140B4389C9A6CF96AFF34E8",0.0134314046823192,0,0.038871296932868,0.039676916665395,0,0.205905955316894,0.0177367280106716,0.0377744311739341,0.0289289116769953,0,0,0.0237100154767496,0.238641110853535,0.00338332594789891,0.0049818628895977,0.113483348891856,0.0546083902088203,0.00122379232223012,0,0.146385135681323,0.031257373268912,0,0.071,0.131212562802256,1.02982389424471
"X13BBE1EF7A41CF6244049CFA3ECDA479",0,0.0544937973914649,0.0217072082253036,0.0311960899866704,0,0.152796029926197,0.0833072801507948,0.00013203942762524,0,0,0,0.0615616066170196,0,0.100687098691321,0.0839428981623455,0.22628521629559,0,0,0,0.142365037211002,0.0265239356425656,0.0150017622721,0.005,0.316128335475554,0.961205074040977
"X13E13C623B872710D9B89540B695CB21",0,0,0.216637105346472,0.107055605122724,0.0161291270101043,0,0.176368067711403,0,0,0.0735125186783113,0,0.0517419446231131,0.0305781661185847,0.0545989866586354,0.0896093334615794,0.108873820869281,0,0,0,0.0694711467357634,0.00263470577515852,0.00278947188886952,0.00700000000000001,0.262132243765969,0.978048705270618
"X15939A1A93AAA49E022044D331A2B8B7",0,0.106030821044838,0.0487231706634469,0,0,0.20689662146763,0.00980301956475001,0.0943139162866795,0.000242297101358549,0.0479694750811826,0,0.0204006970145598,0.111090821437341,0.0426231987788063,0.127408187695116,0.155245773387217,0,0.0193843904634983,0.00986761001357659,0,0,0,0.11,0.104251829719529,1.04602562523203
