"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","B_cells_naive","ICB_Abacus__Bladder__PD-(L)1",-0.479,0.341,40,0.160001183549298,"Bladder","PD-(L)1",0.506514885391912
"2","R vs NR","B_cells_memory","ICB_Abacus__Bladder__PD-(L)1",-0.343,0.407,40,0.400459561947416,"Bladder","PD-(L)1",0.708588151074489
"3","R vs NR","Plasma_cells","ICB_Abacus__Bladder__PD-(L)1",0.296,0.366,40,0.41871118018038,"Bladder","PD-(L)1",0.708588151074489
"4","R vs NR","T_cells_CD8","ICB_Abacus__Bladder__PD-(L)1",-0.819,0.557,40,0.141252693312491,"Bladder","PD-(L)1",0.506514885391912
"5","R vs NR","T_cells_CD4_naive","ICB_Abacus__Bladder__PD-(L)1",0.158,0.283,40,0.576620915698993,"Bladder","PD-(L)1",0.792853759086116
"6","R vs NR","T_cells_CD4_memory_resting","ICB_Abacus__Bladder__PD-(L)1",0.489,0.359,40,0.172484126950704,"Bladder","PD-(L)1",0.506514885391912
"7","R vs NR","T_cells_CD4_memory_activated","ICB_Abacus__Bladder__PD-(L)1",-0.114,0.399,40,0.775607648347009,"Bladder","PD-(L)1",0.859594403391571
"8","R vs NR","T_cells_follicular_helper","ICB_Abacus__Bladder__PD-(L)1",-0.919,0.41,40,0.0248274633095182,"Bladder","PD-(L)1",0.32510651997186
"9","R vs NR","T_cells_regulatory_.Tregs.","ICB_Abacus__Bladder__PD-(L)1",0.241,0.34,40,0.478331417026334,"Bladder","PD-(L)1",0.751663655327096
"10","R vs NR","T_cells_gamma_delta","ICB_Abacus__Bladder__PD-(L)1",-0.425,0.347,40,0.220957941094537,"Bladder","PD-(L)1",0.506514885391912
"11","R vs NR","NK_cells_resting","ICB_Abacus__Bladder__PD-(L)1",0.283,0.436,40,0.516569602370162,"Bladder","PD-(L)1",0.757635416809571
"12","R vs NR","NK_cells_activated","ICB_Abacus__Bladder__PD-(L)1",-0.865,0.405,40,0.03269441668154,"Bladder","PD-(L)1",0.32510651997186
"13","R vs NR","Monocytes","ICB_Abacus__Bladder__PD-(L)1",0.152,0.338,40,0.652584688139282,"Bladder","PD-(L)1",0.844521361121423
"14","R vs NR","Macrophages_M0","ICB_Abacus__Bladder__PD-(L)1",0.386,0.338,40,0.253257442695956,"Bladder","PD-(L)1",0.506514885391912
"15","R vs NR","Macrophages_M1","ICB_Abacus__Bladder__PD-(L)1",-0.539,0.351,40,0.12457845494315,"Bladder","PD-(L)1",0.506514885391912
"16","R vs NR","Macrophages_M2","ICB_Abacus__Bladder__PD-(L)1",-0.082,0.364,40,0.821426107889148,"Bladder","PD-(L)1",0.859594403391571
"17","R vs NR","Dendritic_cells_resting","ICB_Abacus__Bladder__PD-(L)1",-0.751,0.579,40,0.194366981506061,"Bladder","PD-(L)1",0.506514885391912
"18","R vs NR","Dendritic_cells_activated","ICB_Abacus__Bladder__PD-(L)1",-0.091,0.259,40,0.725077096659192,"Bladder","PD-(L)1",0.859594403391571
"19","R vs NR","Mast_cells_resting","ICB_Abacus__Bladder__PD-(L)1",-0.764,3.015,40,0.800010183839804,"Bladder","PD-(L)1",0.859594403391571
"20","R vs NR","Mast_cells_activated","ICB_Abacus__Bladder__PD-(L)1",0.494,0.426,40,0.24629643135389,"Bladder","PD-(L)1",0.506514885391912
"21","R vs NR","Eosinophils","ICB_Abacus__Bladder__PD-(L)1",1.3,0.646,40,0.04433270726889,"Bladder","PD-(L)1",0.32510651997186
"22","R vs NR","Neutrophils","ICB_Abacus__Bladder__PD-(L)1",0.056,0.316,40,0.859594403391571,"Bladder","PD-(L)1",0.859594403391571
