"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM3190466",0.0086871577489702,0,0,0,0,0.109226081044194,0.0471013239320198,0,0,0,0.0208222992438022,0,0.011708200158251,0.113094795912192,0.0406255272465293,0.555980907298142,0,0.0267016492667351,0.0593635877687646,0,0.00668847038039983,0,0.013,0.273434238782632,0.998215869940963
"GSM3190468",0.00343784098133985,0,0,0.100596657493042,0,0.17934204818974,0.0695467812320967,0,0,0.046619122547197,0,0.00694517362096777,0.0725377144396639,0,0.0692503947009398,0.277262777946565,0.0492059733972101,0,0.122538975741687,0,0.00271653970955023,0,0.056,0.128680453889013,1.03164477911174
"GSM3190469",0.025969707713776,0,0,0.0469777240162301,0,0.288541648931785,0.0750730117561482,0.0131013053607864,0,0.0137577223960759,0,0,0.0176037521537577,0.0880479305052938,0.104811512805275,0.058774501982307,0.162584385942678,0,0.104756796435887,0,0,0,0.024,0.189871171688671,1.00627197962017
"GSM3190473",0.00806943160741543,0,0.00185720101542269,0.11038169877784,0,0.0249964788290576,0.205379869225221,0.0333744243553031,0,0.037786455952307,0,0.039506516183859,0.00011774217991755,0.0577242166419276,0.0461005095036138,0.25282485430587,0.0434188031581737,0,0.135517677596011,0,0,0.00294412066806031,0.254,0.0472792909156331,1.06346864440283
"GSM3190474",0,0.00379083173217113,0.000801166487196467,0,0,0.213960125047539,0,0.0346550161972559,0.0249692422688457,0.0929557325200126,0,0.0224287245508298,0,0.0293456274727471,0.0363443000425285,0.339381015581111,0.00214076242159983,0,0.191994731465991,0,0.00723272421217293,0,0.665,-0.00389536826740437,1.09465875234087
"GSM3190475",0.0121000889742012,0,0,0,0,0.203572646285692,0.118124134618589,0,0,0.0695059012500318,0,0.0380192186415147,0,0.164996859321792,0.0504598508739289,0.146390801911129,0.0897792146772931,0,0.107051283445829,0,0,0,0.328,0.0336443567201855,1.07155897437313
"GSM3190476",0,0,0,0,0,0.341567030149802,0.0981930425221963,0,0,0,0.0205819683075004,0.00439453622567494,0.0995777275345808,0,0.0799196107674737,0.220411717009257,0.031105295244583,0.0209545046764127,0.0832243746291861,0,7.01929333325756e-05,0,0.718,-0.00838387751537366,1.08460323154987
"GSM3190477",0.006607236839021,0,0.00106340720532251,0.146839304857962,0,0.0543835804557186,0.295575439653078,0,0,0.00962102575950665,0.0150469586150875,0,0.0274533493905729,0.0299146369917353,0.107376125214283,0.181506112438787,0,0,0.124612822578926,0,0,0,0.00700000000000001,0.307854710667715,0.957728831112091
"GSM3190478",0,0,0.00435966631029854,0.00944079552805843,0,0.200352568561458,0.171977001150932,0.0516182537026117,0,0,0,0.0278089175568967,0.0293162684091946,0.0327332056601312,0.102934405807421,0.245440416922285,0.00668864503414881,0,0.113614026900314,0,0.00371582845624979,0,0.014,0.265122371409206,0.975318797312468
"GSM3190483",0.0174127591791059,0,0,0.0121131749121168,0,0.234636127905468,0.239469414328097,0,0,0,0.0715888570987561,0,0.00316277878422216,0.0526635751065928,0.0460257822556365,0.195694822065023,0,0.0367113314300835,0.0905213769348996,0,0,0,0.774,-0.0135281767749945,1.08441438658716
"GSM3190484",0.0566303886406552,0,0,0.191190250319984,0,0.148120253393388,0.018417920637236,0.0459421919390684,0.00462418423019037,0,0.0365850762809226,0,0.0321116470933838,0.0206594649850493,0.0967973558903807,0.250907518607835,0.0468234348039057,0,0.0511903131780014,0,0,0,0.019,0.210662506795899,1.00262045776834
"GSM3190485",0.0209180982381231,0,0,0.119333620496769,0,0.145462159865096,0.0292559161601779,0.0616329730838754,0,0,0.0356341331290161,0,0.0050688033302294,0.0893095442524656,0.0778522060125317,0.288977697089526,0.0558766630322766,0,0.0706781853099137,0,0,0,0.021,0.20432828399745,1.00481544700675
"GSM3190486",0.0168971223311851,0,0,0.222288241727483,0,0,0.0362271043628877,0.0760984134274899,0.0151559330483969,0.0336080972249238,0,0,0,0.396942780901826,0.0716207645001534,0.08901392624332,0,0,0.0323260170599021,0,0.00982159917243231,0,0.002,0.402825195070284,0.924093975502284
"GSM3190487",0.0354614885960405,0,0,0.15620837323666,0,0.0164867419825524,0.0217549221562707,0.0916229227167646,0.0221364664430466,0,0.0845891615828644,0,0.00103627869744479,0.110561887268651,0.0484329266590322,0.386801552396273,0,0,0.0249072782644007,0,0,0,0.238,0.0493570193178531,1.08361670018836
"GSM3190488",0.0312110803485345,0,0,0.0670439942611868,0,0.059679188861963,0.0382617452468752,0.0416590004725405,0.00906849648302047,0,0.0393476143225564,0,0.00721359693106171,0.238775869600362,0.0810658176316482,0.159458476511592,0.143599820584887,0,0.0827462348045218,0,0,0.000869063939249619,0.024,0.189592175960507,1.0173376825354
"GSM3190489",0.0271548132117601,0,0,0.188899919783837,0,0.00420441164461471,0.0785194894908624,0.0139304329511386,0,0,0,0.018867274648535,0.0167232255350719,0.0998470927128039,0.0666330372642375,0.378191794405755,0.00824543412829378,0,0.0854881252773724,0,0,0.0132949489457174,0.005,0.325260987610611,0.953901625481313
"GSM3190490",0.0865319139045158,0,0,0.267343495264682,0,0,0.122139485211185,0.0487364706929596,0,0,0.0121800349230705,0.00791859487181222,0.0339055488477877,0.0752983780904447,0.0867659051660038,0.142744273956226,0.0366056139830221,0,0.0798302850882914,0,0,0,0.025,0.185003809758178,1.00852266202124
"GSM3190491",0.0164028898568636,0,0,0.170848990533107,0,0,0.0589173751344233,0.0434490656146184,0.00999987465686493,0,0.0497346704001975,0,0,0.383894393074931,0.0507192106238778,0.190280369671052,0,0,0.025753160434065,0,0,0,0.017,0.253459847630549,1.0088743484283
"GSM3190492",0.0538393424696851,0,0,0.313999165402402,0,0,0.101312527410363,0.0527092921829548,0,0,0,0.00378753461660951,0.0173159871073286,0.0900594710688241,0.0742105905607021,0.191353312607024,0.0246068047301833,0,0.0756427944005248,0,0,0.001163177443398,0.013,0.269374001536708,0.975596526215389
"GSM3190493",0.0579379607264969,0,0,0.284741720677557,0,0,0.0997140457866283,0.0528190837894696,0.00537286531548613,0,0.0367264271737437,0,0.0289485638065735,0.147050266706841,0.0356527442681533,0.20286191437802,6.86078083343495e-05,0,0.0481057995626957,0,0,0,0.055,0.132220065992816,1.03716883436306
"GSM3190494",0.0483148619503098,0,0,0.12339334536538,0,0.122844921106509,0.0241660078315341,0.0715820481229082,0,0,0.00759048936753863,0,0.00744742226867471,0.0327572524015353,0.13936600368304,0.330946123646617,0.0257190783110072,0,0.0658724459449452,0,0,0,0.281,0.0426421893376272,1.08127467604364
"GSM3190495",0.0418944873854856,0,0,0.0913866808948719,0,0.11526412566458,0.0759753755122169,0.0485089842014178,0,0,0.0138460907026988,0,0.051261954786997,0,0.0712738808624677,0.410342141456441,0.0136115735891029,0,0.0666347049437204,0,0,0,0.366,0.0285421302814328,1.07828174490131
"GSM3190496",0.0129824458753674,0,0,0.231403351576431,0,0.0100029586643798,0.0925582598925354,0.0505495762756017,0.00443174015982449,0,0.0993643907731256,0,0.0323295080148008,0.0486825889797292,0.084196626449047,0.271514937307748,0.000873721265376841,0,0.0611098947660335,0,0,0,0.005,0.323482395963723,0.954117521422448
"GSM3190497",0.00932706095444712,0,0,0.185361414794004,0,0,0.116794493685818,0.08519100688777,0,0,0,0.0313567396110491,0.0358714423744156,0.0684482509056921,0.156877726504207,0.171306581120531,0.0165363665233628,0,0.113953230497095,0,0.00897568614160762,0,0.019,0.207210562181524,1.00810046511523
"GSM3190498",0.0127449168074353,0,0,0.230320072073247,0,0,0.0689809275458624,0.0337162367991822,0,0,0.00633665373739928,0.0392159320431497,0.0534568997285964,0.111006690584687,0.134744257912662,0.191529527131724,0.0166498387186772,0,0.101298046917378,0,0,0,0.004,0.349120491402843,0.942591049998898
"GSM3190499",0.00796078751998754,0,0,0.251699573191189,0,0.0269176535571632,0.12122268960173,0.0406490654865522,0,0,0.0156684289567592,0.0258970821707741,0.00698032926694252,0,0.0743282176273588,0.313360231902532,0.0110409599520026,0,0.101303506024438,0,0,0.00297147474257091,0.00600000000000001,0.321841173997627,0.953291716984059
"GSM3190500",0.0254207283232705,0,0,0.232152925985782,0,0,0.136056017660344,0.0458840906358871,0,0,0.0282331949450041,0,0.0726032747869896,0.0477305231192114,0.125093909556538,0.190471973565026,0.005413915730939,0,0.0909394456910083,0,0,0,0.004,0.346574431986688,0.941122672815909
