"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Pt3_A",0.0244582323459762,0,0.0124314169526463,0,0,0.204998131630292,0,0.0414801925779247,0.043398371321233,0,0.175798708130941,0.0389499925677769,0,0.230094418894317,0.0103839354890843,0.181453691542722,0,0.000581719746232575,0.0275681894398996,0,0.00840299936095374,0,0.135,0.0808921446738528,1.0796948741891
"Pt4_A",0.0631145447282316,0.0261716226523434,0.0260100048206334,0,0,0.420796293521488,0.0553006353562389,0,0.0907718649626462,0,0,0,0.134641681613466,0.10910667674401,0,0,0,0,0.00259504882075562,0,0.0266320529685037,0.044859573811684,0.487,0.0120994048351171,1.0929309480073
"Pt5_A",0.0248491857012397,0,0.00415478253190138,0.0553688374526995,0,0,0.01124017288604,0.0171081754265732,0.00555353252041026,0,0.0317986777914963,0,0,0.309909651838024,0,0.0370041301044369,0,0.0124114504295464,0.0280354611205549,0,0,0.462565942197077,0.027,0.20413162416942,1.12699107323878
"Pt6_A",0.00332846680786839,0,0.457268110702204,0.00378096380036687,0.0725981784315614,0.093020896099204,0,0.0230755563827592,0.0359575902898547,0,0.135092437924903,0,0.0321108408722246,0,0.00250943739236669,0.037228495672221,0.00552551102441482,0.015209604909871,0,0.0592628435123516,0.012926885071745,0.0111041811060838,0.681,-0.00888767615279191,1.07597237241634
"Pt8_A",0,0,0,0,0.067028763250043,0,0.08715033992939,0,0.0487804794933326,0,0,0.12987988961393,0.177411088941895,0.0374561889694724,0.013134824334425,0.288885146784901,0,0.0198035204817752,0.130469758200835,0,0,0,0.861,-0.0261853880705662,1.10834641489693
"Pt12_A",0,0,0.0479426164071913,0,0,0.128536288552655,0,0.0460550922375678,0.0015640615564678,0,0,0.103866145939461,0.46320681760603,0,0.0457527827559839,0.0285509238659093,0,0,0,0.116608346816227,0.0179169242625077,0,0.192,0.0606384343930816,1.10071069693762
"Pt16_A",0.116860853196515,0,0.0304942468549524,0,0,0.105810323522835,0,0.0180784247085019,0.0120690797287131,0,0.00537680546720075,0.0390329489984245,0,0.388113608423591,0.00454341054235499,0.0797656576634612,0,0.0122704057784181,0.165516819362043,0,0,0.0220674157529882,0.096,0.101530276203827,1.07293060858945
"Pt19_A",0,0.0127274528455087,0.190695275191659,0,0,0.483417320364814,0,0,0,0,0.0211223029164826,0.0128585815928288,0.195887066483622,0,0,0,0,0.0733034330245478,0,0.0067729761629541,0.00321559141758237,0,0.436,0.0196185650795281,1.08240563418908
"Pt23_A",0.128555755667292,0,0,0,0,0.0973951196339409,0,0.0198168105067074,0.0701888063665334,0,0.0398846767101883,0.0251837479595766,0.116185609488799,0.462403770945869,0.0176288953327585,0.0203206839545969,0,0,0.000144727451957762,0.00229139598178009,0,0,0.002,0.430689551099272,0.909616316247267
"Pt25_A",0,0,0,0,0,0.0771357558360962,0.195378368426715,0.0128156068590205,0,0,0.00258622821140581,0.0962361911661753,0,0.0215549717148553,0.0694673600550766,0.372626621043925,0,0,0.0649809836827212,0,0,0.0872179130040087,0.499,0.0109387654728216,1.09846454567949
"Pt26_A",0,0.00551924718385272,0,0.116331632477361,0,0.130928972205495,0,0.12709512258766,0,0,0,0.149235080430782,0.187508482262048,0,0,0,0,0.0898735023870305,0,0.185832345946824,0.0076756145189477,0,0.707,-0.0111692998411496,1.14029014471732
"Pt27_A",0,0.094221213509682,0,0,0.0516431734575152,0.450024233687137,0,0.0821988168045202,0.0511615416000998,0,0,0.0251501342669788,0.0283110906787399,0.0625711047293111,0,0,0,0,0.129887292654051,0,0.0168842988547343,0.00794709975723105,0.692,-0.0102513748580332,1.12114571291661
"Pt33_A",0.0713854684026988,0,0,0,0.50259478991891,0.0308665161875148,0.0543123963230951,0,0,0,0.157171534685909,0.0625292579374277,0.0420944512931716,0.0308391260147901,0,0,0,0,0.0482064592364833,0,0,0,0.985,-0.0481869769893733,1.16950625191862
"Pt2_B",0.000816917116759583,0,0.0309663691544679,0.0706794349135353,0,0.0297879298104958,0,0.0472523662989035,0,0,0.0184812979518114,0.0216663244022185,0.0129478109687073,0.24997275407192,0.0297103921451477,0.0230186326889897,0.0540759720468853,0.00898252985224868,0.361866890156035,0,0.0397743784218746,0,0.163,0.0702138022271296,1.08765375821916
"Pt10_B",0,0.00916602918753697,0.0231470453205688,0.176049672949225,0,0,0.0609474229242145,0.0592163101620679,0.0522477508026548,0,0.0146595363427147,0.0467898548096305,0.0455072283686086,0.108098149424973,0.00246416472518532,0.0872674686122022,0,0.0157715798762664,0.292856485518838,0,0.0058113009753134,0,0.853,-0.0254199348344483,1.10513363139765
"Pt11_B",0,0.000556357576408064,0,0.165637067392035,0,0.060892059522873,0,0.0147376766577702,0.160883711663084,0,0.0140476603399423,0.0530245192212226,0.218867137303539,0.132941020521029,0.013314286132211,0.116178616038797,0,0,0.0489198876310887,0,0,0,0.634,-0.00460514672052707,1.09845940588899
"Pt14_B",0.0445114581095313,0.13188336906866,0.0169667703671768,0.0464039425035315,0,0.0599115699284265,0.116872289757792,0.111168239321803,0.0413687483162314,0,0.169688084088237,0,0.0300566744366904,0.0610330442998349,0.016672460801948,0.0157890037405481,0.0162110649374187,0,0.0104597501098945,0,0.0499628097608892,0.0610407204513864,0.357,0.0295291991417359,1.07703406633732
"Pt15_B",0.0267225905995147,0,0.0465455754881506,0,0,0.179668526891004,0,0.0113837049414753,0.0100309763583604,0,0,0.0509318672667404,0.0279114729706336,0.230758554396907,0.0207152477399363,0.174326298133473,0,0,0.194918949316891,0,0.0260862358969146,0,0.936,-0.0357078437847041,1.10859952006414
