"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Cloughesy__Brain__PD-(L)1",0.259,0.225,28,0.249123610101872,"Brain","PD-(L)1",0.524371717571427
"HR1","OS","B_cells_memory","ICB_Cloughesy__Brain__PD-(L)1",-0.919,0.755,28,0.22346915832999,"Brain","PD-(L)1",0.524371717571427
"HR2","OS","Plasma_cells","ICB_Cloughesy__Brain__PD-(L)1",-0.553,0.411,28,0.178892174541203,"Brain","PD-(L)1",0.524371717571427
"HR3","OS","T_cells_CD8","ICB_Cloughesy__Brain__PD-(L)1",0.1,0.285,28,0.725598990219332,"Brain","PD-(L)1",0.856007306619433
"HR4","OS","T_cells_CD4_naive","ICB_Cloughesy__Brain__PD-(L)1",0.177,0.228,28,0.438334734128865,"Brain","PD-(L)1",0.725419313418109
"HR5","OS","T_cells_CD4_memory_resting","ICB_Cloughesy__Brain__PD-(L)1",-0.171,0.232,28,0.46163047217516,"Brain","PD-(L)1",0.725419313418109
"HR6","OS","T_cells_CD4_memory_activated","ICB_Cloughesy__Brain__PD-(L)1",-0.052,0.225,28,0.817781427222518,"Brain","PD-(L)1",0.856007306619433
"HR7","OS","T_cells_follicular_helper","ICB_Cloughesy__Brain__PD-(L)1",-0.568,0.307,28,0.0643515431238804,"Brain","PD-(L)1",0.353933487181342
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Cloughesy__Brain__PD-(L)1",0.375,0.298,28,0.208165248313856,"Brain","PD-(L)1",0.524371717571427
"HR9","OS","T_cells_gamma_delta","ICB_Cloughesy__Brain__PD-(L)1",0.543,0.265,28,0.0401674110458433,"Brain","PD-(L)1",0.323461614698469
"HR10","OS","NK_cells_resting","ICB_Cloughesy__Brain__PD-(L)1",-0.059,0.222,28,0.790986056543094,"Brain","PD-(L)1",0.856007306619433
"HR11","OS","NK_cells_activated","ICB_Cloughesy__Brain__PD-(L)1",0.052,0.209,28,0.803002982293335,"Brain","PD-(L)1",0.856007306619433
"HR12","OS","Monocytes","ICB_Cloughesy__Brain__PD-(L)1",-0.048,0.226,28,0.830813144199091,"Brain","PD-(L)1",0.856007306619433
"HR13","OS","Macrophages_M0","ICB_Cloughesy__Brain__PD-(L)1",0.355,0.214,28,0.0974212614366434,"Brain","PD-(L)1",0.428653550321231
"HR14","OS","Macrophages_M1","ICB_Cloughesy__Brain__PD-(L)1",0.269,0.193,28,0.164348733033236,"Brain","PD-(L)1",0.524371717571427
"HR15","OS","Macrophages_M2","ICB_Cloughesy__Brain__PD-(L)1",0.406,0.202,28,0.0441028278264155,"Brain","PD-(L)1",0.323461614698469
"HR16","OS","Dendritic_cells_resting","ICB_Cloughesy__Brain__PD-(L)1",0.043,0.235,28,0.856007306619433,"Brain","PD-(L)1",0.856007306619433
"HR17","OS","Dendritic_cells_activated","ICB_Cloughesy__Brain__PD-(L)1",-1.338,0.665,28,0.0441084020043367,"Brain","PD-(L)1",0.323461614698469
"HR18","OS","Mast_cells_resting","ICB_Cloughesy__Brain__PD-(L)1",0.132,0.219,28,0.54578122908024,"Brain","PD-(L)1",0.800479135984352
"HR19","OS","Mast_cells_activated","ICB_Cloughesy__Brain__PD-(L)1",-0.355,0.316,28,0.262185858785713,"Brain","PD-(L)1",0.524371717571427
"HR20","OS","Eosinophils","ICB_Cloughesy__Brain__PD-(L)1",-0.082,0.241,28,0.732865598929211,"Brain","PD-(L)1",0.856007306619433
"HR21","OS","Neutrophils","ICB_Cloughesy__Brain__PD-(L)1",-0.433,0.421,28,0.302994831076409,"Brain","PD-(L)1",0.555490523640083
