"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Cloughesy__Brain__PD-(L)1",0.169,0.191,28,0.374282382972599,"Brain","PD-(L)1",0.784879578415454
"HR1","PFS","B_cells_memory","ICB_Cloughesy__Brain__PD-(L)1",-0.18,0.203,28,0.374640485922996,"Brain","PD-(L)1",0.784879578415454
"HR2","PFS","Plasma_cells","ICB_Cloughesy__Brain__PD-(L)1",-0.046,0.248,28,0.854210594682068,"Brain","PD-(L)1",0.924550861781399
"HR3","PFS","T_cells_CD8","ICB_Cloughesy__Brain__PD-(L)1",0.139,0.217,28,0.52318809550661,"Brain","PD-(L)1",0.882904101364876
"HR4","PFS","T_cells_CD4_naive","ICB_Cloughesy__Brain__PD-(L)1",-0.03,0.2,28,0.882525822609517,"Brain","PD-(L)1",0.924550861781399
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Cloughesy__Brain__PD-(L)1",-0.152,0.175,28,0.385930930986693,"Brain","PD-(L)1",0.784879578415454
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Cloughesy__Brain__PD-(L)1",-0.078,0.22,28,0.722413980374758,"Brain","PD-(L)1",0.924550861781399
"HR7","PFS","T_cells_follicular_helper","ICB_Cloughesy__Brain__PD-(L)1",-0.057,0.186,28,0.760913763984182,"Brain","PD-(L)1",0.924550861781399
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Cloughesy__Brain__PD-(L)1",0.393,0.256,28,0.125080996682074,"Brain","PD-(L)1",0.687945481751407
"HR9","PFS","T_cells_gamma_delta","ICB_Cloughesy__Brain__PD-(L)1",0.404,0.253,28,0.110617721015475,"Brain","PD-(L)1",0.687945481751407
"HR10","PFS","NK_cells_resting","ICB_Cloughesy__Brain__PD-(L)1",0.079,0.186,28,0.671097446951689,"Brain","PD-(L)1",0.924550861781399
"HR11","PFS","NK_cells_activated","ICB_Cloughesy__Brain__PD-(L)1",-0.033,0.189,28,0.863260287442794,"Brain","PD-(L)1",0.924550861781399
"HR12","PFS","Monocytes","ICB_Cloughesy__Brain__PD-(L)1",-0.128,0.22,28,0.561848064504921,"Brain","PD-(L)1",0.882904101364876
"HR13","PFS","Macrophages_M0","ICB_Cloughesy__Brain__PD-(L)1",0.209,0.203,28,0.302810848683428,"Brain","PD-(L)1",0.784879578415454
"HR14","PFS","Macrophages_M1","ICB_Cloughesy__Brain__PD-(L)1",0.341,0.196,28,0.0817613500604491,"Brain","PD-(L)1",0.687945481751407
"HR15","PFS","Macrophages_M2","ICB_Cloughesy__Brain__PD-(L)1",0.256,0.195,28,0.188205856228313,"Brain","PD-(L)1",0.784879578415454
"HR16","PFS","Dendritic_cells_resting","ICB_Cloughesy__Brain__PD-(L)1",0.155,0.206,28,0.451817755891078,"Brain","PD-(L)1",0.828332552466977
"HR17","PFS","Dendritic_cells_activated","ICB_Cloughesy__Brain__PD-(L)1",-0.482,0.268,28,0.0724811885955981,"Brain","PD-(L)1",0.687945481751407
"HR18","PFS","Mast_cells_resting","ICB_Cloughesy__Brain__PD-(L)1",0.016,0.185,28,0.93285289187677,"Brain","PD-(L)1",0.93285289187677
"HR19","PFS","Mast_cells_activated","ICB_Cloughesy__Brain__PD-(L)1",0.031,0.179,28,0.862563304867445,"Brain","PD-(L)1",0.924550861781399
"HR20","PFS","Eosinophils","ICB_Cloughesy__Brain__PD-(L)1",0.165,0.193,28,0.392439789207727,"Brain","PD-(L)1",0.784879578415454
"HR21","PFS","Neutrophils","ICB_Cloughesy__Brain__PD-(L)1",-0.177,0.174,28,0.310484481506462,"Brain","PD-(L)1",0.784879578415454
