"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Damrauer__Bladder__PD-(L)1",0.24,0.134,90,0.0722003491026432,"Bladder","PD-(L)1",0.470438222451356
"HR1","OS","B_cells_memory","ICB_Damrauer__Bladder__PD-(L)1",-0.083,0.135,90,0.538147013876811,"Bladder","PD-(L)1",0.845659593234988
"HR2","OS","Plasma_cells","ICB_Damrauer__Bladder__PD-(L)1",-0.112,0.135,90,0.408219941585927,"Bladder","PD-(L)1",0.748403226240866
"HR3","OS","T_cells_CD8","ICB_Damrauer__Bladder__PD-(L)1",-0.198,0.142,90,0.163883540923851,"Bladder","PD-(L)1",0.492314464151978
"HR4","OS","T_cells_CD4_naive","ICB_Damrauer__Bladder__PD-(L)1",0.056,0.125,90,0.655026589721883,"Bladder","PD-(L)1",0.871817755813012
"HR5","OS","T_cells_CD4_memory_resting","ICB_Damrauer__Bladder__PD-(L)1",0.132,0.13,90,0.310288214769815,"Bladder","PD-(L)1",0.682634072493594
"HR6","OS","T_cells_CD4_memory_activated","ICB_Damrauer__Bladder__PD-(L)1",-0.43,0.187,90,0.0215036111877123,"Bladder","PD-(L)1",0.470438222451356
"HR7","OS","T_cells_follicular_helper","ICB_Damrauer__Bladder__PD-(L)1",0.06,0.131,90,0.645908037078626,"Bladder","PD-(L)1",0.871817755813012
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Damrauer__Bladder__PD-(L)1",-0.157,0.145,90,0.279366099025678,"Bladder","PD-(L)1",0.682634072493594
"HR9","OS","T_cells_gamma_delta","ICB_Damrauer__Bladder__PD-(L)1",0.045,0.107,90,0.6736773567646,"Bladder","PD-(L)1",0.871817755813012
"HR10","OS","NK_cells_resting","ICB_Damrauer__Bladder__PD-(L)1",0.038,0.136,90,0.78158721855573,"Bladder","PD-(L)1",0.90499572674874
"HR11","OS","NK_cells_activated","ICB_Damrauer__Bladder__PD-(L)1",0.047,0.134,90,0.724723987603891,"Bladder","PD-(L)1",0.885773762626978
"HR12","OS","Monocytes","ICB_Damrauer__Bladder__PD-(L)1",0.195,0.121,90,0.106917777829854,"Bladder","PD-(L)1",0.470438222451356
"HR13","OS","Macrophages_M0","ICB_Damrauer__Bladder__PD-(L)1",-0.009,0.132,90,0.948194140597436,"Bladder","PD-(L)1",0.959580576055561
"HR14","OS","Macrophages_M1","ICB_Damrauer__Bladder__PD-(L)1",-0.216,0.148,90,0.146380773593186,"Bladder","PD-(L)1",0.492314464151978
"HR15","OS","Macrophages_M2","ICB_Damrauer__Bladder__PD-(L)1",0.007,0.136,90,0.959580576055561,"Bladder","PD-(L)1",0.959580576055561
"HR16","OS","Dendritic_cells_resting","ICB_Damrauer__Bladder__PD-(L)1",0.204,0.113,90,0.0718755896965249,"Bladder","PD-(L)1",0.470438222451356
"HR17","OS","Dendritic_cells_activated","ICB_Damrauer__Bladder__PD-(L)1",0.159,0.118,90,0.17902344150981,"Bladder","PD-(L)1",0.492314464151978
"HR18","OS","Mast_cells_resting","ICB_Damrauer__Bladder__PD-(L)1",-0.126,0.146,90,0.387402874002769,"Bladder","PD-(L)1",0.748403226240866
"HR19","OS","Mast_cells_activated","ICB_Damrauer__Bladder__PD-(L)1",0.191,0.115,90,0.0959910786441127,"Bladder","PD-(L)1",0.470438222451356
"HR20","OS","Eosinophils","ICB_Damrauer__Bladder__PD-(L)1",0.085,0.129,90,0.508872515554519,"Bladder","PD-(L)1",0.845659593234988
"HR21","OS","Neutrophils","ICB_Damrauer__Bladder__PD-(L)1",-0.024,0.138,90,0.859797849010981,"Bladder","PD-(L)1",0.945777633912079
