"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Damrauer__Bladder__PD-(L)1",0.236,0.13,89,0.0696620582898079,"Bladder","PD-(L)1",0.383141320593944
"HR1","PFS","B_cells_memory","ICB_Damrauer__Bladder__PD-(L)1",-0.042,0.117,89,0.720550508742133,"Bladder","PD-(L)1",0.834321641701417
"HR2","PFS","Plasma_cells","ICB_Damrauer__Bladder__PD-(L)1",-0.06,0.114,89,0.595878814445334,"Bladder","PD-(L)1",0.834321641701417
"HR3","PFS","T_cells_CD8","ICB_Damrauer__Bladder__PD-(L)1",-0.093,0.115,89,0.418302569883479,"Bladder","PD-(L)1",0.707896656725888
"HR4","PFS","T_cells_CD4_naive","ICB_Damrauer__Bladder__PD-(L)1",0.173,0.11,89,0.11680929758938,"Bladder","PD-(L)1",0.513960909393271
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Damrauer__Bladder__PD-(L)1",-0.001,0.112,89,0.994616455498375,"Bladder","PD-(L)1",0.994616455498375
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Damrauer__Bladder__PD-(L)1",-0.245,0.124,89,0.0484689542689523,"Bladder","PD-(L)1",0.355438997972316
"HR7","PFS","T_cells_follicular_helper","ICB_Damrauer__Bladder__PD-(L)1",-0.014,0.111,89,0.901072413105455,"Bladder","PD-(L)1",0.967028832150688
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Damrauer__Bladder__PD-(L)1",-0.137,0.118,89,0.242975598008327,"Bladder","PD-(L)1",0.57481531559637
"HR9","PFS","T_cells_gamma_delta","ICB_Damrauer__Bladder__PD-(L)1",0.054,0.107,89,0.609770269389962,"Bladder","PD-(L)1",0.834321641701417
"HR10","PFS","NK_cells_resting","ICB_Damrauer__Bladder__PD-(L)1",-0.151,0.12,89,0.209076610065227,"Bladder","PD-(L)1",0.57481531559637
"HR11","PFS","NK_cells_activated","ICB_Damrauer__Bladder__PD-(L)1",-0.011,0.113,89,0.923072976143838,"Bladder","PD-(L)1",0.967028832150688
"HR12","PFS","Monocytes","ICB_Damrauer__Bladder__PD-(L)1",0.131,0.117,89,0.261279688907441,"Bladder","PD-(L)1",0.57481531559637
"HR13","PFS","Macrophages_M0","ICB_Damrauer__Bladder__PD-(L)1",0.104,0.118,89,0.380512919039047,"Bladder","PD-(L)1",0.697607018238252
"HR14","PFS","Macrophages_M1","ICB_Damrauer__Bladder__PD-(L)1",-0.197,0.139,89,0.155391039645996,"Bladder","PD-(L)1",0.569767145368652
"HR15","PFS","Macrophages_M2","ICB_Damrauer__Bladder__PD-(L)1",0.049,0.113,89,0.663972867966663,"Bladder","PD-(L)1",0.834321641701417
"HR16","PFS","Dendritic_cells_resting","ICB_Damrauer__Bladder__PD-(L)1",0.229,0.104,89,0.0282953371534425,"Bladder","PD-(L)1",0.355438997972316
"HR17","PFS","Dendritic_cells_activated","ICB_Damrauer__Bladder__PD-(L)1",0.217,0.107,89,0.0425438754994671,"Bladder","PD-(L)1",0.355438997972316
"HR18","PFS","Mast_cells_resting","ICB_Damrauer__Bladder__PD-(L)1",-0.152,0.122,89,0.215014185021598,"Bladder","PD-(L)1",0.57481531559637
"HR19","PFS","Mast_cells_activated","ICB_Damrauer__Bladder__PD-(L)1",0.04,0.109,89,0.712284492445923,"Bladder","PD-(L)1",0.834321641701417
"HR20","PFS","Eosinophils","ICB_Damrauer__Bladder__PD-(L)1",0.113,0.111,89,0.305687329307188,"Bladder","PD-(L)1",0.611374658614376
"HR21","PFS","Neutrophils","ICB_Damrauer__Bladder__PD-(L)1",0.047,0.117,89,0.687034833478732,"Bladder","PD-(L)1",0.834321641701417
