"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Fehrenbacher__Lung__PD-(L)1",-0.002,0.112,95,0.983950003388989,"Lung","PD-(L)1",0.983950003388989
"HR1","OS","B_cells_memory","ICB_Fehrenbacher__Lung__PD-(L)1",-0.126,0.151,95,0.402533655182721,"Lung","PD-(L)1",0.618741122121527
"HR2","OS","Plasma_cells","ICB_Fehrenbacher__Lung__PD-(L)1",-0.37,0.145,95,0.0107948257152624,"Lung","PD-(L)1",0.0593715414339431
"HR3","OS","T_cells_CD8","ICB_Fehrenbacher__Lung__PD-(L)1",0.182,0.125,95,0.145703055148499,"Lung","PD-(L)1",0.356163023696331
"HR4","OS","T_cells_CD4_naive","ICB_Fehrenbacher__Lung__PD-(L)1",0.08,0.106,95,0.449993543361111,"Lung","PD-(L)1",0.618741122121527
"HR5","OS","T_cells_CD4_memory_resting","ICB_Fehrenbacher__Lung__PD-(L)1",-0.128,0.118,95,0.279435900012754,"Lung","PD-(L)1",0.512299150023382
"HR6","OS","T_cells_CD4_memory_activated","ICB_Fehrenbacher__Lung__PD-(L)1",-0.111,0.122,95,0.362973253344136,"Lung","PD-(L)1",0.614262428736231
"HR7","OS","T_cells_follicular_helper","ICB_Fehrenbacher__Lung__PD-(L)1",-0.1,0.131,95,0.446125103116672,"Lung","PD-(L)1",0.618741122121527
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Fehrenbacher__Lung__PD-(L)1",0.179,0.099,95,0.0702212574034244,"Lung","PD-(L)1",0.220695380410762
"HR9","OS","T_cells_gamma_delta","ICB_Fehrenbacher__Lung__PD-(L)1",-0.301,0.132,95,0.0220712836750647,"Lung","PD-(L)1",0.0971136481702845
"HR10","OS","NK_cells_resting","ICB_Fehrenbacher__Lung__PD-(L)1",0.218,0.128,95,0.0884364583532712,"Lung","PD-(L)1",0.243200260471496
"HR11","OS","NK_cells_activated","ICB_Fehrenbacher__Lung__PD-(L)1",-0.019,0.11,95,0.866312523418822,"Lung","PD-(L)1",0.95096645301812
"HR12","OS","Monocytes","ICB_Fehrenbacher__Lung__PD-(L)1",0.33,0.112,95,0.00311846252092138,"Lung","PD-(L)1",0.0593715414339431
"HR13","OS","Macrophages_M0","ICB_Fehrenbacher__Lung__PD-(L)1",0.33,0.12,95,0.00596886444017694,"Lung","PD-(L)1",0.0593715414339431
"HR14","OS","Macrophages_M1","ICB_Fehrenbacher__Lung__PD-(L)1",0.015,0.131,95,0.90774070515366,"Lung","PD-(L)1",0.95096645301812
"HR15","OS","Macrophages_M2","ICB_Fehrenbacher__Lung__PD-(L)1",0.128,0.113,95,0.255970211723775,"Lung","PD-(L)1",0.511940423447551
"HR16","OS","Dendritic_cells_resting","ICB_Fehrenbacher__Lung__PD-(L)1",-0.377,0.144,95,0.00901657964972174,"Lung","PD-(L)1",0.0593715414339431
"HR17","OS","Dendritic_cells_activated","ICB_Fehrenbacher__Lung__PD-(L)1",-0.055,0.113,95,0.62426625072122,"Lung","PD-(L)1",0.762992084214825
"HR18","OS","Mast_cells_resting","ICB_Fehrenbacher__Lung__PD-(L)1",0.035,0.128,95,0.78669006196819,"Lung","PD-(L)1",0.910904282278957
"HR19","OS","Mast_cells_activated","ICB_Fehrenbacher__Lung__PD-(L)1",0.078,0.117,95,0.506357034730627,"Lung","PD-(L)1",0.655285574357282
"HR20","OS","Eosinophils","ICB_Fehrenbacher__Lung__PD-(L)1",-0.143,0.113,95,0.203170486271914,"Lung","PD-(L)1",0.44697506979821
"HR21","OS","Neutrophils","ICB_Fehrenbacher__Lung__PD-(L)1",0.24,0.129,95,0.0636335246992511,"Lung","PD-(L)1",0.220695380410762
