"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Fehrenbacher__Lung__PD-(L)1",0.094,0.103,95,0.3633575502266,"Lung","PD-(L)1",0.570990436070371
"HR1","PFS","B_cells_memory","ICB_Fehrenbacher__Lung__PD-(L)1",0.041,0.128,95,0.75022772077706,"Lung","PD-(L)1",0.825250492854766
"HR2","PFS","Plasma_cells","ICB_Fehrenbacher__Lung__PD-(L)1",-0.251,0.128,95,0.0505572815958627,"Lung","PD-(L)1",0.270114454735755
"HR3","PFS","T_cells_CD8","ICB_Fehrenbacher__Lung__PD-(L)1",0.01,0.13,95,0.939966466437449,"Lung","PD-(L)1",0.939966466437449
"HR4","PFS","T_cells_CD4_naive","ICB_Fehrenbacher__Lung__PD-(L)1",0.145,0.101,95,0.14833317013231,"Lung","PD-(L)1",0.326332974291082
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Fehrenbacher__Lung__PD-(L)1",-0.222,0.112,95,0.0472588712809368,"Lung","PD-(L)1",0.270114454735755
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Fehrenbacher__Lung__PD-(L)1",-0.065,0.119,95,0.583781670998724,"Lung","PD-(L)1",0.724981152666264
"HR7","PFS","T_cells_follicular_helper","ICB_Fehrenbacher__Lung__PD-(L)1",0.139,0.121,95,0.248954415074482,"Lung","PD-(L)1",0.497908830148965
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Fehrenbacher__Lung__PD-(L)1",0.308,0.112,95,0.00587752802157957,"Lung","PD-(L)1",0.129305616474751
"HR9","PFS","T_cells_gamma_delta","ICB_Fehrenbacher__Lung__PD-(L)1",-0.177,0.12,95,0.137524000603217,"Lung","PD-(L)1",0.326332974291082
"HR10","PFS","NK_cells_resting","ICB_Fehrenbacher__Lung__PD-(L)1",0.131,0.12,95,0.276361947857463,"Lung","PD-(L)1",0.506663571072015
"HR11","PFS","NK_cells_activated","ICB_Fehrenbacher__Lung__PD-(L)1",0.024,0.108,95,0.822382244085284,"Lung","PD-(L)1",0.861543303327441
"HR12","PFS","Monocytes","ICB_Fehrenbacher__Lung__PD-(L)1",0.157,0.103,95,0.125974447152158,"Lung","PD-(L)1",0.326332974291082
"HR13","PFS","Macrophages_M0","ICB_Fehrenbacher__Lung__PD-(L)1",0.212,0.113,95,0.0613896488035807,"Lung","PD-(L)1",0.270114454735755
"HR14","PFS","Macrophages_M1","ICB_Fehrenbacher__Lung__PD-(L)1",-0.043,0.129,95,0.740247165370144,"Lung","PD-(L)1",0.825250492854766
"HR15","PFS","Macrophages_M2","ICB_Fehrenbacher__Lung__PD-(L)1",0.092,0.108,95,0.39499215728962,"Lung","PD-(L)1",0.579321830691443
"HR16","PFS","Dendritic_cells_resting","ICB_Fehrenbacher__Lung__PD-(L)1",-0.295,0.13,95,0.0232904834160041,"Lung","PD-(L)1",0.256195317576045
"HR17","PFS","Dendritic_cells_activated","ICB_Fehrenbacher__Lung__PD-(L)1",0.076,0.102,95,0.454554243011723,"Lung","PD-(L)1",0.625012084141119
"HR18","PFS","Mast_cells_resting","ICB_Fehrenbacher__Lung__PD-(L)1",0.098,0.108,95,0.361974468635808,"Lung","PD-(L)1",0.570990436070371
"HR19","PFS","Mast_cells_activated","ICB_Fehrenbacher__Lung__PD-(L)1",-0.058,0.108,95,0.593166397636034,"Lung","PD-(L)1",0.724981152666264
"HR20","PFS","Eosinophils","ICB_Fehrenbacher__Lung__PD-(L)1",-0.196,0.117,95,0.093167593746041,"Lung","PD-(L)1",0.292812437487558
"HR21","PFS","Neutrophils","ICB_Fehrenbacher__Lung__PD-(L)1",0.184,0.106,95,0.0821964809255583,"Lung","PD-(L)1",0.292812437487558
