"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"ERR2208929",0.0507762465360057,0,0.00194931710554121,0,0.052214415893919,0.199118559433351,0.000470360348137846,0.0182519912108524,0,0,0.0032322623291067,0,0,0.405191145251174,0.0341787499525672,0.128118860219084,0.00712350012466703,0,0,0.0969869389185866,0.00238765267700795,0,0.108,0.102715889384205,1.09258273734072
"ERR2208930",0.027734528500038,0,0.017821870028247,0.160905616888346,0,0.108876929444689,0.0114047378890254,0.0448022968981586,0,0,0,0,0.0307815814264044,0,0.0094347860694808,0.170139959674975,0.133303589957856,0,0.28479410322278,0,0,0,0.04,0.163602477096102,1.02118992558182
"ERR2208931",0.0667572803176148,0,0.00830833166128566,0,0.0614186995187694,0.173738700066817,0.00701507220231614,0,0.0277848054045813,0,0.0768635080615454,0,0.0457088926638583,0.320358981292645,0.0206067050383081,0.174752267350696,0.00368355727654931,0,0.00184362061239445,0,0.011159578532618,0,0.027,0.186947051010205,1.0289336681555
"ERR2208933",0.108856619515144,0,0.148843604229636,0,0,0.102993443756199,0,0.171975618558295,0,0.0328550148704566,0,0.0242832284432781,0,0,0.0205218840124346,0.292741392826736,0.00552660372552671,0,0.0666562186191462,0.0247463714431469,0,0,0.796,-0.0123368658079126,1.07290903550127
"ERR2208934",0.0728792221006684,0,0.0308786450468337,0,0.00941492899309764,0.00431627633981058,0.158189538799924,0,0,0.00657316986309269,0,0,0.0574400739993786,0,0,0.299370186308915,0,0,0,0.36093795854828,0,0,0.349,0.0428778174383129,1.13950895329595
"ERR2208935",0.100689312549066,0,0.0586261041135242,0.0858602606419775,0.0407503309942508,0.101815590215644,0,0.0695168292888407,0.0106176008141736,0,0.0918573952018674,0,0.0226684996668003,0,0.0308207930121259,0.191238145698719,0.0599433159684099,0,0.123414952992943,0,0.0121808688416588,0,0.794,-0.0120915474058603,1.0730415524469
"ERR2208936",0.0332596262317567,0.0134291466270043,0.00292260987070378,0,0,0.208718717952415,0,0.0191078619191015,0,0,0.0951450094335529,0,0.00511493648962759,0.292396748862031,0.00394801048875905,0.279185867711084,0,0,0,0.0403603081248694,0,0.0064111562890946,0.255,0.0584390439886042,1.09899384083561
"ERR2208938",0,0.0131252402480457,0.0312301038053706,0.0323338250048389,0.0209580626867118,0.037559261395097,0.0403228166349779,0.0571712741770763,0,0,0,0.0250419330290009,0.0140096373664544,0.175283502735694,0.0530327564189215,0.249550549542502,0.0204952695338595,0.0098740575202864,0,0.200473405544144,0,0.0195383043570186,0.0580000000000001,0.141951069927405,1.05552480565677
"ERR2208939",0.0200277205616489,0,0.00532932891185838,0.00826371254293836,0.0195290516762357,0.0970042994370435,0.134523348189709,0,0,0,0.036668059890891,0,0,0.18173417601385,0.00831580454035653,0.419579140494539,0,0,0,0.0652781605320147,0,0.00374719720891482,0.001,0.386593012074518,0.93000904071298
"ERR2208940",0,0.0130477590615906,0,0,0,0.0820224680908131,0.164647745814402,0.0140027086412801,0,0,0.0200276760486545,0,0,0.191143889939733,0,0.221450997977552,0.0179114078459892,0.00742376477373093,0,0.178452838331483,0.0450615177382284,0.0448072257365434,0.439,0.0321619345705077,1.10316044536587
"ERR2208941",0,0.0196998251788335,0.00147661659453493,0,0.0788551056660589,0.157007766431529,0.0354401185019443,0,0,0,0.0132507781297909,0,0,0.202024889406188,0.037532040546332,0.323109167829214,0.0614966955831749,0,0,0.0537199246518024,0,0.016387071480597,0.00600000000000001,0.283276865696712,0.981416107068338
"ERR2208942",0,0.018914666320774,0.0113900399075354,0.0261348071223139,0.0240976405033851,0.136512113706948,0.0342806922007596,0.0146904437458438,0,0,0.0895595365826913,0,0.0749766888118107,0.0262698569689502,0.00456830563197776,0.254911614075131,0.00110576887969098,0,0,0.102449248939529,0.02790048494267,0.152238091659989,0.055,0.144959986375158,1.03957706693271
"ERR2208943",7.57682372369408e-05,0.0284662813244257,0.00408616512835401,0,0.0518653109336727,0.137933224140679,0.0127312899378309,0,0,0,0.0230881564949622,0,0.00838075683022668,0.354182112939141,0,0.257488088497832,0,0.0180037002552989,0,0.103699145280339,0,0,0,0.530248713001599,0.848224481906013
"ERR2208945",0.0425414909239887,0,0.00518796578819524,0.203876552039049,0.0398675812732159,0.108668583248467,0.0581992610427524,0.0599260089571107,0.00259546810636293,0,0,0.0533080888824186,0.00987983705769926,0.0982073208962261,0.0566081508324124,0.178438220210668,0.0402870955728165,0,0,0.0424083751686174,0,0,0.138,0.0886552014427907,1.0596355001692
"ERR2208946",0.160586943247694,0.0416370822088257,0.0291420124969283,0,0,0.268931544103799,0,0.0845816872434461,0,0.0136976135454535,0.0555209828155427,0,0,0.169593088181378,0.0278234381153273,0.0969186417052951,0,0,0,0.0515669663363106,0,0,0.549,0.0171826401293456,1.08159159698387
