"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Gide__Melanoma__PD-(L)1",-0.084,0.239,41,0.727120584198841,"Melanoma","PD-(L)1",0.799832642618726
"HR1","OS","B_cells_memory","ICB_Gide__Melanoma__PD-(L)1",-0.118,0.236,41,0.616987394030478,"Melanoma","PD-(L)1",0.799832642618726
"HR2","OS","Plasma_cells","ICB_Gide__Melanoma__PD-(L)1",-0.051,0.231,41,0.825251400643916,"Melanoma","PD-(L)1",0.864549086388864
"HR3","OS","T_cells_CD8","ICB_Gide__Melanoma__PD-(L)1",-0.301,0.269,41,0.263126385388539,"Melanoma","PD-(L)1",0.482398373212321
"HR4","OS","T_cells_CD4_naive","ICB_Gide__Melanoma__PD-(L)1",-0.419,0.275,41,0.127691615557461,"Melanoma","PD-(L)1",0.312135060251572
"HR5","OS","T_cells_CD4_memory_resting","ICB_Gide__Melanoma__PD-(L)1",0.33,0.186,41,0.0756546881485848,"Melanoma","PD-(L)1",0.237771877038409
"HR6","OS","T_cells_CD4_memory_activated","ICB_Gide__Melanoma__PD-(L)1",-0.079,0.208,41,0.704721171442821,"Melanoma","PD-(L)1",0.799832642618726
"HR7","OS","T_cells_follicular_helper","ICB_Gide__Melanoma__PD-(L)1",-0.178,0.225,41,0.429077757450209,"Melanoma","PD-(L)1",0.674265047421757
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Gide__Melanoma__PD-(L)1",0.031,0.21,41,0.881079981795136,"Melanoma","PD-(L)1",0.881079981795136
"HR9","OS","T_cells_gamma_delta","ICB_Gide__Melanoma__PD-(L)1",-0.098,0.218,41,0.65208422129776,"Melanoma","PD-(L)1",0.799832642618726
"HR10","OS","NK_cells_resting","ICB_Gide__Melanoma__PD-(L)1",0.456,0.18,41,0.0115927199202261,"Melanoma","PD-(L)1",0.121215395050098
"HR11","OS","NK_cells_activated","ICB_Gide__Melanoma__PD-(L)1",-0.539,0.27,41,0.0456316861519086,"Melanoma","PD-(L)1",0.167316182556998
"HR12","OS","Monocytes","ICB_Gide__Melanoma__PD-(L)1",0.277,0.191,41,0.148585751476282,"Melanoma","PD-(L)1",0.32688865324782
"HR13","OS","Macrophages_M0","ICB_Gide__Melanoma__PD-(L)1",0.092,0.216,41,0.670388116945605,"Melanoma","PD-(L)1",0.799832642618726
"HR14","OS","Macrophages_M1","ICB_Gide__Melanoma__PD-(L)1",-0.898,0.375,41,0.0165293720522861,"Melanoma","PD-(L)1",0.121215395050098
"HR15","OS","Macrophages_M2","ICB_Gide__Melanoma__PD-(L)1",0.458,0.209,41,0.0286315855373767,"Melanoma","PD-(L)1",0.157473720455572
"HR16","OS","Dendritic_cells_resting","ICB_Gide__Melanoma__PD-(L)1",0.309,0.182,41,0.0900336723437388,"Melanoma","PD-(L)1",0.247592598945282
"HR17","OS","Dendritic_cells_activated","ICB_Gide__Melanoma__PD-(L)1",-1.586,0.756,41,0.0358557886999071,"Melanoma","PD-(L)1",0.157765470279591
"HR18","OS","Mast_cells_resting","ICB_Gide__Melanoma__PD-(L)1",0.46,0.157,41,0.00334029447013514,"Melanoma","PD-(L)1",0.0734864783429732
"HR19","OS","Mast_cells_activated","ICB_Gide__Melanoma__PD-(L)1",-0.361,0.261,41,0.166764430207109,"Melanoma","PD-(L)1",0.333528860414219
"HR20","OS","Eosinophils","ICB_Gide__Melanoma__PD-(L)1",0.147,0.183,41,0.422250276697978,"Melanoma","PD-(L)1",0.674265047421757
"HR21","OS","Neutrophils","ICB_Gide__Melanoma__PD-(L)1",-0.085,0.214,41,0.689888613265349,"Melanoma","PD-(L)1",0.799832642618726
