"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Gide__Melanoma__PD-(L)1",0.038,0.215,41,0.858653139120628,"Melanoma","PD-(L)1",0.858653139120628
"HR1","PFS","B_cells_memory","ICB_Gide__Melanoma__PD-(L)1",-0.226,0.229,41,0.32393138834381,"Melanoma","PD-(L)1",0.509035038825987
"HR2","PFS","Plasma_cells","ICB_Gide__Melanoma__PD-(L)1",-0.157,0.229,41,0.492449398483096,"Melanoma","PD-(L)1",0.637287456860477
"HR3","PFS","T_cells_CD8","ICB_Gide__Melanoma__PD-(L)1",-0.434,0.289,41,0.133272036110594,"Melanoma","PD-(L)1",0.363142540114426
"HR4","PFS","T_cells_CD4_naive","ICB_Gide__Melanoma__PD-(L)1",-0.317,0.237,41,0.181571270057213,"Melanoma","PD-(L)1",0.363142540114426
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Gide__Melanoma__PD-(L)1",0.44,0.176,41,0.0127612610055474,"Melanoma","PD-(L)1",0.0935825807073476
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Gide__Melanoma__PD-(L)1",-0.151,0.202,41,0.454909586471086,"Melanoma","PD-(L)1",0.637287456860477
"HR7","PFS","T_cells_follicular_helper","ICB_Gide__Melanoma__PD-(L)1",-0.221,0.215,41,0.3057169152954,"Melanoma","PD-(L)1",0.509035038825987
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Gide__Melanoma__PD-(L)1",0.071,0.198,41,0.721562537787568,"Melanoma","PD-(L)1",0.755922658634595
"HR9","PFS","T_cells_gamma_delta","ICB_Gide__Melanoma__PD-(L)1",-0.136,0.215,41,0.52547424973988,"Melanoma","PD-(L)1",0.642246305237631
"HR10","PFS","NK_cells_resting","ICB_Gide__Melanoma__PD-(L)1",0.479,0.186,41,0.0102601406609501,"Melanoma","PD-(L)1",0.0935825807073476
"HR11","PFS","NK_cells_activated","ICB_Gide__Melanoma__PD-(L)1",-0.404,0.232,41,0.0821992255849587,"Melanoma","PD-(L)1",0.301397160478182
"HR12","PFS","Monocytes","ICB_Gide__Melanoma__PD-(L)1",0.248,0.184,41,0.176292507868362,"Melanoma","PD-(L)1",0.363142540114426
"HR13","PFS","Macrophages_M0","ICB_Gide__Melanoma__PD-(L)1",0.153,0.21,41,0.466370637993695,"Melanoma","PD-(L)1",0.637287456860477
"HR14","PFS","Macrophages_M1","ICB_Gide__Melanoma__PD-(L)1",-0.682,0.32,41,0.0332816540974493,"Melanoma","PD-(L)1",0.183049097535971
"HR15","PFS","Macrophages_M2","ICB_Gide__Melanoma__PD-(L)1",0.351,0.195,41,0.0713659330829629,"Melanoma","PD-(L)1",0.301397160478182
"HR16","PFS","Dendritic_cells_resting","ICB_Gide__Melanoma__PD-(L)1",0.258,0.184,41,0.160977058348403,"Melanoma","PD-(L)1",0.363142540114426
"HR17","PFS","Dendritic_cells_activated","ICB_Gide__Melanoma__PD-(L)1",-0.536,0.351,41,0.126944001193309,"Melanoma","PD-(L)1",0.363142540114426
"HR18","PFS","Mast_cells_resting","ICB_Gide__Melanoma__PD-(L)1",0.457,0.158,41,0.00386193135164526,"Melanoma","PD-(L)1",0.0849624897361957
"HR19","PFS","Mast_cells_activated","ICB_Gide__Melanoma__PD-(L)1",-0.328,0.265,41,0.21605906480384,"Melanoma","PD-(L)1",0.396108285473706
"HR20","PFS","Eosinophils","ICB_Gide__Melanoma__PD-(L)1",0.067,0.185,41,0.71775037846254,"Melanoma","PD-(L)1",0.755922658634595
"HR21","PFS","Neutrophils","ICB_Gide__Melanoma__PD-(L)1",-0.09,0.205,41,0.659677113998431,"Melanoma","PD-(L)1",0.755922658634595
