"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Pt1",0.00599741609376069,0,0.0504027266293879,0.113116800603039,0,0.135612636180767,0,0.0410354207376278,0.0361299720901188,0,0,0.0635525472500373,0.0040666267639248,0.0388572070236779,0.0371161966462278,0.389922916632704,0.0122394866664412,0,0.0637724330749652,0,0,0.00817761360732049,0.0580000000000001,0.154395116162145,1.02816804516383
"Pt2",0.0601738800176008,0,0,0.1056682574804,0,0.0834235623386003,0,0.0837408113377454,0.0159386185694387,0,0,0.06746893787918,0.00864905672586049,0.0439184015431298,0.0539000411286878,0.373624678002416,0.00589980204226179,0,0,0.046891989838057,0,0.0507019630966215,0.047,0.171296122362649,1.02593857159302
"Pt4",0.0725294972766084,0,0.0284193509063499,0.165200402380835,0,0.00784768391147329,0,0.109954277555596,0,0,0,0.0730511980798081,0.07872581022121,0,0.0507323825280049,0.292480508595181,0.00176935780465405,0,0,0.000771958052879737,0,0.118517572687399,0.0600000000000001,0.15151135313463,1.03287930360077
"Pt5",0.00407702437778842,0,0.00306842506112742,0,0,0.208896634029787,0,0.0194227739040488,0.0580379763248823,0,0.0377826489993643,0.0110265552461189,0.0778602533886057,0.0274275540405258,0,0.386754619889606,0.00394326489982552,0,0.144052387320125,0,0.0176498825181949,0,0.162,0.091121139620841,1.05476449007374
"Pt6",0.00299356766796195,0.00200033112590217,0,0.0429233478572148,0,0.0776910970263816,0,0.0105969851441562,0.0161155942708744,0,0.0129406847530453,0.0260109077981204,0.0164900866521941,0.0549177374621124,0,0.479636625647423,0,0.00915718882754552,0.086780772489754,0,0,0.161745073277314,0.141,0.100908265897356,1.08220128248261
"Pt7",0.0229535147399374,0,0.00774776022628697,0.121381181864776,0,0,0.00872861911571491,0.100845933011287,0.0242747647954025,0,0,0.0323800803697045,0,0.360672084097256,0.0665947754603076,0.252436877967523,0.00140515939403563,0,0,0.000579248957769503,0,0,0.223,0.0721998586842344,1.10615864688888
"Pt8",0,0,0,0.0973112583222716,0,0.18976011579081,0,0.0431861126731692,0.00738480709986694,0,0,0.0406953610906395,0.0156141643263487,0.00365083139509703,0.133112369114394,0.386737087491564,0.00774925813927898,0,0.0693296461865446,0,0,0.00546898837001599,0.137,0.10199744613898,1.0625829935192
"Pt9",0,0.0156533882441909,0.0534868679787977,0.169306546703733,0,0.123136432118936,0,0.0497004846250069,0.0098629510906198,0,0,0.0988431788648512,0.0336395551775912,0.020803127452561,0.152615428499858,0.166403477458545,0.0260392943436733,0,0.0805092674416375,0,0,0,0.0600000000000001,0.151486534387689,1.03870918419169
"Pt10",0,0.00376135043365786,0.00316935048155581,0,0,0.131095458829655,0,0.102459143050195,0.010633000420057,0,0,0.0322933306307184,0.00593942205139791,0.464182694802806,0.00438876768380024,0.00407949797192667,0.000551836093244537,0,0.178239849838698,0,0,0.0592062977122863,0.287,0.0590188379177366,1.11549224789731
"Pt12",0,0.00306556174609346,0,0.0117871996757653,0,0.111222787874284,0,0.0455033114362925,0,0,0.00932159049632267,0.00789286915558548,0.0162101059997429,0.215269231103521,0.0213772974518488,0.446387606341528,0,0,0,0.0923576477464709,0.0019705803545731,0.0176342106179728,0.122,0.111529973947162,1.09051214629948
"Pt13",0.0306155618563449,0,0,0.191460820722622,0,0.0822717137850957,0.0124218752724399,0.0628569665867627,0.0286146268826295,0,0,0.0610053623268803,0.0281680150245002,0.006779373933422,0.10358623547117,0.327777594022709,0.00985878847724487,0,0,0.0402928154372409,0,0.0142902502009381,0.012,0.27941195849411,0.978321933793375
"Pt14",0.00879668108458295,0,0.00162718010507066,0.0661217060585795,0,0.0767652746106705,0,0.00591443090688555,0,0,0,0.037370360169341,0.0311410742160568,0,0.0516278201479971,0.427171215085113,0,0,0,0.271039730791296,0,0.0224245268244066,0.00700000000000001,0.312180512077064,0.982835353516158
"Pt15",0.00923436657363969,0.0544064304477229,0.10563956278624,0.170810438824333,0,0,0.0114820880837165,0.0987930975029291,0,0.00868740363827546,0,0.043107785188297,0.0160077580387756,0.0579622953812309,0.0922093197233762,0.330263336733913,0.00139611707755044,0,0,0,0,0,0.084,0.135839884929232,1.03335417738526
"Pt16",0.0272942341259282,0,0.0162195426724859,0.0198467280780188,0,0.044313930888052,0.00281068690507099,0.0107457197817204,0,0,0.0329722229330146,0,0,0.166699969969276,0,0.2148174868914,0,0.0332112647700571,0,0.0370356339881412,0,0.394032578996834,0.00800000000000001,0.297196617682747,1.0247822630221
"Pt19",0.010654141072313,0.0414307845966828,0.0698392040363802,0.126723853500353,0,0,0,0.106711538957873,0.0380789714481376,0,0,0.052709414349333,0,0.327838098948809,0.0323707137615789,0.193643279328541,0,0,0,0,0,0,0.015,0.259270346980649,0.993935307242871
"Pt20",0.0115259647913604,0,0.0925647634790286,0.376195990850379,0,0.0150547611226297,0.0112097759412075,0.0756047233213558,0.0135549760870569,0.00905125192238615,0,0.104187407524075,0.00888358950948055,0.0439062668124434,0.111222651449867,0.108576668302858,0.0172721208910997,0,0,0.0011890879947724,0,0,0.00700000000000001,0.311162750226553,0.974316405237635
"Pt22",0.0372334964385573,0,0.170260099374272,0.110669523321219,0,0.074019798118999,0,0.0672568915701988,0.00175712328875982,0,0,0.0411006002142642,0.0131422437002622,0.00439483835496471,0.110199031247057,0.316976436905357,0.019740471294482,0,0.0319030188513781,0,0,0.00134642732022766,0.004,0.409397047624828,0.911519113339893
"Pt23",0.00757462257146301,0,0,0.16989263856971,0,0,0.0197979779623592,0.062060456639668,0.00121832310428037,0,0,0.0601499106643468,0.0202341587185285,0.0394771705190977,0.0660649265370809,0.478124971589247,0.0205823851873336,0,0.00276587411526403,0,0,0.0520565838216207,0.003,0.417097920057967,0.912119391604858
"Pt25",0,0,0.0590651660776805,0.258875375947436,0,0.0540220715445444,0,0.0524633048099137,0.034369752756087,0.0338208110058453,0,0.145324732806965,0.0148898811409744,0,0.0898721265257292,0.226984448020222,0.0149238527782915,0,0.0153884765863109,0,0,0,0.386,0.0387076943908963,1.10983379406034
"Pt27",0.0487088103175594,0,0.0213675176261569,0.213513079439483,0,0.0166076564505193,0.00960032896497913,0.0620838874361215,0.025291031761865,0,0,0.0446986886767794,0.0601959054519246,0,0.129852356709492,0.352804180638153,0.0066542702380049,0,0,0.00337842591488306,0,0.00524386037407839,0.022,0.225651076387192,1.00466235478326
"Pt28",0,0,0.0124584261375177,0.0196400632683134,0,0.0547665261576775,0,0.181807378167505,0.0919795557973552,0,0.0175407378860498,0,0,0.246132925877034,0,0.152365561609375,0.047972415921707,0.10092644658794,0.01272313952258,0.0448898258668967,0,0.016796997200049,0.022,0.230894875404373,1.00042016808612
"Pt29",0.0436676108963749,0,0.0288697801558752,0.162570699401454,0,0.0745720633666032,0,0.0905497414974621,0.0354657650153321,0.0142050409415374,0,0.0455995744222183,0.0120283566620191,0,0.104439590059478,0.366022995701516,0,0,0,0.00216664603042576,0,0.0198421358497041,0.00600000000000001,0.334961987516584,0.950245493897635
"Pt31",0.016141487834204,0,0.0274170953527943,0.124044120617264,0,0.096287326517031,0,0.0715397268139213,0.037842505412189,0,0.00946177933269636,0.0938201087506729,0.0407220630526785,0.206501276324264,0.04784038802968,0.206831794630885,0,0,0,0.0201062177383576,0,0.00144410959336214,0.094,0.125998880816578,1.05144328871913
"Pt32",0.0216791194922494,0,0,0.107308318193563,0,0.334933362855612,0,0.0146706234814132,0.0356634007184835,0,0.0252554492481133,0.0100389198279476,0.0343647744748257,0.12524803011247,0.0126172391709231,0.237507633810775,0,0.00728018213246103,0,0.0286490845884819,0,0.00478386189268232,0.0590000000000001,0.153351273118253,1.03733185438435
"Pt35",0,0.00947538178232184,0,0.150963388442702,0,0.043033455095881,0,0.0284666299041418,0.00555415469884997,0,0,0.10889513150195,0.0252805219912982,0.0611009632559021,0.151125557469265,0.395278677127455,0.0123995905105843,0,0.00518496289494254,0,0.00324158532470657,0,0.099,0.122466278649514,1.07411458669264
"Pt37",0.0290131716739851,0,0.132576538485753,0.293104413681715,0,0.0663889439002251,0,0.113065571575633,0.047249199834032,0,0,0.0902552536205977,0.0100350275169774,0.00609647216172054,0.0422889098592267,0.169901316158135,0,0,0,2.51815319993559e-05,0,0,0.544,0.0172773568054058,1.10120798838228
"Pt38",0.177724210325789,0.408700223334502,0,0.0713876934319559,0,0.0339703495121117,0.0297123508204109,0.0694735678860441,0.0249069839324613,0.00323508251721803,0,0.017267721706645,0,0.0664619497026888,0.0286219605377821,0.0685379062923912,0,0,0,0,0,0,0,0.596026981583287,0.806989837296304
