"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Hugo__Melanoma__PD-(L)1",-0.429,0.483,26,0.374970732667971,"Melanoma","PD-(L)1",0.787438538602739
"HR1","OS","B_cells_memory","ICB_Hugo__Melanoma__PD-(L)1",-2.728,2.466,26,0.268695772395648,"Melanoma","PD-(L)1",0.713429731354831
"HR2","OS","Plasma_cells","ICB_Hugo__Melanoma__PD-(L)1",0.227,0.307,26,0.45914340053696,"Melanoma","PD-(L)1",0.801367096606009
"HR3","OS","T_cells_CD8","ICB_Hugo__Melanoma__PD-(L)1",0.046,0.318,26,0.885493820052501,"Melanoma","PD-(L)1",0.916332789782039
"HR4","OS","T_cells_CD4_memory_resting","ICB_Hugo__Melanoma__PD-(L)1",0.215,0.345,26,0.534244731070673,"Melanoma","PD-(L)1",0.801367096606009
"HR5","OS","T_cells_CD4_memory_activated","ICB_Hugo__Melanoma__PD-(L)1",0.067,0.29,26,0.817016532080107,"Melanoma","PD-(L)1",0.916332789782039
"HR6","OS","T_cells_follicular_helper","ICB_Hugo__Melanoma__PD-(L)1",-0.145,0.322,26,0.653289570762161,"Melanoma","PD-(L)1",0.857442561625337
"HR7","OS","T_cells_regulatory_.Tregs.","ICB_Hugo__Melanoma__PD-(L)1",-0.057,0.318,26,0.857035646103376,"Melanoma","PD-(L)1",0.916332789782039
"HR8","OS","T_cells_gamma_delta","ICB_Hugo__Melanoma__PD-(L)1",0.44,0.22,26,0.0453158315432312,"Melanoma","PD-(L)1",0.713429731354831
"HR9","OS","NK_cells_resting","ICB_Hugo__Melanoma__PD-(L)1",0.293,0.267,26,0.272249861379299,"Melanoma","PD-(L)1",0.713429731354831
"HR10","OS","NK_cells_activated","ICB_Hugo__Melanoma__PD-(L)1",-0.374,0.352,26,0.2879300581765,"Melanoma","PD-(L)1",0.713429731354831
"HR11","OS","Monocytes","ICB_Hugo__Melanoma__PD-(L)1",-0.635,0.431,26,0.140815760833866,"Melanoma","PD-(L)1",0.713429731354831
"HR12","OS","Macrophages_M0","ICB_Hugo__Melanoma__PD-(L)1",-0.03,0.283,26,0.916332789782039,"Melanoma","PD-(L)1",0.916332789782039
"HR13","OS","Macrophages_M1","ICB_Hugo__Melanoma__PD-(L)1",-0.103,0.306,26,0.734950271025527,"Melanoma","PD-(L)1",0.907879746560945
"HR14","OS","Macrophages_M2","ICB_Hugo__Melanoma__PD-(L)1",0.208,0.325,26,0.522737130576446,"Melanoma","PD-(L)1",0.801367096606009
"HR15","OS","Dendritic_cells_resting","ICB_Hugo__Melanoma__PD-(L)1",0.258,0.226,26,0.251893357450741,"Melanoma","PD-(L)1",0.713429731354831
"HR16","OS","Dendritic_cells_activated","ICB_Hugo__Melanoma__PD-(L)1",0.231,0.193,26,0.2316255316688,"Melanoma","PD-(L)1",0.713429731354831
"HR17","OS","Mast_cells_resting","ICB_Hugo__Melanoma__PD-(L)1",-0.544,0.485,26,0.261543734147838,"Melanoma","PD-(L)1",0.713429731354831
"HR18","OS","Mast_cells_activated","ICB_Hugo__Melanoma__PD-(L)1",0.627,0.612,26,0.30575559915207,"Melanoma","PD-(L)1",0.713429731354831
"HR19","OS","Eosinophils","ICB_Hugo__Melanoma__PD-(L)1",-0.503,0.901,26,0.576687866565815,"Melanoma","PD-(L)1",0.80736301319214
"HR20","OS","Neutrophils","ICB_Hugo__Melanoma__PD-(L)1",0.224,0.287,26,0.434507986073171,"Melanoma","PD-(L)1",0.801367096606009
