"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"EGAN00001749348",0.144162425109824,0,0.078034398704072,0,0.37837541503147,0.165819048620372,0,0,0,0.0477718185963765,0,0,0,0,0,0.0406034066078591,0.0191892572261555,0,0.0960520483122035,0,0,0.029992181791667,0.745,0.026624804829164,1.09788380866983
"EGAN00001749349",0.194866776811008,0,0.0854918972067879,0.0209816323455261,0.241398047674765,0.232537866171294,0,0.0497968938793936,0,0,0.0460027010330174,0,0,0,0,0.0117815917192706,0,0.02567108321098,0.0112500925022004,0,0.0802214174457576,0,0.915,-0.00465071738058835,1.11328312997947
"EGAN00001749350",0.182982504571672,0,0.00271181865741593,0.0561089080712765,0.38481807095081,0.0300286145571933,0,0.130774852077148,0,0,0.102376625481853,0,0,0,0,0.0108892608055034,0,0,0.0701247553517274,0,0.0291845894754009,0,0.7,0.0329720626890469,1.11678401622045
"EGAN00001749352",0.165166821278015,0,0,0,0.225393432114073,0.241937486035359,0.131558144388457,0,0,0.132856880872871,0.00138217547645135,0,0,0,0,0,0.0129704611579726,0.0503865569174299,0,0.00219332771999851,0.0361547140393721,0,0.749,0.0255595280244979,1.11093774946039
"EGAN00001749357",0.093902770373733,0,0.0676837048276205,0,0.435677915106773,0.0243574815467917,0.0582507767243787,0.0854749485764121,0,0.0423556541596421,0.073319615074523,0,0,0.0295715981702307,0.00583425528231907,0,0.00108858139682174,0,0.030510975456667,0,0.0486349255716014,0.00333679773248624,0.496,0.0595289347391185,1.08964071290171
"EGAN00001749362",0.0423893450947268,0,0.0581599042671911,0,0.294698756527927,0.247474734818025,0.0284313692188674,0,0,0.0438858084541718,0.0042455484936015,0,0,0,0,0,0.111582490092997,0,0.160550541225273,0,0,0.00858150180721925,0.644,0.0410487144311229,1.08688816956671
"EGAN00001749363",0.196187424007888,0,0,0,0.455306908996313,0.0657492787325409,0.0906002090426792,0,0,0.0214409395645707,0.0740788746219374,0,0,0,0,0,0,0.0541747155013105,0,0,0.0424616495327603,0,0.717,0.0296925834862775,1.11566171688599
"EGAN00001749366",0.088976313504358,0,0.0531433226141696,0,0.38836803845053,0.116041317290923,0.0414527504583714,0,0,0.0558379083646142,0.0519292525812946,0,0,0,0.0120266438062444,0.0634415802046171,0.0182555316712726,0,0.0386038745316923,0,0.070505038418395,0.00141842810351789,0.693,0.0336678168446671,1.09017380269825
"EGAN00001749368",0.0874525276005096,0,0.0208228825304443,0,0.312510967327463,0.262978217693041,0.06006069986296,0,0,0,0.0728973480510709,0,0,0,0,0.0220327057105347,0.0168296159123856,0,0.144415035311591,0,0,0,0.666,0.0367514947117039,1.10299525433402
"EGAN00001749369",0.0562532733425473,0,0.0436147124903049,0,0.233434452324687,0.296999894101906,0.0534244593426655,0.0306908242531403,0,0,0.113566810117537,0,0.000650266741456071,0,0.00262241488310711,0,0.0511445425567809,0,0.0747214178554095,0,0.0308864803735658,0.0119904516168925,0.798,0.0189519313967964,1.1054159162414
"EGAN00001749371",0.103638821877841,0,0.0252484177368403,0,0.275393808912015,0.248666897525036,0.0557512452793251,0,0,0,0.115416836581108,0,0.0126574792084203,0,0,0,0.0472011644279707,0,0.108861633223343,0,0.00716369522810171,0,0.801,0.0184679815952671,1.10423003089677
"EGAN00001749373",0,0.0126401889377553,0.0516374588295155,0,0.349657588664483,0.231750544281511,0.0591891335165869,0.00432205070739798,0,0.0414662389127961,0.0417439622360179,0,0,0,0,0.0187968336499164,0.025092184846512,0,0.122501612986464,0,0.0330104809774823,0.00819172145356156,0.459,0.0647985721859275,1.08863964556077
