"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Patient185_T",0,0,0.0563129480375974,0,0,0,0,0,0.416487910195228,0.0513902082288764,0,0,0.16071351100627,0,0,0,0.109241959749451,0,0,0.00071485249823318,0,0.205138610284345,0.562,0.246133498795822,0.981580235572428
"Patient168_T",0,0,0.0701471064341352,0,0,0,0,0,0.365654566313637,0.0402118679719813,0,0,0.151502570553766,0,0,0.0173753177430561,0.117483419626484,0,0.00328617346727903,0.00178930031277269,0,0.232549677576889,0.511,0.33317716584726,0.925264912588017
"Patient102_T_P",0,0,0,0,0,0,0,0,0.603508675975957,0.0576555854605611,0,0,0.0323211644280911,0.0574014589212377,0.00951896037269049,0.0213093965892419,0.0320303959363351,0,0,0,0,0.186254362315886,0.632,0.176834596617104,1.12808637356266
"Patient169_T",0,0,0.0647415380929443,0,0,0,0,0,0.387084937851423,0.049131294493008,0,0.000784749292127641,0.16527903020854,0,0,0,0.102047870523688,0,0.00921846991944462,0.00765321286853322,0,0.214058896750292,0.53,0.292845954742918,0.947980075994504
"Patient156_T",0,0,0.0432638368725107,0,0,0,0,0,0.483382007888205,0.0551106012206239,0,0,0.143576413585548,0,0,0,0.0869678948274303,0,0,0,0,0.187699245605682,0.61,0.189309421748671,1.03830141221251
"Patient48_T_M",0,0,0,0,0,0,0,0,0.758604726228152,0.0716067110262733,0,0,0.0545908082980586,0.00722419521608792,0,0,0.0299493300672568,0,0,0.00378599972450858,0,0.0742382294396632,0.663,0.161781212074072,1.22677537013538
"Patient150_T",0,0,0,0,0,0,0,0,0.804030002802928,0.0833148361720379,0,0,0.0234672479351093,0.028951917989527,0,0,0,0,0,0,0,0.060235995100398,0.603,0.194098976608482,1.23969975675145
"Patient63_T_P",0,0,0,0,0,0,0,0,0.574967937629288,0.0620262292347247,0,0,0.119700254454997,0,0,0,0.0601293920446297,0,0.00752722683832753,0.00950615258475228,0,0.166142807213281,0.703,0.139960807186684,1.11363308292753
"Patient155_T",0,0,0,0,0,0,0,0,0.748676026938217,0.0800391431008877,0,0,0.0541038839338489,0.0249491666186092,0,0,0,0,0,0,0,0.0922317794084373,0.641,0.173558637300279,1.21165484256919
"Patient125_T_P",0,0,0,0,0,0,0,0,0.672983219637393,0.102839520590341,0,0.0156714774686827,0.0152103646263681,0.0753963815351586,0,0,0,0,0,0,0,0.117899036142056,0.553,0.24935449435272,1.1186986545697
"Patient135_T",0,0,0.0805783146324982,0,0,0,0,0,0.331187925886634,0.0368790430470433,0,0,0.160603245161189,0,0,0.0151392349990739,0.125202295651927,0,0.0169852154622085,0.00794186282883414,0,0.225482862330592,0.499,0.367282175479643,0.898527031763296
"Patient148_T",0,0,0.0418749552502693,0,0,0,0,0,0.456878124984829,0.057170546261671,0,0,0.155228146887352,0.0110215983753369,0,0,0.0917152891406043,0,0,0,0,0.186111339099938,0.633,0.176536127577831,1.03428889594565
"Patient15_T_M",0,0,0.0464715768799557,0,0,0,0,0,0.329382750114977,0.0378461621270406,0,0,0.156814588568833,0,0,0.021767495019639,0.166972595970211,0.00690858127048601,0.0116460569321366,0.00149403674395066,0,0.220696156372771,0.508,0.339691082874666,0.911429038932787
"Patient152_T",0,0,0,0,0,0,0,0,0.791412637826367,0.082763240362397,0,0,0.0340281222308423,0.0416984041292621,0,0,0,0,0,0,0,0.0500975954511318,0.63,0.179678512683573,1.23971688194908
"Patient21_T_M",0,0,0.073856796487497,0,0,0,0,0,0.319215405898224,0.0357200750175849,0,0,0.160823048566194,0,0,0.0180289844572684,0.135694034032725,0,0.0225334298795033,0.00907414387368059,0,0.225054081787322,0.495,0.378187356223561,0.890600165413602
"Patient133_T",0,0,0.0268289833404709,0,0,0,0,0,0.525942426394043,0.0612494800463259,0,0,0.133777665275326,0.00645103327704308,0,0,0.0667361223707505,0,0,0,0,0.179014289296041,0.663,0.161685357322427,1.07530225410174
"Patient163_T",0.158818186874301,0.0519453929195318,0.0472164553225832,0,0,0,0.036199787794873,0,0.0778026464465835,0.0559606123209346,0.01031886787273,0.0407579214862056,0.169931600499602,0.0137372614937692,0,0,0.073995904698299,0.0227478925585202,0.0171930616210716,0.0026565539569092,0,0.220717854134086,0.537,0.281219954642609,0.911442305544001
"Patient8_T_M",0,0,0.107593550295374,0,0,0,0,0,0.282848065121001,0.0310214564133598,0,0,0.169315479315249,0,0,0.0190564261350777,0.129673398766473,0,0.0226954518557772,0.0111780035397846,0,0.226618168557904,0.463,0.472209828403885,0.837646653339366
"Patient4_T_M",0,0,0,0,0,0,0,0,0.769329450328736,0.0838241699559925,0,0,0.0388041857019266,0.0262475899193933,0,0,0,0,0,0,0,0.081794604093952,0.627,0.181840385643768,1.22175953169433
"Patient99_T_P",0,0,0.0206566528158092,0,0,0,0,0,0.527966069128279,0.0643095360495494,0,0,0.138934293183053,0.0569212766377733,0,0,0.0671446450578156,0,0,0,0,0.12406752712772,0.74,0.117130264114258,1.10578420427017
"Patient105_T_P",0,0,0,0,0,0,0,0,0.773180314789834,0.0853108670553885,0,0,0.0374621793392669,0.0233311451462643,0,0,0,0,0,0,0,0.0807154936692467,0.63,0.17952484518619,1.22684021923152
"Patient165_T",0,0,0.0580340500145782,0,0,0,0,0,0.401444491361485,0.0458937829051431,0,0,0.160309987181364,0,0,0,0.131644413568092,0,0,0.000762161473477962,0,0.201911113495859,0.54,0.269372887053276,0.963134864660128
"Patient38_T_M",0,0,0,0,0,0,0,0,0.757815227935735,0.0800793649637927,0,0,0.0453416177730799,0.0286598578002024,0,0,0,0,0,0,0,0.0881039315271899,0.645,0.171406053847966,1.21988283065301
"Patient126_T_P",0,0,0,0,0,0,0,0,0.745521459810711,0.0869818419892358,0,0,0.0593303450537499,0.0684070206428456,0,0,0,0,0,0,0,0.039759332503458,0.69,0.147641681038155,1.22996539778528
"Patient10_T_M",0,0,0,0,0,0,0,0,0.777285933716148,0.0663455155743569,0,0,0.017212496039336,0,0,0,0.0895638597608223,0,0,0,0,0.0495921949093373,0.63,0.179375771638872,1.22675004514648
"Patient22_T_M",0,0,0.0589399818224322,0,0,0,0,0,0.437119082173013,0.0514832149436487,0,0,0.155834004415075,0,0,0,0.0954673127277474,0,0,0.00108589653443141,0,0.200070507383653,0.568,0.229953537599141,0.99766940989273
"Patient16_T_M",0,0,0,0,0,0,0,0,0.734273943623654,0.0613170939319006,0,0,0.0507312307032814,0.0237875912934814,0,0,0,0,0.0451627984763649,0.0347920804094319,0,0.0499352615618857,0.661,0.162825981126669,1.20389270423683
"Patient72_T_P",0,0,0,0,0,0,0,0,0.774586312174521,0.0824065095301579,0,0,0.0375825279421572,0.0278122336825744,0,0,0,0,0,0,0,0.0776124166705895,0.627,0.182275790158926,1.22519502148858
"Patient6_T_M",0,0,0.0635045150205453,0,0,0,0,0,0.380122689426451,0.0432533945654973,0,0,0.164943872749729,0.00304775362689342,0,0,0.107334375903739,0,0.0310851988005151,0.0181608326697047,0,0.188547367236925,0.604,0.192553942412769,0.993489899377392
"Patient23_T_M",0,0,0,0,0,0,0,0,0.624961397048684,0.0857611474373216,0,0.00757953343103687,0.0977899821407812,0.0327663180625583,0,0,0.00530499847287852,0,0,0,0,0.14583662340674,0.732,0.122959698070016,1.16086694964324
"Patient134_T",0,0,0.0162876504594875,0,0,0,0,0,0.49208989668574,0.0693601452883934,0,0.00749670472504215,0.139592638525342,0.0235078605852191,0,0,0.0543152709490501,0,0,0,0,0.197349832781725,0.681,0.152053389128365,1.06846918895671
"Patient83_T_P",0,0,0.0179585342817804,0,0,0,0,0,0.446868164659889,0.0514134832838696,0,0,0.149117329119097,0,0,0,0.149074833107417,0.00380677564243255,0,0,0,0.181760879905515,0.641,0.173796983787185,1.026520732523
"Patient121_T_P",0,0,0.048951817578406,0,0,0,0,0,0.472212618236987,0.0552550044176817,0,0,0.146873612223619,0.00257381925425499,0,0,0.0841335600580737,0,0,0,0,0.189999568230978,0.602,0.195891089012238,1.03025802271717
"Patient18_T_M",0,0,0,0,0,0,0,0,0.653680993042674,0.0741366120265388,0,0,0.0981681549426014,0.0316004151312486,0,0,0.0205315518867472,0,0,0,0,0.12188227297019,0.708,0.135373366253841,1.16860885031038
"Patient132_T",0,0,0.0233824616332054,0,0,0,0,0,0.507898992252722,0.0640737668182855,0,0.000427085225792501,0.137031756159989,0.0292530548294665,0,0,0.0671210452105685,0,0,0,0,0.17081183786997,0.661,0.162946369917664,1.06751060322517
"Patient184_T",0,0,0.0164365000427057,0,0,0,0,0,0.564605978827898,0.0636573657423484,0,0,0.118949603150632,0.0235557643569793,0,0,0.0512004651331317,0,0,0,0,0.161594322746305,0.698,0.142893158992746,1.10809295111633
"Patient77_T_P",0,0,0,0,0,0,0,0,0.75271405510201,0.0837058389079455,0,0,0.0529432871286535,0.0496651561213768,0,0,0,0,0,0,0,0.0609716627400146,0.664,0.160674634621304,1.22396899505231
"Patient131_T",0,0,0.0524389892398941,0,0,0,0,0,0.422720458632903,0.054406484525,0,0.00135175439423579,0.159393526858327,0,0,0,0.101784879230118,0,0,0,0,0.207903907119522,0.566,0.236075268520226,0.989669594095318
"Patient9_T_M",0,0,0.0491534540852792,0,0,0,0,0,0.463682572891571,0.0567144435930465,0,0,0.151980125334757,0.0129774063832813,0,0,0.0826900137408764,0,0,0,0,0.182801983971189,0.63,0.179276234581101,1.03612331182995
"Patient79_T_P",0,0,0,0,0,0,0,0,0.769262420491663,0.0810228307319533,0,0,0.0357078163918366,0.0339220763636791,0,0,0,0,0,0,0,0.0800848560208684,0.641,0.173704469521319,1.22686913216289
"Patient74_T_P",0,0,0,0,0,0,0,0,0.797364032529798,0.0846206576255344,0,0,0.0269838492936349,0.0336443114744741,0,0,0,0,0,0,0,0.0573871490765584,0.614,0.187102502349368,1.23945255748083
"Patient141_T",0,0,0,0,0,0,0,0,0.644634103388809,0.0990877437660304,0,0.0148483411668869,0.0852741388301671,0.156155672848107,0,0,0,0,0,0,0,0,0.591,0.203851551080416,1.16712529890913
