"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.131,0.127,104,0.300469038240293,"Melanoma","PD-(L)1",0.591895742332205
"HR1","PFS","B_cells_memory","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.12,0.127,104,0.343268158540698,"Melanoma","PD-(L)1",0.591895742332205
"HR2","PFS","Plasma_cells","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-0.057,0.122,104,0.639724977938116,"Melanoma","PD-(L)1",0.787221174106723
"HR3","PFS","T_cells_CD8","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-0.296,0.254,104,0.244127449263907,"Melanoma","PD-(L)1",0.579398390505815
"HR4","PFS","T_cells_CD4_naive","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.183,0.141,104,0.194830401788151,"Melanoma","PD-(L)1",0.579398390505815
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.281,0.114,104,0.0139208716078889,"Melanoma","PD-(L)1",0.140985174660384
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.118,0.126,104,0.349756575014485,"Melanoma","PD-(L)1",0.591895742332205
"HR7","PFS","T_cells_follicular_helper","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-1.515,270.779,104,0.995537007848258,"Melanoma","PD-(L)1",0.995537007848258
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-0.076,0.123,104,0.539725883191663,"Melanoma","PD-(L)1",0.787221174106723
"HR9","PFS","T_cells_gamma_delta","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-0.008,0.125,104,0.946072568599711,"Melanoma","PD-(L)1",0.991123643294936
"HR10","PFS","NK_cells_resting","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.168,0.124,104,0.176190220622989,"Melanoma","PD-(L)1",0.579398390505815
"HR11","PFS","NK_cells_activated","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.143,0.128,104,0.26336290477537,"Melanoma","PD-(L)1",0.579398390505815
"HR12","PFS","Monocytes","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.032,0.121,104,0.790337820728937,"Melanoma","PD-(L)1",0.88849651417183
"HR13","PFS","Macrophages_M0","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-0.507,0.216,104,0.0192252510900524,"Melanoma","PD-(L)1",0.140985174660384
"HR14","PFS","Macrophages_M1","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.173,0.149,104,0.245704069935803,"Melanoma","PD-(L)1",0.579398390505815
"HR15","PFS","Macrophages_M2","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.271,0.128,104,0.0339352412323928,"Melanoma","PD-(L)1",0.18664382677816
"HR16","PFS","Dendritic_cells_resting","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.069,0.12,104,0.562914555201172,"Melanoma","PD-(L)1",0.787221174106723
"HR17","PFS","Dendritic_cells_activated","ICB_Jerby_Arnon__Melanoma__PD-(L)1",-0.069,0.15,104,0.644090051541864,"Melanoma","PD-(L)1",0.787221174106723
"HR18","PFS","Mast_cells_resting","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.045,0.094,104,0.631241019124624,"Melanoma","PD-(L)1",0.787221174106723
"HR19","PFS","Mast_cells_activated","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.025,0.103,104,0.807724103792573,"Melanoma","PD-(L)1",0.88849651417183
"HR20","PFS","Eosinophils","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.305,0.106,104,0.00387990416109289,"Melanoma","PD-(L)1",0.0853578915440436
"HR21","PFS","Neutrophils","ICB_Jerby_Arnon__Melanoma__PD-(L)1",0.194,0.124,104,0.117957296595402,"Melanoma","PD-(L)1",0.519012105019771
