"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Jung__Lung__PD-(L)1",0.127,0.21,27,0.545541505377422,"Lung","PD-(L)1",0.949866912033108
"HR1","PFS","B_cells_memory","ICB_Jung__Lung__PD-(L)1",0.045,0.221,27,0.838788148545543,"Lung","PD-(L)1",0.949866912033108
"HR2","PFS","Plasma_cells","ICB_Jung__Lung__PD-(L)1",0.335,0.219,27,0.125173717605291,"Lung","PD-(L)1",0.949866912033108
"HR3","PFS","T_cells_CD8","ICB_Jung__Lung__PD-(L)1",-0.088,0.285,27,0.758332968593776,"Lung","PD-(L)1",0.949866912033108
"HR4","PFS","T_cells_CD4_naive","ICB_Jung__Lung__PD-(L)1",0.12,0.208,27,0.564668386763263,"Lung","PD-(L)1",0.949866912033108
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Jung__Lung__PD-(L)1",0.156,0.22,27,0.479100522449462,"Lung","PD-(L)1",0.949866912033108
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Jung__Lung__PD-(L)1",-0.232,0.302,27,0.44226273919048,"Lung","PD-(L)1",0.949866912033108
"HR7","PFS","T_cells_follicular_helper","ICB_Jung__Lung__PD-(L)1",0.094,0.232,27,0.685297195000954,"Lung","PD-(L)1",0.949866912033108
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Jung__Lung__PD-(L)1",-0.048,0.256,27,0.850904175200757,"Lung","PD-(L)1",0.949866912033108
"HR9","PFS","T_cells_gamma_delta","ICB_Jung__Lung__PD-(L)1",-0.193,0.254,27,0.446760095820612,"Lung","PD-(L)1",0.949866912033108
"HR10","PFS","NK_cells_resting","ICB_Jung__Lung__PD-(L)1",0.108,0.261,27,0.678815249833064,"Lung","PD-(L)1",0.949866912033108
"HR11","PFS","NK_cells_activated","ICB_Jung__Lung__PD-(L)1",-0.198,0.265,27,0.455857026611362,"Lung","PD-(L)1",0.949866912033108
"HR12","PFS","Monocytes","ICB_Jung__Lung__PD-(L)1",0.228,0.206,27,0.266474405923719,"Lung","PD-(L)1",0.949866912033108
"HR13","PFS","Macrophages_M0","ICB_Jung__Lung__PD-(L)1",-0.028,0.204,27,0.889799109539704,"Lung","PD-(L)1",0.949866912033108
"HR14","PFS","Macrophages_M1","ICB_Jung__Lung__PD-(L)1",-0.12,0.233,27,0.605942040047561,"Lung","PD-(L)1",0.949866912033108
"HR15","PFS","Macrophages_M2","ICB_Jung__Lung__PD-(L)1",-0.067,0.277,27,0.80890483400364,"Lung","PD-(L)1",0.949866912033108
"HR16","PFS","Dendritic_cells_resting","ICB_Jung__Lung__PD-(L)1",-0.125,0.249,27,0.614952555464334,"Lung","PD-(L)1",0.949866912033108
"HR17","PFS","Dendritic_cells_activated","ICB_Jung__Lung__PD-(L)1",-0.013,0.223,27,0.954298328116855,"Lung","PD-(L)1",0.954298328116855
"HR18","PFS","Mast_cells_resting","ICB_Jung__Lung__PD-(L)1",0.047,0.225,27,0.834200894612541,"Lung","PD-(L)1",0.949866912033108
"HR19","PFS","Mast_cells_activated","ICB_Jung__Lung__PD-(L)1",-0.024,0.204,27,0.90669114330433,"Lung","PD-(L)1",0.949866912033108
"HR20","PFS","Eosinophils","ICB_Jung__Lung__PD-(L)1",0.083,0.199,27,0.677552842783736,"Lung","PD-(L)1",0.949866912033108
"HR21","PFS","Neutrophils","ICB_Jung__Lung__PD-(L)1",-0.263,0.261,27,0.312437653416173,"Lung","PD-(L)1",0.949866912033108
