"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","B_cells_naive","ICB_Jung__Lung__PD-(L)1",0.236,0.46,27,0.608515854652071,"Lung","PD-(L)1",0.982291021718651
"2","R vs NR","B_cells_memory","ICB_Jung__Lung__PD-(L)1",0.172,0.463,27,0.709760097097517,"Lung","PD-(L)1",0.982291021718651
"3","R vs NR","Plasma_cells","ICB_Jung__Lung__PD-(L)1",1.149,0.719,27,0.11007854048093,"Lung","PD-(L)1",0.982291021718651
"4","R vs NR","T_cells_CD8","ICB_Jung__Lung__PD-(L)1",-0.121,0.424,27,0.774788592440156,"Lung","PD-(L)1",0.982291021718651
"5","R vs NR","T_cells_CD4_naive","ICB_Jung__Lung__PD-(L)1",0.402,0.693,27,0.561811658639809,"Lung","PD-(L)1",0.982291021718651
"6","R vs NR","T_cells_CD4_memory_resting","ICB_Jung__Lung__PD-(L)1",0.657,0.548,27,0.230968057104023,"Lung","PD-(L)1",0.982291021718651
"7","R vs NR","T_cells_CD4_memory_activated","ICB_Jung__Lung__PD-(L)1",-0.395,0.407,27,0.33152310682265,"Lung","PD-(L)1",0.982291021718651
"8","R vs NR","T_cells_follicular_helper","ICB_Jung__Lung__PD-(L)1",0.021,0.431,27,0.960246042450558,"Lung","PD-(L)1",0.995624233391255
"9","R vs NR","T_cells_regulatory_.Tregs.","ICB_Jung__Lung__PD-(L)1",0.172,0.459,27,0.708246425673668,"Lung","PD-(L)1",0.982291021718651
"10","R vs NR","T_cells_gamma_delta","ICB_Jung__Lung__PD-(L)1",-7.912,1291.944,27,0.995113525326586,"Lung","PD-(L)1",0.995624233391255
"11","R vs NR","NK_cells_resting","ICB_Jung__Lung__PD-(L)1",0.185,0.492,27,0.707848505748546,"Lung","PD-(L)1",0.982291021718651
"12","R vs NR","NK_cells_activated","ICB_Jung__Lung__PD-(L)1",-0.166,0.429,27,0.699269013491644,"Lung","PD-(L)1",0.982291021718651
"13","R vs NR","Monocytes","ICB_Jung__Lung__PD-(L)1",0.855,0.76,27,0.260549416346622,"Lung","PD-(L)1",0.982291021718651
"14","R vs NR","Macrophages_M0","ICB_Jung__Lung__PD-(L)1",-0.116,0.417,27,0.781738277461486,"Lung","PD-(L)1",0.982291021718651
"15","R vs NR","Macrophages_M1","ICB_Jung__Lung__PD-(L)1",-0.273,0.422,27,0.518375068240421,"Lung","PD-(L)1",0.982291021718651
"16","R vs NR","Macrophages_M2","ICB_Jung__Lung__PD-(L)1",-0.321,0.433,27,0.458795815425282,"Lung","PD-(L)1",0.982291021718651
"17","R vs NR","Dendritic_cells_resting","ICB_Jung__Lung__PD-(L)1",-0.137,0.417,27,0.742472839553833,"Lung","PD-(L)1",0.982291021718651
"18","R vs NR","Dendritic_cells_activated","ICB_Jung__Lung__PD-(L)1",-0.104,0.419,27,0.803692654133442,"Lung","PD-(L)1",0.982291021718651
"19","R vs NR","Mast_cells_resting","ICB_Jung__Lung__PD-(L)1",0.189,0.451,27,0.674707981606035,"Lung","PD-(L)1",0.982291021718651
"20","R vs NR","Mast_cells_activated","ICB_Jung__Lung__PD-(L)1",-0.011,0.426,27,0.979353289067157,"Lung","PD-(L)1",0.995624233391255
"21","R vs NR","Eosinophils","ICB_Jung__Lung__PD-(L)1",57.861,10550.365,27,0.995624233391255,"Lung","PD-(L)1",0.995624233391255
"22","R vs NR","Neutrophils","ICB_Jung__Lung__PD-(L)1",-0.484,0.418,27,0.246747299711099,"Lung","PD-(L)1",0.982291021718651
