"","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell"
"P_990",0,0,0,5.40459594549028e-25,2.31602601878947e-06,0,0,2.9244371056987e-22,2.50881187761337e-08,7.29942146176547e-07,0,2.36153052726154e-24,3.05614803449363e-22,5.49425428285386e-22,1.79481191628963e-23,1.08771708796873e-21,0,0,0,1.85072311189575e-22,0,3.5402488314657e-23,0,0,9.72216685606531e-22,4.88753775336499e-22,3.66495103396672e-22,5.75709899793473e-23,9.97542402565519e-24,0,2.80344919963806e-23,7.80399186793759e-24,0,0,6.62055588076743e-09,3.18861382391578e-24,3.1578377397201e-24,6.729990605028e-24,1.89962295540166e-08,1.19310117600992e-22,8.62387656461286e-23,0,3.56121296680438e-07,1.60291648830686e-22,8.66153648094553e-23,8.51491017720577e-27,0,0,3.84952807747344e-22,3.44300213779416e-07,0,0,1.05629094575177e-21,5.76038239272698e-08,2.98779154673756e-23,3.67005240556587e-22,1.22304299692336e-24,5.36112768760179e-25,8.64258795592088e-23,2.89400312628003e-05,0,2.92136396562113e-23,1.13159081690803e-23,1.9581075036612e-23,4.41370392051229e-09,4.86108342803266e-22,4.41370392051277e-09
"P_947",9.40624149099245e-23,0,5.08703517081196e-22,8.43752122725835e-08,3.04872769245868e-06,0,0,3.96531982061732e-23,1.99225993566444e-07,3.88530120886509e-06,0,2.45857587578018e-23,0,1.55773893104172e-22,0,0,1.75812230060259e-07,1.14644261246348e-23,1.84070717448685e-23,0,1.12007413608899e-22,0,0,6.05475258414771e-23,5.35652735777568e-22,1.64601980543959e-22,0,5.19662816205149e-10,0,2.34717776082936e-23,0,0,0,1.05526687364832e-08,9.14758672586311e-08,0,7.17174285895715e-23,6.08674917564266e-24,5.50404100600509e-08,0,8.52932938223484e-22,5.24874958764816e-23,1.61407405250479e-21,4.46672152123796e-23,6.17377267261552e-23,0,0,0,1.57030042183236e-21,7.40741135167515e-23,0,1.57809444084363e-23,1.37417307748045e-22,2.54970672657965e-07,0,0,0,0,0,1.81524725390611e-05,0,2.13702052075271e-23,0,0,1.17234053020811e-07,3.23830074693234e-22,1.17234053020812e-07
"P_825",1.4287201041903e-22,1.01221309138636e-22,3.0407935081664e-22,0,9.4302964839841e-07,0,3.28188984167084e-23,0,2.27487925463263e-23,3.83933656940327e-07,0,0,1.93339990708788e-23,5.31457073804423e-23,0,0,1.01887670675069e-07,3.45706394615214e-23,2.73990495870022e-24,0,0,1.71474729531779e-23,0,0,7.55230450677118e-22,0,0,1.0013302057809e-22,0,0,3.25414440292583e-23,7.46583582284138e-23,1.74506846387086e-22,1.07947111763144e-26,1.0262868307196e-22,1.19599575381942e-27,4.14044542641228e-22,0,5.78361089820283e-07,2.13245241832903e-22,1.66234271870205e-22,1.91867082443837e-25,2.70187009406511e-21,0,0,1.19530827050294e-23,0,2.52449257164076e-22,0,1.06239548832356e-22,4.08566369981803e-06,3.29383119817896e-24,4.28939699711957e-23,2.57723431765263e-08,0,2.96610452950977e-22,0,1.10862610048664e-23,0,3.03141176684125e-05,5.93579381177082e-23,0,3.53472058251328e-22,0,4.08745362191888e-22,4.28225879907877e-22,8.36971242099765e-22
"P_573",4.4539550699752e-23,6.72245505924129e-23,0,5.96319925156935e-24,4.92227841665324e-06,0,0,3.39000703368775e-22,2.16551365765417e-07,2.80347036884291e-06,0,2.00378672133239e-22,0,5.39623625475758e-22,0,0,1.24976434486186e-07,0,0,0,0,0,3.03728058750577e-23,8.15075115605722e-23,1.08374300511523e-22,1.02484214368447e-23,9.64863312788894e-23,8.82721637354971e-23,0,5.54999283466656e-23,0,1.08226403943517e-22,1.09250004958481e-23,0,2.51891500015121e-08,0,2.61180425334084e-26,6.198453895033e-24,1.36798994052291e-22,4.71905650230268e-22,0,0,1.33896688552752e-06,3.41383113577661e-23,2.24987167525909e-22,0,0,6.45357751836183e-23,7.73011277410522e-22,0,0,5.01362365713361e-23,0,6.13364229374604e-08,7.20547222499821e-23,0,1.64318359604496e-26,4.06048868267808e-25,1.88291751213475e-22,9.99353226428774e-06,1.40192246079522e-22,0,2.18950165581294e-22,0,1.67927666676757e-08,8.77994255519681e-23,1.67927666676758e-08
"P_378",0,0,0,9.78948630419693e-24,2.18106245320867e-06,2.00349142083863e-23,3.88717455712458e-23,6.97181847331766e-23,1.8008703593165e-23,2.16492731272531e-06,0,3.54584849187853e-23,0,2.87085375937349e-22,8.41771807249704e-25,0,2.17730576161928e-24,7.07478729489967e-23,6.6575003594437e-23,0,3.24986914668775e-22,9.68732758698968e-23,3.00703201838278e-22,0,0,6.41142230298191e-22,0,0,1.36675516543867e-24,0,2.19594819069173e-24,3.09562312342835e-22,7.96218573585651e-23,2.94359671986171e-24,8.68881140240861e-22,0,5.55437420810151e-23,0,1.96237630228286e-06,4.15174905027565e-22,4.28065086314129e-22,5.02556745118752e-23,0,2.26080498959036e-22,2.03955439808051e-22,2.19772368762379e-25,0,0,0,3.05147730448008e-22,1.29443029656397e-06,0,4.50283864850311e-21,2.66287937152175e-07,0,2.3236550864046e-21,2.48861034210734e-25,2.1552343835598e-23,0,7.79429393915953e-05,0,0,4.8345609038751e-22,0,1.21223198048259e-21,1.62493457334388e-22,1.37472543781697e-21
"P_1873",0,0,4.52911491533123e-22,3.29517653178498e-25,5.81685774256467e-07,3.42888009004912e-24,3.24162907300874e-23,0,1.29481173854075e-26,7.12946593178785e-07,0,0,0,4.5479033962754e-23,4.53181024326383e-26,0,0,0,1.86092148567076e-23,4.60198916817546e-23,4.09282084861352e-22,0,0,1.85091833750725e-23,0,9.51654119855435e-23,0,1.07873460940343e-22,1.53092667917229e-23,0,0,0,0,9.1355076105442e-24,0,0,5.68496273952924e-22,1.67374207199305e-08,5.11433640543104e-07,5.50751575765988e-22,1.76297419307737e-22,0,0,3.68965071446706e-22,0,1.46482360024122e-25,0,2.52201798441734e-24,1.99388118995382e-25,0,0,0,6.04190910285043e-21,5.64658661759831e-08,1.42754132812142e-22,2.48463250032672e-21,0,0,1.31430471850043e-21,8.18864700377887e-05,7.29215024976959e-25,1.64773771734212e-09,1.93186161413569e-25,0,1.50245489830722e-22,2.04641042430676e-22,3.54886532261398e-22
"P_1809",0,0,0,0,1.51274221488566e-06,0,3.82544865904341e-23,2.49094484964211e-22,0,9.01009297053917e-07,0,0,0,0,9.08154702824586e-09,0,4.52298813094974e-08,1.1104877121567e-23,0,0,4.99979657412699e-22,0,4.23474190205635e-08,6.6300856589005e-23,0,6.39230805131083e-23,2.16907841495817e-22,1.71214139824581e-22,2.00889812829083e-23,3.04526365100435e-24,1.08399429027056e-22,0,2.77821138535946e-22,0,3.26493131619779e-23,0,2.02185972308127e-08,0,7.78912996731062e-07,5.07187498768704e-22,0,4.95032084234846e-23,1.88864348148523e-05,0,9.83464157215019e-23,2.47836436982291e-25,0,0,1.99212303217113e-22,5.15020650878878e-07,0,0,1.42027408664342e-21,1.98251252156514e-07,4.10919055836852e-22,0,0,9.56569858512771e-26,0,3.27508928049433e-05,0,0,5.42990174141427e-24,0,3.20637400895535e-22,2.49989828706349e-22,5.70627229601884e-22
"P_1708",4.26751421184526e-25,9.81045589722313e-23,0,9.45114481039022e-08,5.28801452152677e-06,0,0,0,0,3.62557052836014e-06,0,0,0,4.27042379941766e-24,0,1.32077456741792e-22,2.65403029964444e-07,0,0,0,2.9950812029578e-22,4.03267249963788e-22,0,1.9504499624088e-22,3.81738960640111e-22,0,0,0,1.18395295286517e-22,0,0,0,0,0,3.57492873910326e-08,0,1.13092681698282e-23,0,2.47242978521286e-07,0,9.45039669240937e-22,0,1.02206212330709e-05,1.10137463939632e-24,0,0,3.36865536822317e-26,0,3.00977505539593e-22,0,0,0,8.94980933040286e-22,2.3966746834523e-07,2.46356837214832e-22,8.84793194593543e-22,3.96771369959881e-09,0,0,4.59261955479348e-06,0,0,0,0,8.68404903299577e-08,3.89675819954061e-22,8.68404903299581e-08
"P_1619",3.63905400141882e-22,0,0,2.79055127575746e-23,2.88004577642354e-06,2.35931466448484e-23,1.73481196881043e-22,1.80988893928849e-23,0,7.7803496615199e-07,0,0,3.63558359342077e-22,1.24871542917279e-22,3.67517411638116e-08,0,0,2.17955871532272e-23,0,1.55418392719737e-23,3.96368000853362e-22,0,1.21209108216283e-23,2.74691691713849e-23,0,2.42760753901636e-22,0,0,2.35763852938211e-24,4.92989470640972e-24,1.76337879660186e-23,0,0,0,6.31217289565511e-23,0,1.30097301119363e-23,0,4.27483592484147e-07,0,6.03737162856742e-22,7.88235021916915e-23,9.57336537564075e-22,0,0,0,5.76821060350609e-26,0,0,3.09226003447279e-22,2.2510301164633e-06,5.96846416325051e-24,3.60334209145701e-21,0,0,1.78224738594197e-21,0,0,7.69619313186768e-22,8.37561057125479e-05,0,0,3.33511033847639e-22,0,4.85603422157151e-22,1.98184000426681e-22,6.83787422583832e-22
"P_1554",0,0,0,2.9191982650025e-08,4.82182760010442e-07,3.93811453615418e-25,3.77769280563399e-23,1.7737505379952e-23,2.3896777351987e-08,1.30143504186991e-06,0,7.33913173379927e-25,2.34230339757021e-23,2.28456412353169e-23,2.98616268756523e-29,0,0,0,0,0,0,3.53778923734692e-26,0,0,0,0,0,3.04474795993465e-24,0,1.25664901080338e-23,9.06815854454027e-23,1.85595298524365e-23,0,0,1.46254893257512e-23,0,2.0567194367355e-22,2.35302908505676e-08,1.2154636983206e-06,0,0,0,4.5465992206352e-22,0,0,1.54628469695407e-25,0,0,0,2.50097030174564e-23,0,0,2.89409435525196e-21,1.74658373076064e-07,3.25305352572604e-23,1.56198450104909e-21,5.47193983258821e-26,2.7345717629632e-23,4.6735025821881e-22,6.91064011218823e-05,1.84664403285801e-23,2.77214287592033e-25,7.32964722527254e-24,5.47606740481254e-23,1.94613217666834e-08,0,1.94613217666834e-08
