"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P_990",0.144862929373994,0,0.0119727465402527,0,0,0.308816933077463,0,0.0215392848683433,0.0187429036382926,0,0.0220312994458964,0,0.0440112974125907,0,0.00370792267661094,0.0115027491219792,0,0.00506413814900311,0,0.378272310301996,0.0294754853935777,0,0.562,0.0249009707563524,1.1447575707267
"P_947",0.114271049476048,0,0.0294793338751272,0.109856525633275,0,0.0618844968771762,0.100742526408424,0.03210787516966,0.01967225636242,0.0127457307352379,0,0.043326285111313,0,0.0658299728124986,0.101157394998166,0.283726456310374,0,0,0,0.0252000962302803,0,0,0.001,0.313641914138008,0.956474009182537
"P_825",0.120158621781179,0,0.0407735156408319,0,0,0.269693646895153,0,0.0135339009060053,0.0799702006306153,0,0.00181576301398699,0,0.0128381617772875,0.124748892747915,0.00916739579934354,0.230945577405184,0,0.0208528168276638,0.0352551829207452,0,0,0.0402463236540896,0.934,-0.0283563757330681,1.09434147566075
"P_573",0.022300050875953,0,0.0372263151395494,0.0929481492277603,0.142331777459583,0,0.033799427651283,0.0488299096188274,0,0,0.0272283545568397,0.0214563684432354,0.0189515068040648,0.0444233388171736,0.108788618104999,0.208809365999275,0.0245108421697989,0,0,0.113032856831082,0.0407364226438327,0.0146266956567431,0.00800000000000001,0.256026136376373,0.982565259667807
"P_378",0.0121414933008494,0,0.055890095855584,0.0820259381720733,0,0.0998126192661702,0.0190277553476354,0.0368862641819945,0.00469389945362383,0,0,0.0321394318204882,0,0.0481713066663513,0.114750190357775,0.323291043689246,0.0201826806001158,0.0217419139218253,0.0385738234805681,0.0117931003207401,0,0.0788784435649599,0.001,0.308528311972141,0.960856742220449
"P_1873",0.0947359830638045,0,0.0306132702265084,0.0530726035679669,0,0.0567376760629423,0,0.00374653235742226,0.0417170915599495,0,0.012181661271795,0.00462656797077206,0.021986291580496,0.0265006984234997,0.104302550719503,0.495222138469034,0,0,0,0.0274685338888432,0,0.0270884008374637,0.00900000000000001,0.253378943900654,0.996816852000775
"P_1809",0.0166294001886574,0,0.0715501455079267,0.0685310698257125,0,0.0282399229374203,0,0.012358138849498,0.0210412548903061,0,0,0.0686942018867665,0.0110221586153163,0,0.0126621311216364,0.385114753399909,0.0720826444386063,0.139666889977618,0.07793608854929,0,0,0.0144711998113365,0,0.486905186175693,0.873804994069969
"P_1708",0.0517556091097584,0,0.00287714891517214,0.0484059048154431,0,0,0.00682513892094412,0.0795338148031883,0,0.0264187895511427,0,0.0519588936805208,0,0.0263657184127041,0.0193246980948945,0.296483943079537,0.0318440882732153,0.0272311850540624,0,0.167705995904297,0,0.163269071385121,0.001,0.392115619039967,0.925963610178
"P_1619",0.00458754058496986,0,0,0.0173181269610877,0,0.0619133449706881,0,0.0173351028469565,0.0137195752749605,0,0.0197790195146585,0.0239801780340873,0.196872948216601,0.28409187004057,0.00510337857928514,0.320260043186619,0.0247452861681821,0,0,0,0.00268251983683259,0.00761106578450165,0,0.422241642611249,0.918075238415941
"P_1554",0.0264502053448757,0.0668444782299092,0.0700258689478931,0.0910256522725383,0,0.308586534791142,0,0,0,0,0,0.0286240030817163,0.0878996596212275,0.0273406838916011,0.0213237705192992,0.160747659275762,0.00801865088591038,0.0551884812806855,0.044722644388154,0,0,0.00320170746928507,0.017,0.207457534312791,0.996170710690664
"P_1528",0,0.117157857116652,0.00787926256240578,0.0827208596991963,0.0264036526310784,0,0.0271641203302831,0.0230245243951232,0,0,0.02582277152212,0.0487349363467859,0.0410936013098257,0,0.0112467247888098,0.264014941259622,0.0406122067912144,0.0141173899696869,0.0242643907481945,0,0,0.245742760529002,0,0.477227223416311,0.878369925680218
"P_1510",0.0119870691222191,0.014297395181746,0,0.123365849687656,0,0.0161374716484559,0.00503659388912607,0.0246790654653241,0.0224045317345787,0,0.00831182118319006,0.0480359634280679,0.0658742578675759,0,0.0965088180494317,0.249951505059157,0.0073203178152868,0.120018459073754,0.00742831462934518,0,0,0.178642566165085,0,0.516329259970015,0.856613166670382
"P_1508",0.00694048825253827,0.00962561463853467,0.0487882714434859,0.0864687990089323,0,0.095627244592349,0,0.0268698790938816,0.0284990738846661,0,0.0187759742383155,0.0322959227892615,0.0138866828915908,0,0.0368060704061801,0.219387642453939,0.0156797232752017,0.0700670200284397,0.0947132629529128,0,0,0.195568330049771,0,0.539348318846487,0.84707168641457
"P_1425",0.00581880369005486,0,0.0154802808930105,0.0519921001160062,0,0.0637393956872212,0,0.0511821301358346,0.00601844082971765,0,0.0134510880212147,0.0599035421127472,0.00158892552041803,0.165984345764018,0.176227815746283,0.254837299747656,0.06806598922977,0,0,0.0161687125881464,0,0.0495411299179019,0,0.465130457507421,0.887074883655695
"P_1412",0,0.00240523759836037,0.000421045335460006,0.222443576292718,0,0,0.0509550965023665,0.0588998889064642,0,0,0,0.0960045879344317,0.0233347831661624,0.0501864520273352,0.0865922242108971,0.234996707561259,0.00899936703451681,0.0848182293565809,0,0.054113166300206,0,0.0258296377732421,0.018,0.203749567871254,1.01878560312146
"P_1401",0.124588144671064,0.129303991464895,0.00482329834766313,0.0177245305275879,0.0708030464780747,0.194667834626639,0.0997903697206941,0,0,0,0.0371526416109111,0.000377851806696488,0,0.212921563793995,0.00203166425317023,0.0963700895830969,0,0.00549385961328429,0.00395111350222757,0,0,0,0,0.542889242534066,0.8464542278296
