"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_jung",2.839,4.697,27,0.545541505377422,"Lung","PD-1/PD-L1",0.949866912033108
"HR1","PFS","B_cells_memory","ICB_jung",1.129,5.549,27,0.838788148545542,"Lung","PD-1/PD-L1",0.949866912033108
"HR2","PFS","Plasma_cells","ICB_jung",9.805,6.394,27,0.125173717605291,"Lung","PD-1/PD-L1",0.949866912033108
"HR3","PFS","T_cells_CD8","ICB_jung",-1.662,5.403,27,0.758332968593776,"Lung","PD-1/PD-L1",0.949866912033108
"HR4","PFS","T_cells_CD4_naive","ICB_jung",3.95,6.859,27,0.564668386763263,"Lung","PD-1/PD-L1",0.949866912033108
"HR5","PFS","T_cells_CD4_memory_resting","ICB_jung",1.677,2.369,27,0.479100522449462,"Lung","PD-1/PD-L1",0.949866912033108
"HR6","PFS","T_cells_CD4_memory_activated","ICB_jung",-8.343,10.858,27,0.44226273919048,"Lung","PD-1/PD-L1",0.949866912033108
"HR7","PFS","T_cells_follicular_helper","ICB_jung",3.608,8.904,27,0.685297195000953,"Lung","PD-1/PD-L1",0.949866912033108
"HR8","PFS","T_cells_regulatory_(Tregs)","ICB_jung",-2.42,12.874,27,0.850904175200756,"Lung","PD-1/PD-L1",0.949866912033108
"HR9","PFS","T_cells_gamma_delta","ICB_jung",-34.699,45.606,27,0.446760095820613,"Lung","PD-1/PD-L1",0.949866912033108
"HR10","PFS","NK_cells_resting","ICB_jung",4.654,11.239,27,0.678815249833064,"Lung","PD-1/PD-L1",0.949866912033108
"HR11","PFS","NK_cells_activated","ICB_jung",-7.276,9.757,27,0.455857026611363,"Lung","PD-1/PD-L1",0.949866912033108
"HR12","PFS","Monocytes","ICB_jung",4.171,3.753,27,0.266474405923719,"Lung","PD-1/PD-L1",0.949866912033108
"HR13","PFS","Macrophages_M0","ICB_jung",-0.322,2.326,27,0.889799109539705,"Lung","PD-1/PD-L1",0.949866912033108
"HR14","PFS","Macrophages_M1","ICB_jung",-2.351,4.558,27,0.605942040047563,"Lung","PD-1/PD-L1",0.949866912033108
"HR15","PFS","Macrophages_M2","ICB_jung",-0.577,2.384,27,0.808904834003637,"Lung","PD-1/PD-L1",0.949866912033108
"HR16","PFS","Dendritic_cells_resting","ICB_jung",-3.445,6.849,27,0.614952555464335,"Lung","PD-1/PD-L1",0.949866912033108
"HR18","PFS","Mast_cells_resting","ICB_jung",1.582,7.558,27,0.83420089461254,"Lung","PD-1/PD-L1",0.949866912033108
"HR19","PFS","Mast_cells_activated","ICB_jung",-0.301,2.566,27,0.90669114330433,"Lung","PD-1/PD-L1",0.949866912033108
"HR20","PFS","Eosinophils","ICB_jung",8.727,20.989,27,0.677552842783737,"Lung","PD-1/PD-L1",0.949866912033108
"HR21","PFS","Neutrophils","ICB_jung",-2.968,2.938,27,0.312437653416174,"Lung","PD-1/PD-L1",0.949866912033108
"HR17","PFS","Dendritic_cells_activated","ICB_jung",-0.32,5.59,27,0.954298328116855,"Lung","PD-1/PD-L1",0.954298328116855
