"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"ERR2497987",0.02648842124458,0,0.159526030721647,0.175252509990147,0,0.14775712024683,0,0.05477348638571,0.116475843267039,0,0,0.0615545521895017,0.00792304659216704,0,0.0323150656023583,0.138819114676759,0.0132500424862134,0.0166852903236272,0,0.0418095143508662,0,0.00736996192255437,0.00900000000000001,0.265068537919787,0.97765717489735
"ERR2497988",0.0522795955739772,0,0.206515406937436,0.128601446426213,0,0.185989353326333,0.00169620217043097,0,0.0326608181447608,0,0.0081998362874323,0.0115211616640762,0,0.0217883898638283,0.0406770985940638,0.147379205892243,0.0364099898462268,0,0.0439892128289097,0.0207996252266752,0,0.0614926572173937,0.023,0.196662597701632,0.99430732915481
"ERR2497989",0.049907590437599,0,0.143279053401035,0.101884737075313,0,0.225865021338119,0,0.00738700649172304,0.0155818688102414,0,0,0.032367058685527,0,0.0663455166894182,0.0329785966795444,0.13485049156648,0.0365626315493819,0,0,0.0730588893611368,0,0.0799315379144823,0.014,0.240878454759643,0.981925103013811
"ERR2497990",0.0540896891080117,0,0.261254897142313,0.148007273729502,0,0.132659109648488,0,0.0189037862229467,0.0278799423671601,0,0,0.0262703875724342,0.00562880910997243,0,0.0109847517017659,0.144110942013604,0.052856073944339,0.00673424962161702,0.0117985238292479,0.0615555700548671,0,0.037265993933732,0.004,0.330158199897846,0.944119054918673
"ERR2497991",0,0,0.0434933879035,0,0,0.277853227867696,0,0.00574369569592661,0.191688650234325,0,0.0166087373581324,0.0682881894326372,0.0277103969230939,0.20114670641376,0.0180007929648158,0.0397155976877264,0,0,0.093507272984373,0,0.0162433445340135,0,0.744,-0.0028243595446067,1.09753076527573
"ERR2497992",0.023080459442212,0,0.0235899687861237,0.21239767836319,0,0.0295719786998677,0,0.081750407687437,0,0,0,0.130292937173834,0.0080347055646376,0.0197315675440329,0.264951339108992,0.13179097880379,0.0146118975099046,0,0.0601960813159783,0,0,0,0.001,0.413392438119563,0.931480484309862
"ERR2497993",0.0691591260047313,0,0.0440104673694902,0.183942139663498,0,0.113173800786582,0.0509668987012281,0.0471695260245181,0,0,0,0.0337747344318847,0.0245900427169063,0,0.0375372431944651,0.0339874194955204,0.0141841262220924,0.0145148858159916,0,0.167691759447172,0,0.165297830125919,0.00800000000000001,0.284382025695912,0.977004761420486
"ERR2497994",0.024905410564839,0,0.052214419746493,0.241790100092156,0,0.010879292304991,0.13711169145828,0.0564038384410936,0,0,0.0167144918410971,0,0.00710280376069254,0,0.109498723217765,0.133781505076819,0.0433077916650071,0.00489018307597064,0,0.0707944604081726,0,0.0906052883466236,0.001,0.421660692238238,0.905988030910456
"ERR2497995",0.0280417625980952,0,0,0.0366606547457492,0.0218422580583778,0.0201430942980886,0,0.00898141671936055,0.00489019571294118,0,0,0.0323363027486581,0.0039801486279439,0.00773869803172259,0.0141690857097575,0.0323151957152495,0.00917674761963247,0.0177260077616894,0,0.562879210484741,0.0111631229199798,0.187956098248013,0,0.503159378739934,0.918272008039598
"ERR2497996",0,0,0,0.0477628121283758,0.000421397648747149,0.0985257498175905,0,0,0,0,0,0.097655932725047,0,0.0661479732223567,0.0941826809953267,0.0720980626521516,0,0.0911798502273318,0,0.390304063063203,0.00187862875711259,0.039842848762757,0.015,0.22427341121361,1.07418149572921
