"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"C15_2297",0.131101411780867,0.108740151004281,0,0.0520509133088982,0.422604668270734,0.0352559979454881,0.051377692239998,0.0283470781334626,0.0651068767758929,0,0.00281897238297267,0.0302882041273506,0.0379503183958607,0.00177875972069522,0,0.00389809804156982,0,0.0136136055379068,0.00594623067941949,0,0,0.00912102165460298,0,0.460621066875298,0.890982745531132
"A19_718_1",0.0647032451881158,0.106116049244822,0.0790954663423166,0.13199159263838,0,0.112120926924215,0,0.0272264252012957,0.0421589561972012,0,0,0.0713439153190173,0.0261039844354976,0,0.0190219811368668,0.219558700492963,0,0.051692721634055,0.024231827708497,0,0,0.0246342075367567,0.091,0.117393922420528,1.03176733678159
"A19_6764",0,0.077705716454012,0,0.463486640502259,0,0,0,0.0263028912493308,0.047717692477081,0,0.00606208095805225,0.0653423468103977,0.0675409660625763,0,0.0308501356502197,0.174228562703501,0,0.00530499675152112,0.0354579703810491,0,0,0,0.351,0.0347235197769822,1.1100941341735
"A19_5795_1",0.164306682643196,0,0,0.184101196202113,0,0,0.000305312995237653,0.197647758120888,0,0,0.0208157084220009,0.0785025075593426,0.109048464177733,0.0089517617601197,0.0042148002230912,0,0.0203089183471483,0.21179688954913,0,0,0,0,0.333,0.0376158582062489,1.09267307197885
"A19_5242_2",0.0901687601503858,0,0.0542854816428633,0.054123056178379,0.0411321071162537,0,0.0961064218738876,0.0807641750048474,0.0625467276875875,0,0.15241499279506,0,0.210662352419875,0.01942552663217,0.0101487572952297,0,0,0.0618288042512847,0,0.0597052746664749,0,0.00668756228570188,0.915,-0.0309431141402271,1.09506194507745
"A19_503_2",0,0,0,0.0471690079699897,0,0.161066748771878,0.00140270488934358,0,0,0,0.0145213511322609,0.0126332952934557,0.0382440894150324,0.23886522236865,0,0.482588613665987,0,0,0,0.00350896649340254,0,0,0.472,0.0202947409542267,1.145370289017
"A19_5029_2",0,0.042724790256612,0.00266025430746529,0.0990586304813718,0.0355571134240913,0.264373054854191,0,0,0,0,0.0438601368192091,0.0597015578685289,0.0469103183053229,0,0.0553878729948235,0.34117645764907,0.00514182317132267,0,0,0.00237662456289624,0,0.00107136530509578,0.253,0.0542924318136845,1.08171420154618
"A19_4598",0,0.366752292952918,0,0,0.143887363990573,0.130137254443402,0.0165351411774112,0.0160112615179511,0.0505149625455649,0,0,0.0915227800690053,0.0234642581790414,0.0197529284504507,0.0441198833349791,0.0369023970527645,0.0100178623442721,0,0.0481544381633003,0,0,0.00222717577836697,0.03,0.191959552343293,1.01775872861412
"A19_405",0.13842050904963,0,0.095539830639611,0.0226565700261103,0,0.177402712051017,0.0131886678361722,0.0012852732831979,0.036760262596801,0.0191649966348003,0,0.122105175089132,0.171060940600082,0,0.0268331605741153,0.0385615754621393,0.0241245776416129,0.0288133393289774,0,0.0840824091866028,0,0,0.545,0.010866191800927,1.08410782779338
"A19_2207_1",0,0,0.0202401451497754,0.0611965828193584,0.21314083308475,0,0.0190682136260647,0,0,0,0.117864808212342,0.00692720835357081,0.0192803557008898,0,0.00723648879847545,0.404917389132531,0,0.0277896307510895,0,0.0539461943674738,0,0.0483921500036797,0.545,0.0108203613027486,1.09508882357104
"A19_2185_1",0.0722088899531566,0,0.647612345157994,0.020277219915185,0.0975015227565838,0.00941120639140067,0.00135807463175013,0,0,0,0.0141697585409956,0.0101530244269091,0.0499666610946028,0.0196218068337395,0.016978359775894,0,0.0112518842035434,0,0.000140465880040028,0.00822740629931163,0,0.0211213741388941,0.773,-0.0157990991041846,1.09353489072841
"A19_1734",0.0870436754813143,0.00528569157408081,0,0.131355765678526,0.0823802308039065,0.189171096547179,0,0,0,0,0,0.0391726684137686,0.0187053152526435,0.344456142326677,0.00298677899125658,0.0885355077248742,0,0,0.0109071272057737,0,0,0,0.19,0.0693798617495976,1.09240592183814
"A18_7641_2",0.0198267050036183,0,0.07490510392704,0.0939386296855515,0.0289708502996708,0.147185949998478,0,0,0,0,0,0.132348970739591,0.0369375711130682,0.00876686280088175,0.0688864008615142,0.326732412918705,0,0.00274898148931237,0,0.0517104058177156,0,0.00704115534485262,0.052,0.151108554296743,1.03695789197946
"A18_7206_1",0.00964455179885836,0.000269786893636386,0,0.0148475589672339,0,0.229425040969874,0,0,0.0387481787884909,0,0,0.0861790572391481,0.0320453774409414,0.120727821666981,0,0.399130046282102,0.000247894634823443,0.0106569626017143,0.048347885470759,0,0,0.00972983724543764,0.242,0.0568006700158459,1.08588274034013
"A18_6421_1",0.00253968027675187,0.0389706461981654,0.0690614331163975,0.056616396131488,0,0.248528516307624,0.0176364140111142,0,0,0,0.0164662294392224,0.093414796089632,0.0255892022597379,0,0.0633699752991953,0.184059826703084,0,0.0584146256706793,0.125332258496907,0,0,0,0.077,0.125602871784968,1.03357469363636
"A18_6126_2",0,0.0196668835323587,0,0.068818034763132,0,0.332147685816431,0.122474739601566,0,0,0,0,0.114942856608856,0.0530202362400811,0.00610063934665198,0.00724333116260378,0.232452625414715,0,0.00723779427929888,0.0358951732343058,0,0,0,0.654,-0.00125087335267523,1.10691461549591
"A18_5943",0.0182045948560365,0,0.0282312878136948,0.239723612660532,0,0,0.160009127734374,0.10303301004719,0,0,0.0254082056385903,0,0.00205845851350153,0.0133748754193376,0.0298234884216087,0.302434598961318,0,0.00339448653786596,0.02591060012849,0,0,0.0483936532674597,0.518,0.0146463936942016,1.07944437401544
