"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Limagne2__Lung__PD-(L)1",-0.088,0.23,26,0.701069775415439,"Lung","PD-(L)1",0.866027369630837
"HR1","PFS","B_cells_memory","ICB_Limagne2__Lung__PD-(L)1",-0.462,0.484,26,0.339805776089662,"Lung","PD-(L)1",0.637714662983655
"HR2","PFS","Plasma_cells","ICB_Limagne2__Lung__PD-(L)1",-0.243,0.253,26,0.336764062362921,"Lung","PD-(L)1",0.637714662983655
"HR3","PFS","T_cells_CD8","ICB_Limagne2__Lung__PD-(L)1",-0.253,0.279,26,0.364408378847803,"Lung","PD-(L)1",0.637714662983655
"HR4","PFS","T_cells_CD4_naive","ICB_Limagne2__Lung__PD-(L)1",0.28,0.19,26,0.140656884275154,"Lung","PD-(L)1",0.622871491162004
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Limagne2__Lung__PD-(L)1",-0.395,0.232,26,0.088544539887728,"Lung","PD-(L)1",0.622871491162004
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Limagne2__Lung__PD-(L)1",-0.303,0.275,26,0.27016693066999,"Lung","PD-(L)1",0.630389504896644
"HR7","PFS","T_cells_follicular_helper","ICB_Limagne2__Lung__PD-(L)1",-0.025,0.221,26,0.910568760554078,"Lung","PD-(L)1",0.956097198581782
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Limagne2__Lung__PD-(L)1",-0.032,0.203,26,0.876368273691107,"Lung","PD-(L)1",0.956097198581782
"HR9","PFS","NK_cells_resting","ICB_Limagne2__Lung__PD-(L)1",0.002,0.248,26,0.993874034252421,"Lung","PD-(L)1",0.993874034252421
"HR10","PFS","NK_cells_activated","ICB_Limagne2__Lung__PD-(L)1",-0.091,0.233,26,0.69751972795458,"Lung","PD-(L)1",0.866027369630837
"HR11","PFS","Monocytes","ICB_Limagne2__Lung__PD-(L)1",-0.115,0.277,26,0.676639774521896,"Lung","PD-(L)1",0.866027369630837
"HR12","PFS","Macrophages_M0","ICB_Limagne2__Lung__PD-(L)1",0.331,0.237,26,0.163138997747804,"Lung","PD-(L)1",0.622871491162004
"HR13","PFS","Macrophages_M1","ICB_Limagne2__Lung__PD-(L)1",-0.317,0.272,26,0.244631774721788,"Lung","PD-(L)1",0.630389504896644
"HR14","PFS","Macrophages_M2","ICB_Limagne2__Lung__PD-(L)1",0.156,0.226,26,0.4897657326628,"Lung","PD-(L)1",0.7346485989942
"HR15","PFS","Dendritic_cells_resting","ICB_Limagne2__Lung__PD-(L)1",-0.032,0.203,26,0.876368273691107,"Lung","PD-(L)1",0.956097198581782
"HR16","PFS","Dendritic_cells_activated","ICB_Limagne2__Lung__PD-(L)1",0.327,0.206,26,0.111872635052978,"Lung","PD-(L)1",0.622871491162004
"HR17","PFS","Mast_cells_resting","ICB_Limagne2__Lung__PD-(L)1",0.354,0.262,26,0.177963283189144,"Lung","PD-(L)1",0.622871491162004
"HR18","PFS","Mast_cells_activated","ICB_Limagne2__Lung__PD-(L)1",0.239,0.203,26,0.239787115300614,"Lung","PD-(L)1",0.630389504896644
"HR19","PFS","Eosinophils","ICB_Limagne2__Lung__PD-(L)1",0.157,0.198,26,0.428068566183565,"Lung","PD-(L)1",0.691495376142681
"HR20","PFS","Neutrophils","ICB_Limagne2__Lung__PD-(L)1",0.361,0.227,26,0.111611920151211,"Lung","PD-(L)1",0.622871491162004
