"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Patient100",0.0011404721206044,0,0.0235174971688187,0.290285633487014,0,0,0.182326545196699,0.137457977284619,0.00848699382285364,0,0.0047498474232778,0.0323193511306909,0.022125809735038,0.0334221513009765,0.0633133077870985,0.151744993170604,0.00297917180394157,0,0.0461302485677643,0,0,0,0.011,0.258550196631897,0.985194236376475
"Patient10",0.0369510574833167,0,0.0319039123090954,0.05608929311693,0,0.341380258075834,0.0573749894246339,0.0180392094083549,0,0,0.0307970130058152,0.00598330737717635,0.0450610409538443,0.0298136891641815,0.0251113718794273,0.28240426740808,0,0,0.0390905903933106,0,0,0,0.15,0.0966319723524202,1.05095408521877
"Patient117",0.0230599030673408,0,0,0.0734300612629857,0,0.0880752185338565,0.022057560888815,0.0304108740166477,0.0124068790227588,0,0,0.0108267641790576,0,0.0240370115890407,0.00195349143753307,0.666207996585676,0.00425357863575525,0.00324035563729452,0.0374836939507105,0,0,0.00255661119252767,0.00900000000000001,0.268745557249941,1.00411171569518
"Patient11",0,0,0.000489960784239146,0.0669233548767686,0,0.078346630683293,0.103238000297906,0.0455690231139394,0,0,0.0257682785207049,0.00395178455043633,0.0714692326701338,0.131807575076826,0.0507913570008254,0.313735909501491,0.0121564856808026,0,0.088951432619248,0,0.00680097462338554,0,0.484,0.0254814878640458,1.08246676364574
"Patient121",0,0,0.0433945577710433,0.183036798980195,0,0.118129828114761,0.025527446774735,0.0677452600564381,0,0,0.0847716155996912,0,0.0468636350989439,0.0214719595684814,0.0223022565618544,0.194217146860586,0,0,0.180443218294493,0,0.0120962763187774,0,0.4,0.0372927411586731,1.07303359700766
"Patient13",0,0.000793989442695164,0.00499830421958201,0.0702889301627688,0,0.185832632628392,0.0186471120387231,0,0,0,0.0976176709215158,0,0.0844911056745507,0.157695531160756,0.0102604296411432,0.254588792846837,0,0,0,0.0720325752882515,0.0427529259747855,0,0.554,0.0158298741380899,1.09548307524852
"Patient159",0.0612824034450034,0,0.0132872218895764,0.0390199841457889,0,0.286587418118902,0.0379618378706909,0.037874826255891,0,0,0.0182526232633265,0.00271055887621141,0.0493200488214269,0.209570458342422,0.00543628063268647,0.141569947621604,0,0.0289950099776839,0,0.0070072358729893,0.01675965829692,0.0443644865688764,0.272,0.061062347308777,1.07546573413
"Patient15",0,0.0374023359747174,0,0.246719653152273,0,0,0.10968301833561,0.0841112542121347,0,0.00775670233379535,0,0,0.0143579026213853,0.0303224314456257,0.0316861071031454,0.170784152754889,0.0170378379070411,0,0.250138604159383,0,0,0,0.238,0.0669512045006937,1.06344994629264
"Patient162",0.00235949352706508,0.0088995046510549,0.0234350144845507,0.100179773943442,0,0.185317354797116,0,0.0548028426635107,0,0,0.0620754630845874,0,0.0723081244566697,0.0873339472326811,0.0203801200059962,0.160131575307916,0.00257875443802488,0,0.196785695337124,0,0.0234123360702612,0,0.653,0.0048418579140326,1.08415679170418
"Patient163",0.0265235869239283,0.0952566849192972,0,0.112493091386337,0.0741572155089592,0.148363695349486,0.00627770842430548,0,0,0,0.152871773640724,0,0.0746621580015996,0.0208075010653053,0.00169771550544634,0.150718817631404,0,0,0.136170051643208,0,0,0,0.321,0.0505911785179726,1.07332088787068
"Patient17",0.0126806672405508,0.0169663904504208,0.0789865164871736,0.0597651474028478,0,0.114181754825142,0.000401197021264547,0.0445736557979207,0.00247486394121297,0,0.00324268003075198,0.0119552427677967,0,0.196743067081802,0.0528236112750379,0.403340802726283,0,0,0.00186440295179523,0,0,0,0.014,0.236766812891727,1.00809749237168
"Patient187",0.0441857767029478,0.0166976625510043,0.0624514233012784,0.0366522986048308,0.00408596035410869,0.27333535773553,0.0574088186840314,0,0,0,0.0237408684019936,0,0.0325865033156695,0,0.0595672833851161,0.219917774400649,0.0626676837993715,0,0.106702588763469,0,0,0,0.342,0.046458757599948,1.05379897023076
"Patient1",0.148089346691812,0,0.0438011646822218,0.157386982418869,0,0.0898759403491464,0.0430906210327802,0.0946916727705058,0,0,0.0283953358932307,0,0.0170242433168732,0,0.0107602978381681,0.290543132779922,0,0.0152504985460522,0.0610907636804188,0,0,0,0.65,0.00496496056270816,1.07765900545294
"Patient20",0,0.00913920699253232,0.00287944396283665,0.134687585134157,0,0.0159187782607676,0.0898340056997988,0.0395256288139767,0,0,0,0.0379799335815224,0.0392046176988524,0,0.0610873007516283,0.48472192490102,0,0,0,0.0783765126647603,0,0.00664506153814773,0.017,0.218143654707574,1.00673442593572
"Patient21",0.0351688721900181,0,0.00249004477122811,0.0523960557901459,0,0.107452215215876,0.0784646639948219,0.0730220155005873,0,0,0,0,0.0402207132656225,0.228130575104563,0.0276837822314154,0.314564877427744,0.0159158159592445,0,0.013798921714581,0,0.0106914468341519,0,0.342,0.0466703351196622,1.09451377489978
