"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Liu__Melanoma__IO+combo",0.077,0.2,47,0.698050957459711,"Melanoma","IO+combo",0.853173392450758
"HR1","OS","B_cells_memory","ICB_Liu__Melanoma__IO+combo",-0.224,0.234,47,0.338291653882832,"Melanoma","IO+combo",0.607109243917209
"HR2","OS","Plasma_cells","ICB_Liu__Melanoma__IO+combo",-0.254,0.227,47,0.263207361884095,"Melanoma","IO+combo",0.607109243917209
"HR3","OS","T_cells_CD8","ICB_Liu__Melanoma__IO+combo",0.135,0.173,47,0.436340250502633,"Melanoma","IO+combo",0.664743897889279
"HR4","OS","T_cells_CD4_naive","ICB_Liu__Melanoma__IO+combo",0.142,0.141,47,0.315495041388518,"Melanoma","IO+combo",0.607109243917209
"HR5","OS","T_cells_CD4_memory_resting","ICB_Liu__Melanoma__IO+combo",-0.49,0.21,47,0.0195038275164988,"Melanoma","IO+combo",0.214542102681487
"HR6","OS","T_cells_CD4_memory_activated","ICB_Liu__Melanoma__IO+combo",0.239,0.189,47,0.206737246947604,"Melanoma","IO+combo",0.607109243917209
"HR7","OS","T_cells_follicular_helper","ICB_Liu__Melanoma__IO+combo",0.068,0.173,47,0.696224255334555,"Melanoma","IO+combo",0.853173392450758
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Liu__Melanoma__IO+combo",-0.347,0.295,47,0.240337137802707,"Melanoma","IO+combo",0.607109243917209
"HR9","OS","T_cells_gamma_delta","ICB_Liu__Melanoma__IO+combo",0.037,0.175,47,0.831815611212461,"Melanoma","IO+combo",0.914997172333707
"HR10","OS","NK_cells_resting","ICB_Liu__Melanoma__IO+combo",0.007,0.193,47,0.971031778775503,"Melanoma","IO+combo",0.981422113959384
"HR11","OS","NK_cells_activated","ICB_Liu__Melanoma__IO+combo",0.084,0.16,47,0.600073865678936,"Melanoma","IO+combo",0.825101565308537
"HR12","OS","Monocytes","ICB_Liu__Melanoma__IO+combo",0.234,0.206,47,0.253853156480271,"Melanoma","IO+combo",0.607109243917209
"HR13","OS","Macrophages_M0","ICB_Liu__Melanoma__IO+combo",-0.188,0.194,47,0.331854391068261,"Melanoma","IO+combo",0.607109243917209
"HR14","OS","Macrophages_M1","ICB_Liu__Melanoma__IO+combo",-0.27,0.228,47,0.236171502906518,"Melanoma","IO+combo",0.607109243917209
"HR15","OS","Macrophages_M2","ICB_Liu__Melanoma__IO+combo",0.171,0.169,47,0.314026227431762,"Melanoma","IO+combo",0.607109243917209
"HR16","OS","Dendritic_cells_resting","ICB_Liu__Melanoma__IO+combo",-0.005,0.194,47,0.981422113959384,"Melanoma","IO+combo",0.981422113959384
"HR17","OS","Dendritic_cells_activated","ICB_Liu__Melanoma__IO+combo",0.054,0.191,47,0.777270384985281,"Melanoma","IO+combo",0.899997287877693
"HR18","OS","Mast_cells_resting","ICB_Liu__Melanoma__IO+combo",0.135,0.18,47,0.453234475833599,"Melanoma","IO+combo",0.664743897889279
"HR19","OS","Mast_cells_activated","ICB_Liu__Melanoma__IO+combo",0.496,0.188,47,0.00846431465565895,"Melanoma","IO+combo",0.186214922424497
"HR20","OS","Eosinophils","ICB_Liu__Melanoma__IO+combo",0.182,0.161,47,0.25688376997695,"Melanoma","IO+combo",0.607109243917209
"HR21","OS","Neutrophils","ICB_Liu__Melanoma__IO+combo",-0.302,0.329,47,0.358746371405624,"Melanoma","IO+combo",0.607109243917209
