"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Liu__Melanoma__IO+combo",0.053,0.183,47,0.771081381831509,"Melanoma","IO+combo",0.84818952001466
"HR1","PFS","B_cells_memory","ICB_Liu__Melanoma__IO+combo",-0.277,0.243,47,0.254074823744679,"Melanoma","IO+combo",0.721232872962089
"HR2","PFS","Plasma_cells","ICB_Liu__Melanoma__IO+combo",-0.239,0.218,47,0.272713556799922,"Melanoma","IO+combo",0.721232872962089
"HR3","PFS","T_cells_CD8","ICB_Liu__Melanoma__IO+combo",-0.085,0.173,47,0.624560788044709,"Melanoma","IO+combo",0.778558392747551
"HR4","PFS","T_cells_CD4_naive","ICB_Liu__Melanoma__IO+combo",0.205,0.14,47,0.141131013576204,"Melanoma","IO+combo",0.685312254336449
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Liu__Melanoma__IO+combo",-0.077,0.182,47,0.672391339191067,"Melanoma","IO+combo",0.778558392747551
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Liu__Melanoma__IO+combo",-0.037,0.19,47,0.846292055165398,"Melanoma","IO+combo",0.87651891234878
"HR7","PFS","T_cells_follicular_helper","ICB_Liu__Melanoma__IO+combo",-0.134,0.194,47,0.491114292683245,"Melanoma","IO+combo",0.721232872962089
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Liu__Melanoma__IO+combo",-0.386,0.293,47,0.186903342091759,"Melanoma","IO+combo",0.685312254336449
"HR9","PFS","T_cells_gamma_delta","ICB_Liu__Melanoma__IO+combo",-0.028,0.183,47,0.87651891234878,"Melanoma","IO+combo",0.87651891234878
"HR10","PFS","NK_cells_resting","ICB_Liu__Melanoma__IO+combo",0.153,0.177,47,0.387673665061757,"Melanoma","IO+combo",0.721232872962089
"HR11","PFS","NK_cells_activated","ICB_Liu__Melanoma__IO+combo",0.077,0.181,47,0.670386721680327,"Melanoma","IO+combo",0.778558392747551
"HR12","PFS","Monocytes","ICB_Liu__Melanoma__IO+combo",0.349,0.196,47,0.0753445744188434,"Melanoma","IO+combo",0.612133711950694
"HR13","PFS","Macrophages_M0","ICB_Liu__Melanoma__IO+combo",-0.18,0.178,47,0.312882724842908,"Melanoma","IO+combo",0.721232872962089
"HR14","PFS","Macrophages_M1","ICB_Liu__Melanoma__IO+combo",-0.371,0.214,47,0.0834727789023674,"Melanoma","IO+combo",0.612133711950694
"HR15","PFS","Macrophages_M2","ICB_Liu__Melanoma__IO+combo",0.146,0.166,47,0.380283908181601,"Melanoma","IO+combo",0.721232872962089
"HR16","PFS","Dendritic_cells_resting","ICB_Liu__Melanoma__IO+combo",-0.136,0.198,47,0.491749686110515,"Melanoma","IO+combo",0.721232872962089
"HR17","PFS","Dendritic_cells_activated","ICB_Liu__Melanoma__IO+combo",0.066,0.135,47,0.627163273952534,"Melanoma","IO+combo",0.778558392747551
"HR18","PFS","Mast_cells_resting","ICB_Liu__Melanoma__IO+combo",0.222,0.164,47,0.175958105189822,"Melanoma","IO+combo",0.685312254336449
"HR19","PFS","Mast_cells_activated","ICB_Liu__Melanoma__IO+combo",0.409,0.173,47,0.0182600679726611,"Melanoma","IO+combo",0.401721495398545
"HR20","PFS","Eosinophils","ICB_Liu__Melanoma__IO+combo",0.117,0.16,47,0.466119088773037,"Melanoma","IO+combo",0.721232872962089
"HR21","PFS","Neutrophils","ICB_Liu__Melanoma__IO+combo",-0.134,0.191,47,0.4837483122071,"Melanoma","IO+combo",0.721232872962089
