"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Patient102",0,0.0217624052540212,0.0211596776281719,0,0,0.315770848453547,0,0,0.0784734234080235,0,0.0681365599774074,0,0.0553782492526391,0,0.00393631571653294,0.35682282173546,0,0,0.075364290188639,0,0,0.00319540838555807,0.399,0.0331741903971939,1.07990182656868
"Patient105",0,0,0.00367727218397534,0.198112100093053,0,0.213875173828446,0.0573595065592736,0.0991703629910859,0,0,0.122084638382271,0,0.0419996818816027,0.0200239387837462,0.0194788149500021,0.0980330042924797,0.00486654310903306,0,0.0666307595888245,0,0.0546882033562073,0,0.912,-0.0292891378077127,1.12811330118554
"Patient106",0.0128120313392312,0,0.0139640652320864,0.0384239016102399,0,0.0357998835594897,0.0390630979797596,0.0335082115293506,0,0,0.0149361909215627,0,0,0.551663229009116,0.050795339098607,0.140065864374863,0,0,0.0561307223431438,0,0.0128374630025496,0,0.025,0.197688710244901,1.08871288779765
"Patient107",0.0259365744353983,0,0.0700856061542799,0.153926167410105,0.0343121266084827,0,0.144909246979913,0.0408323809403567,0.145842958265873,0,0.103242545035917,0,0,0,0,0.0903368102841199,0,0.0388053694183426,0.035554556947076,0,0.0946116303245529,0.0216040271955834,0.869,-0.022441076096561,1.09575399622023
"Patient108",0,0,0,0.0407285353880509,0,0.1800096736196,0.345111966780901,0.0427493525232484,0,0,0.066584149070871,0,0,0,0.00110484297171995,0.274680170579944,0,0,0,0.046680243829003,0,0.00235106523666121,0.405,0.032404774251212,1.07973217048362
"Patient112",0,0.00196423207122039,0.0577704610371647,0.121008118343729,0,0.260014352050471,0.00553706665079609,0.133416899570199,0,0,0.0795965699030444,0.0244592080348162,0.0344950988565803,0,0.0812896419907524,0.145191582762909,0,0,0.0552567687283177,0,0,0,0.151,0.0926063689245553,1.06519491590682
"Patient116",0.00516518434105756,0.00920391390107383,0,0,0.0392523601436186,0.132924155894479,0.0559103194211926,0.0252424651362635,0,0,0.0890263818884277,0,0.076347392462225,0.0928911532263436,0.058499906670826,0.29704937118912,0.00211157974253784,0,0.114035234676958,0,0.00234058130587679,0,0.772,-0.00970737300344277,1.09096490899856
"Patient125",0.00203855520053018,0.00258292759529752,0.0956667249895886,0.372716727012033,0,0,0.0852804639140705,0.209645384433994,0.00109186615547053,0.043215110720756,0.0243650413119743,0,0,0.02742848357632,0.0397966566716927,0.0870747382773403,0,0,0.00909732014093194,0,0,0,0,0.47432021944682,0.881017786700793
"Patient126",0.000702106562162975,0.0229529772593095,0,0.110478535426039,0,0,0.0857176542858648,0.046005818411884,0.0133394883779154,0,0.0422392098244582,0,0.0506217223862551,0.092859355128636,0.090301466302648,0.250769539384656,0.00412249622026863,0,0.16523553980053,0,0.0246540906293726,0,0.107,0.111771181319108,1.040561998824
"Patient127",0,0,0.0266936454290924,0.0421414413702491,0,0.403732313792731,0,0,0,0,0.140294679214262,0,0.0119526226092916,0.0272799639669563,0,0.213309005103398,0,0.0135437563790878,0.0141202793947577,0.106932292740174,0,0,0.879,-0.0236663442560732,1.11893278457112
