"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Liu__Melanoma__PD-(L)1",0.181,0.175,74,0.303352918594851,"Melanoma","PD-(L)1",0.792321103594965
"HR1","OS","B_cells_memory","ICB_Liu__Melanoma__PD-(L)1",-0.023,0.178,74,0.899502493617799,"Melanoma","PD-(L)1",0.99754524847903
"HR2","OS","Plasma_cells","ICB_Liu__Melanoma__PD-(L)1",0.009,0.172,74,0.956556050893607,"Melanoma","PD-(L)1",0.99754524847903
"HR3","OS","T_cells_CD8","ICB_Liu__Melanoma__PD-(L)1",0.188,0.16,74,0.238887250383288,"Melanoma","PD-(L)1",0.792321103594965
"HR4","OS","T_cells_CD4_naive","ICB_Liu__Melanoma__PD-(L)1",-0.114,0.192,74,0.552771313119256,"Melanoma","PD-(L)1",0.926469711998525
"HR5","OS","T_cells_CD4_memory_resting","ICB_Liu__Melanoma__PD-(L)1",0.001,0.175,74,0.99754524847903,"Melanoma","PD-(L)1",0.99754524847903
"HR6","OS","T_cells_CD4_memory_activated","ICB_Liu__Melanoma__PD-(L)1",0.346,0.153,74,0.0238462507631467,"Melanoma","PD-(L)1",0.524617516789228
"HR7","OS","T_cells_follicular_helper","ICB_Liu__Melanoma__PD-(L)1",0.087,0.162,74,0.589571634908152,"Melanoma","PD-(L)1",0.926469711998525
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Liu__Melanoma__PD-(L)1",0.313,0.177,74,0.0771786636386128,"Melanoma","PD-(L)1",0.595928735008252
"HR9","OS","T_cells_gamma_delta","ICB_Liu__Melanoma__PD-(L)1",0.025,0.161,74,0.876699774768469,"Melanoma","PD-(L)1",0.99754524847903
"HR10","OS","NK_cells_resting","ICB_Liu__Melanoma__PD-(L)1",0.182,0.178,74,0.307666563582987,"Melanoma","PD-(L)1",0.792321103594965
"HR11","OS","NK_cells_activated","ICB_Liu__Melanoma__PD-(L)1",-0.046,0.189,74,0.806402981227135,"Melanoma","PD-(L)1",0.99754524847903
"HR12","OS","Monocytes","ICB_Liu__Melanoma__PD-(L)1",0.149,0.163,74,0.36132995368535,"Melanoma","PD-(L)1",0.794925898107771
"HR13","OS","Macrophages_M0","ICB_Liu__Melanoma__PD-(L)1",-0.16,0.208,74,0.443579787662332,"Melanoma","PD-(L)1",0.887159575324663
"HR14","OS","Macrophages_M1","ICB_Liu__Melanoma__PD-(L)1",-0.232,0.192,74,0.227733067767306,"Melanoma","PD-(L)1",0.792321103594965
"HR15","OS","Macrophages_M2","ICB_Liu__Melanoma__PD-(L)1",-0.034,0.171,74,0.841828222893464,"Melanoma","PD-(L)1",0.99754524847903
"HR16","OS","Dendritic_cells_resting","ICB_Liu__Melanoma__PD-(L)1",-1.216,0.777,74,0.117492706980372,"Melanoma","PD-(L)1",0.646209888392045
"HR17","OS","Dendritic_cells_activated","ICB_Liu__Melanoma__PD-(L)1",-0.005,0.179,74,0.97669329630684,"Melanoma","PD-(L)1",0.99754524847903
"HR18","OS","Mast_cells_resting","ICB_Liu__Melanoma__PD-(L)1",-0.219,0.222,74,0.324131360561577,"Melanoma","PD-(L)1",0.792321103594965
"HR19","OS","Mast_cells_activated","ICB_Liu__Melanoma__PD-(L)1",-0.145,0.24,74,0.546064377129338,"Melanoma","PD-(L)1",0.926469711998525
"HR20","OS","Eosinophils","ICB_Liu__Melanoma__PD-(L)1",0.293,0.168,74,0.0812630093193071,"Melanoma","PD-(L)1",0.595928735008252
"HR21","OS","Neutrophils","ICB_Liu__Melanoma__PD-(L)1",0.017,0.16,74,0.913524537172581,"Melanoma","PD-(L)1",0.99754524847903
