"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Liu__Melanoma__PD-(L)1",0.183,0.138,74,0.183437020033479,"Melanoma","PD-(L)1",0.987254762847144
"HR1","PFS","B_cells_memory","ICB_Liu__Melanoma__PD-(L)1",0.066,0.114,74,0.563081551395877,"Melanoma","PD-(L)1",0.987254762847144
"HR2","PFS","Plasma_cells","ICB_Liu__Melanoma__PD-(L)1",0.038,0.137,74,0.779466053230264,"Melanoma","PD-(L)1",0.987254762847144
"HR3","PFS","T_cells_CD8","ICB_Liu__Melanoma__PD-(L)1",-0.005,0.155,74,0.973498019905971,"Melanoma","PD-(L)1",0.987254762847144
"HR4","PFS","T_cells_CD4_naive","ICB_Liu__Melanoma__PD-(L)1",0.015,0.145,74,0.916741432145967,"Melanoma","PD-(L)1",0.987254762847144
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Liu__Melanoma__PD-(L)1",0.017,0.146,74,0.906236340511321,"Melanoma","PD-(L)1",0.987254762847144
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Liu__Melanoma__PD-(L)1",0.228,0.139,74,0.102661660203521,"Melanoma","PD-(L)1",0.987254762847144
"HR7","PFS","T_cells_follicular_helper","ICB_Liu__Melanoma__PD-(L)1",-0.03,0.145,74,0.834256992749873,"Melanoma","PD-(L)1",0.987254762847144
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Liu__Melanoma__PD-(L)1",0.355,0.143,74,0.0130174569647962,"Melanoma","PD-(L)1",0.286384053225515
"HR9","PFS","T_cells_gamma_delta","ICB_Liu__Melanoma__PD-(L)1",-0.077,0.167,74,0.646142398740992,"Melanoma","PD-(L)1",0.987254762847144
"HR10","PFS","NK_cells_resting","ICB_Liu__Melanoma__PD-(L)1",0.069,0.152,74,0.649766463294089,"Melanoma","PD-(L)1",0.987254762847144
"HR11","PFS","NK_cells_activated","ICB_Liu__Melanoma__PD-(L)1",0.01,0.138,74,0.942646486436723,"Melanoma","PD-(L)1",0.987254762847144
"HR12","PFS","Monocytes","ICB_Liu__Melanoma__PD-(L)1",-0.053,0.152,74,0.728411256653241,"Melanoma","PD-(L)1",0.987254762847144
"HR13","PFS","Macrophages_M0","ICB_Liu__Melanoma__PD-(L)1",-0.1,0.158,74,0.529620673610619,"Melanoma","PD-(L)1",0.987254762847144
"HR14","PFS","Macrophages_M1","ICB_Liu__Melanoma__PD-(L)1",-0.14,0.15,74,0.349210211709661,"Melanoma","PD-(L)1",0.987254762847144
"HR15","PFS","Macrophages_M2","ICB_Liu__Melanoma__PD-(L)1",-0.078,0.144,74,0.584747696108676,"Melanoma","PD-(L)1",0.987254762847144
"HR16","PFS","Dendritic_cells_resting","ICB_Liu__Melanoma__PD-(L)1",-0.24,0.196,74,0.221228275925637,"Melanoma","PD-(L)1",0.987254762847144
"HR17","PFS","Dendritic_cells_activated","ICB_Liu__Melanoma__PD-(L)1",0.002,0.139,74,0.987254762847144,"Melanoma","PD-(L)1",0.987254762847144
"HR18","PFS","Mast_cells_resting","ICB_Liu__Melanoma__PD-(L)1",0.084,0.134,74,0.528453122043141,"Melanoma","PD-(L)1",0.987254762847144
"HR19","PFS","Mast_cells_activated","ICB_Liu__Melanoma__PD-(L)1",-0.022,0.142,74,0.876396723466671,"Melanoma","PD-(L)1",0.987254762847144
"HR20","PFS","Eosinophils","ICB_Liu__Melanoma__PD-(L)1",0.058,0.151,74,0.700062834668158,"Melanoma","PD-(L)1",0.987254762847144
"HR21","PFS","Neutrophils","ICB_Liu__Melanoma__PD-(L)1",0.115,0.105,74,0.277295039452387,"Melanoma","PD-(L)1",0.987254762847144
