"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P10101",0.0755142678376787,0,0.0432364855494278,0.0441362849202658,0,0.0232055082469789,0.0107426323442611,0.0133417270192233,0,0,0,0.0493568491080112,0.0115259844255445,0.200663770320726,0.0666078686555573,0.184991092151849,0.0050823680637512,0,0,0.271595161356725,0,0,0.00600000000000001,0.290301936938394,0.994495372545376
"P10264",0.0218982591536043,0,0.00558426677471437,0.071829688197113,0,0.0561001878638408,0.0436965365206109,0,0,0,0,0.117356278661952,0.011989917027429,0.0271298586089846,0.0269009481464039,0.0932510431750254,0.0389309755159567,0,0,0.475231389855257,0,0.0101006504991073,0.00900000000000001,0.264670597047436,1.07383075525315
"P10150",0,0,0.102341969702915,0.0599127305126058,0,0.153639427931571,0.0275626667882853,0.00376663619136008,0,0,0,0.0428394160656734,0.0318476899047333,0,0.0275676921319092,0.0661130942595654,0.208732048393147,0,0,0.218127927273179,0,0.0575487008450558,0.022,0.200471978054401,1.00978163671898
"P10220",0.183949605824832,0,0.0264942083071554,0.107187538848467,0,0.219224043757295,0.0228955888474537,0,0,0,0.0162287387337828,0,0.0366379051882241,0.0584135738293358,0.0117069495775183,0.0825771183871637,0.00353303606096808,0,0,0.21543014943798,0,0.0157215431998235,0.005,0.319636223361531,0.957423117299056
"P10375",0.0681784133583446,0,0.00268211873674502,0.0596787632125799,0,0.286580902928123,0,0.0239893281496104,0.00590346001044673,0,0,0.0498753074685621,0.123376239853705,0.242950693289106,0.00146067894844019,0.0641310349236441,0.0276426654369075,0,0.031011876990563,0,0.0125385166932223,0,0.469,0.024084360742921,1.08807513994721
"P10073",0.052762518763163,0,0.010391812418565,0.103707663387802,0,0.0929670816909502,0.0424176307500301,0,0,0,0,0.0571628427805921,0.0377012697786929,0.0681653183380186,0.0726654735499289,0.227209346338054,0.00786314370207117,0,0,0.216834826699017,0,0.0101510718031159,0.014,0.228219807539056,1.00981671442194
"P10161",0.0706452448499314,0,0.0505833837967578,0.122542764178881,0,0.00620361485532749,0.125097541400958,0,0,0,0,0.0695661034614109,0.00822526327776213,0.142675355971981,0.0433885901700555,0.0456798870233824,0.00933943672390876,0,0,0.303981423943583,0,0.00207139034606053,0,0.427941195690203,0.913191581189075
"P10282",0.0432395849931305,0,0.0123613806914315,0.0501828311628008,0,0.0670204831682725,0,0.0413874014080088,0,0,0,0.11914382882207,0.0212328272072119,0,0.0635457571925545,0.0605904308247388,0.0574624497865825,0,0,0.43264997928026,0.0149295284132654,0.0162535170496727,0.018,0.208768310192338,1.0886107189989
"P10141",0.0739743131619922,0,0.0271558115303036,0.200731033996587,0,0.0221120949957375,0.13068061718308,0.00180417920869831,0,0,0,0.0578930338562259,0.025184542612677,0.0362608696327883,0.111741450790584,0.181774214953368,0.0594774193093808,0,0,0.0657400116485063,0.00547040712007054,0,0.004,0.33167143747726,0.948986219408971
"P10089",0.0298017762804674,0,0.0386664952516556,0.00624782512067272,0,0.0905305835073256,0,0.00287870636828674,0,0,0,0.0246072618286644,0,0.116243868705161,0.0197265258876217,0.151485739217264,0.0167112954706238,0,0,0.48831845751642,0.00101724964876173,0.0137642151970751,0,0.457027674752552,0.926389400482236
"P10043",0.0391472524706479,0,0.0927402716631428,0.0356365989670462,0,0.0949857259818371,0,0.0171814304345145,0,0,0,0.065884688852831,0.0417288548343891,0.206773270821066,0.0266054794470688,0.128411944447441,0.0230438288894049,0,0,0.227860653190611,0,0,0,0.470850538917493,0.882240345440549
"P10362",0.116232589456165,0,0.0181396994231528,0.0341195682875797,0,0.0865453816772213,0,0,0,0,0,0.0605186835720381,0.137337228041199,0,0.00681511210210242,0.066488800138036,0.0155378727283963,0.00405651898682772,0,0.408943436429355,0,0.0452651091579268,0.118,0.104005288712248,1.12429895470526
"P10156",0.173658697480622,0,0.122780787956765,0.110501719213206,0,0.0097317656901326,0,0.0236234118081151,0,0,0,0.0737323999035837,0.00953134515157365,0.0342736255166685,0.0803931591882561,0.0997103811337485,0.0320025832935662,0,0,0.229084582529809,0,0.000975541133953503,0.082,0.124196593764979,1.05391695264278
"P10059",0.086158539600567,0,0.0191084335442847,0.061302595385251,0,0.175076162306006,0,0.00580673027292277,0,0,0,0.0872316556774331,0.0730943934762373,0.0018219531297893,0.040017563349918,0.107301070655577,0.00390554703086934,0,0,0.329338429133454,0,0.00983692643769099,0.005,0.3106169773683,0.984395298719226
"P10081",0,0,0,0.139002344111236,0,0.297622573029577,0,0,0,0,0,0.0079102642768246,0.0708682851405813,0,0.0580940143399798,0.269600593797984,0.120013488803829,0,0,0.0368884364999885,0,0,0.57,0.0114155612871418,1.0906579183526
"P10041",0.0331029140098418,0,0.00363561257972006,0.0348761865700804,0,0.0685349833955971,0,0.0350871324496834,0,0,0,0.0728409597719029,0.00700729275128895,0.0200028993765808,0.014750986820982,0.050548997932822,0.0342015556176577,0,0,0.593978172606156,0.0102513373861287,0.0211809687315584,0.017,0.218584921809397,1.15127248474898
"P10281",0.0250354529184844,0,0.0216752759190829,0.0511514888160791,0.0136567713466269,0.0834948238966482,0,0.0260586384184008,0,0,0,0.054032752115581,0.0258629341160474,0.281850955541701,0.0111158682795684,0.169567285168343,0.0196300790525855,0,0,0.216867674410851,0,0,0.005,0.296322917578588,0.98868700482093
