"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Mariathasan__Bladder__PD-(L)1",-0.12,0.093,195,0.197116499887491,"Bladder","PD-(L)1",0.35609754973787
"HR1","OS","B_cells_memory","ICB_Mariathasan__Bladder__PD-(L)1",0.128,0.068,195,0.0592962684624835,"Bladder","PD-(L)1",0.16837327438504
"HR2","OS","Plasma_cells","ICB_Mariathasan__Bladder__PD-(L)1",-0.165,0.097,195,0.0877667594805995,"Bladder","PD-(L)1",0.214540967619243
"HR3","OS","T_cells_CD8","ICB_Mariathasan__Bladder__PD-(L)1",-0.323,0.099,195,0.00113836250638234,"Bladder","PD-(L)1",0.0191453958265904
"HR4","OS","T_cells_CD4_naive","ICB_Mariathasan__Bladder__PD-(L)1",0.191,0.075,195,0.0107589805421634,"Bladder","PD-(L)1",0.0591743929818989
"HR5","OS","T_cells_CD4_memory_resting","ICB_Mariathasan__Bladder__PD-(L)1",0.104,0.089,195,0.240495697518633,"Bladder","PD-(L)1",0.35609754973787
"HR6","OS","T_cells_CD4_memory_activated","ICB_Mariathasan__Bladder__PD-(L)1",-0.219,0.103,195,0.0335852995816479,"Bladder","PD-(L)1",0.147775318159251
"HR7","OS","T_cells_follicular_helper","ICB_Mariathasan__Bladder__PD-(L)1",-0.051,0.098,195,0.601177175744687,"Bladder","PD-(L)1",0.629804660303957
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Mariathasan__Bladder__PD-(L)1",-0.051,0.095,195,0.590404110005782,"Bladder","PD-(L)1",0.629804660303957
"HR9","OS","T_cells_gamma_delta","ICB_Mariathasan__Bladder__PD-(L)1",-0.153,0.107,195,0.154525237226951,"Bladder","PD-(L)1",0.319459886414525
"HR10","OS","NK_cells_resting","ICB_Mariathasan__Bladder__PD-(L)1",0.073,0.072,195,0.312410706433515,"Bladder","PD-(L)1",0.429564721346083
"HR11","OS","NK_cells_activated","ICB_Mariathasan__Bladder__PD-(L)1",-0.177,0.094,195,0.0612266452309237,"Bladder","PD-(L)1",0.16837327438504
"HR12","OS","Monocytes","ICB_Mariathasan__Bladder__PD-(L)1",0.243,0.078,195,0.00174049052969004,"Bladder","PD-(L)1",0.0191453958265904
"HR13","OS","Macrophages_M0","ICB_Mariathasan__Bladder__PD-(L)1",0.1,0.086,195,0.242793783912184,"Bladder","PD-(L)1",0.35609754973787
"HR14","OS","Macrophages_M1","ICB_Mariathasan__Bladder__PD-(L)1",-0.291,0.097,195,0.00273093315903557,"Bladder","PD-(L)1",0.0200268431662609
"HR15","OS","Macrophages_M2","ICB_Mariathasan__Bladder__PD-(L)1",0.13,0.093,195,0.159729943207263,"Bladder","PD-(L)1",0.319459886414525
"HR16","OS","Dendritic_cells_resting","ICB_Mariathasan__Bladder__PD-(L)1",0.069,0.082,195,0.398648083122821,"Bladder","PD-(L)1",0.487236546039003
"HR17","OS","Dendritic_cells_activated","ICB_Mariathasan__Bladder__PD-(L)1",0.157,0.078,195,0.0446480752634848,"Bladder","PD-(L)1",0.163709609299444
"HR18","OS","Mast_cells_resting","ICB_Mariathasan__Bladder__PD-(L)1",0.039,0.089,195,0.657831489892888,"Bladder","PD-(L)1",0.657831489892888
"HR19","OS","Mast_cells_activated","ICB_Mariathasan__Bladder__PD-(L)1",0.072,0.084,195,0.392132588387266,"Bladder","PD-(L)1",0.487236546039003
"HR20","OS","Eosinophils","ICB_Mariathasan__Bladder__PD-(L)1",0.051,0.08,195,0.526812158563395,"Bladder","PD-(L)1",0.609993025704984
"HR21","OS","Neutrophils","ICB_Mariathasan__Bladder__PD-(L)1",0.104,0.089,195,0.240373073431031,"Bladder","PD-(L)1",0.35609754973787
