"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P10230",0.0551949532989139,0,0.00427274688791895,0.27147578010211,0.00480913903606545,0.148251741307821,0.0507878142397672,0,0,0,0.008442392322154,0,0.037535859718942,0.0511773545919327,0.0192037579774072,0.036728011744429,0.051887537592322,0.00199558755477729,0,0.258237323625439,0,0,0.00700000000000001,0.28648875757953,0.983957628090951
"P10037",0.202672002600138,0,0.1121200969166,0.0245075615727219,0,0.201243579835545,0.00752385785281029,0.0169679332699668,0.0187580172410431,0,0,0,0.0878181277838147,0.0978889039731274,0.0186401668232144,0.0532166967149887,0.0401290018218267,0,0,0.118514053594202,0,0,0.029,0.190907982042369,1.00111353991215
"P10172",0.110839136032679,0,0.106757452739259,0.168426416732909,0.0377089171277624,0,0.0551747807137082,0,0,0,0,0.0946900361109434,0.0366171317716054,0.102707511594481,0.0827531883462221,0.0953537243279475,0,0,0,0.108971704502483,0,0,0.026,0.203066136966288,1.00773289471488
"P10177",0.166815567544604,0,0.0168811650541463,0.154138434045583,0,0.0274694297222158,0.0104927629973223,0.0624921061651417,0,0,0,0.089535295011465,0.0452109614663084,0.0985213839739974,0.0439347112470194,0.0686867326065785,0.0630211403562456,0,0,0.152800309809373,0,0,0.447,0.0282703417599164,1.0876081810044
"P10222",0.0546916235353237,0,0.0284473382871362,0.110015621434478,0,0.168717295202197,0.0220120965917452,0,0,0,0,0.232457476273549,0.0470115569640913,0.0233612590532671,0.0479149280958122,0.0559536820991967,0.0832726936540904,0,0,0.111091786058303,0.00565652293792496,0.00939611981288452,0.005,0.323439823300593,0.974304060012385
"P10079",0.0294452312832928,0,0.027400696501775,0.165810084640597,0,0.123079618221494,0.0351132627642824,0.0108767861192371,0,0,0,0.0424669179455161,0.00897048918162712,0.224078018618964,0.0521642611065464,0.133808991832304,0.0176308272474729,0,0,0.129154814536891,0,0,0.00600000000000001,0.304577335660557,0.967769178294513
"P10135",0.226797494472686,0,0.130874162029793,0.056686561110033,0.0785594342420942,0.0446120567298318,0.10522355987037,0,0.00869323007890768,0,0,0,0.0530677699480843,0.0582119432834399,0.00550458568574018,0.169312144795683,0.0460420545862781,0.000273714076995762,0,0.0161412890900625,0,0,0.028,0.196578501387236,0.995858025122177
"P10302",0.0145932275223414,0.00192405230120272,0.0224358344944221,0.129393413198493,0,0.199783031052528,0.00839001220893252,0,0,0,0,0.0961276157134577,0.0293262454958622,0,0.00670524921299114,0.127863441630125,0.23197845493647,0,0,0.131479422233175,0,0,0.702,-0.00347410984875553,1.10360724809303
"P10305",0.208909427417267,0,0.0592357248406587,0.10053885438498,0,0.205533999338834,0.0767393016308533,0.00211072296102431,0,0,0,0.0390071785981041,0.0204417947806029,0.0855212138090239,0.0516437758298238,0.0741384854985181,0.0233429919968034,0.00825451893099973,0,0.0431542047242543,0.00142780525825315,0,0.0659999999999999,0.12598249967338,1.03211709859984
"P10359",0.0161631080553513,0,0.0076698943909761,0.217425097333818,0,0.0968498670083862,0.0201206448202266,0,0,0,0,0.14798744283309,0.0186063078316976,0.127175013582086,0.0360390848241773,0.224262311052129,0.0250284120369106,0,0,0.0626728162311518,0,0,0,0.396584979123427,0.924903030833957
