"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Mariathasan__Kidney__PD-(L)1",0.022,0.157,67,0.890673113615162,"Kidney","PD-(L)1",0.89326853558187
"HR1","OS","B_cells_memory","ICB_Mariathasan__Kidney__PD-(L)1",0.263,0.161,67,0.103529619407677,"Kidney","PD-(L)1",0.503419461896055
"HR2","OS","Plasma_cells","ICB_Mariathasan__Kidney__PD-(L)1",-0.23,0.16,67,0.149379590459848,"Kidney","PD-(L)1",0.503419461896055
"HR3","OS","T_cells_CD8","ICB_Mariathasan__Kidney__PD-(L)1",0.041,0.165,67,0.803137005388964,"Kidney","PD-(L)1",0.89326853558187
"HR4","OS","T_cells_CD4_naive","ICB_Mariathasan__Kidney__PD-(L)1",-0.022,0.143,67,0.87729939679361,"Kidney","PD-(L)1",0.89326853558187
"HR5","OS","T_cells_CD4_memory_resting","ICB_Mariathasan__Kidney__PD-(L)1",0.236,0.147,67,0.107408737917423,"Kidney","PD-(L)1",0.503419461896055
"HR6","OS","T_cells_CD4_memory_activated","ICB_Mariathasan__Kidney__PD-(L)1",-0.115,0.159,67,0.46994172841149,"Kidney","PD-(L)1",0.822398024720108
"HR7","OS","T_cells_follicular_helper","ICB_Mariathasan__Kidney__PD-(L)1",0.315,0.148,67,0.0337426478795289,"Kidney","PD-(L)1",0.503419461896055
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Mariathasan__Kidney__PD-(L)1",0.162,0.12,67,0.178771087448165,"Kidney","PD-(L)1",0.503419461896055
"HR9","OS","T_cells_gamma_delta","ICB_Mariathasan__Kidney__PD-(L)1",-0.095,0.189,67,0.613696544112818,"Kidney","PD-(L)1",0.859175161757946
"HR10","OS","NK_cells_resting","ICB_Mariathasan__Kidney__PD-(L)1",0.028,0.133,67,0.834590924787274,"Kidney","PD-(L)1",0.89326853558187
"HR11","OS","NK_cells_activated","ICB_Mariathasan__Kidney__PD-(L)1",0.188,0.144,67,0.191778842627069,"Kidney","PD-(L)1",0.503419461896055
"HR12","OS","Monocytes","ICB_Mariathasan__Kidney__PD-(L)1",0.124,0.148,67,0.399056825968472,"Kidney","PD-(L)1",0.822398024720108
"HR13","OS","Macrophages_M0","ICB_Mariathasan__Kidney__PD-(L)1",0.077,0.148,67,0.601228483876124,"Kidney","PD-(L)1",0.859175161757946
"HR14","OS","Macrophages_M1","ICB_Mariathasan__Kidney__PD-(L)1",-0.083,0.149,67,0.57918373504302,"Kidney","PD-(L)1",0.859175161757946
"HR15","OS","Macrophages_M2","ICB_Mariathasan__Kidney__PD-(L)1",-0.202,0.152,67,0.18233025024881,"Kidney","PD-(L)1",0.503419461896055
"HR16","OS","Dendritic_cells_resting","ICB_Mariathasan__Kidney__PD-(L)1",0.047,0.135,67,0.728275431064664,"Kidney","PD-(L)1",0.89326853558187
"HR17","OS","Dendritic_cells_activated","ICB_Mariathasan__Kidney__PD-(L)1",0.016,0.122,67,0.89326853558187,"Kidney","PD-(L)1",0.89326853558187
"HR18","OS","Mast_cells_activated","ICB_Mariathasan__Kidney__PD-(L)1",-0.156,0.151,67,0.300092306773341,"Kidney","PD-(L)1",0.700215382471129
"HR19","OS","Eosinophils","ICB_Mariathasan__Kidney__PD-(L)1",0.091,0.125,67,0.468988382796245,"Kidney","PD-(L)1",0.822398024720108
"HR20","OS","Neutrophils","ICB_Mariathasan__Kidney__PD-(L)1",0.175,0.123,67,0.153383803833583,"Kidney","PD-(L)1",0.503419461896055
