"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P10255",0.1344279015179,0,0.0902222535666963,0.0532611777664872,0.0493812272949394,0.0605862875345114,0.030488684256912,0,0,0,0,0.0136384044611446,0.0237228208376114,0.288132147862518,0.0287647003390239,0.0906269353488852,0.0294262669890612,0,0,0.0905444137191189,0,0.016776778505191,0.014,0.232806167696476,0.996503698577904
"P10061",0.0302290433972194,0,0,0.0549279426452258,0,0,0,0.0622695886195319,0,0.0278398320760448,0,0.0442882201534615,0.00737609100682092,0.352894582559982,0.0442797121284298,0.100832205161819,0,0,0,0.275062782251465,0,0,0,0.600828982469448,0.798944655238235
"P10014",0.0382754930529489,0,0.16902310474819,0.120384040271248,0,0.000383185172670618,0.0717342918242427,0.0121942015481539,0,0,0,0.0384016090756934,0.00703907368276645,0.110781604806197,0.0349310235482842,0.13183705963523,0,0,0,0.265015312634376,0,0,0.001,0.316711231120802,0.963912577765961
"P10103",0.201949483416553,0,0.0467723221707594,0.0718378531242697,0,0.0172159735584763,0.00448113458182592,0.044113913824198,0,0.0155209534026316,0,0.0853594493700537,0.0231482367291201,0.121134164094951,0.0952228170667363,0.0712805098460351,0.03205026191559,0,0,0.1699129268988,0,0,0,0.348583205070694,0.9455588266227
"P10291",0.127931344491284,0,0.0860488265209504,0.194453880685997,0,0.0734289668245411,0.0480185221458582,0,0,0,0,0.0551758052436983,0.0340620727010966,0.0322223008201174,0.0677574914602529,0.0504704307650652,0.113574878493349,0,0,0.115451328581666,0.00140415126612349,0,0.031,0.179982295947507,1.01091525851307
"P10320",0.0923839193905395,0,0.216849188125364,0.0903573904317182,0,0.0743998607111455,0,0.038552028839444,0,0,0,0.0815643536446271,0.00675451557424223,0.0399826446982338,0.050510664563126,0.0667427423971229,0.0834747318844259,0,0,0.158427959740011,0,0,0.124,0.0950908308056806,1.0439207291329
"P10070",0.0484267831344359,0,0.0280907058353129,0.0580650737764931,0,0.120960818861004,0.0777360680217358,0.00467111861971762,0,0,0,0.0209855740603174,0.0453002408769088,0.233369328233699,0.0225694162993421,0.109919237649733,0.0735832922411169,0,0,0.139529573065829,0.0167927693243545,0,0,0.415416489068848,0.910155505196823
"P10374",0.061535057807756,0,0.0119049722223332,0.0493606536702998,0,0.145080309199863,0,0.0415205162142869,0,0,0,0.048264980258524,0.0298358522797989,0.0968658033009073,0.0890046425840544,0.161166186914477,0.147144816999898,0,0,0.118316208547802,0,0,0.4,0.0283625048102611,1.08133363106676
"P10224",0.113150072800164,0,0.0399169185358502,0.0333495082322596,0,0.1882180221979,0,0,0,0,0,0.0501936979899738,0.0573318216688062,0,0.0290504560902869,0.126826812467961,0.0851572515554017,0,0,0.272403003090673,0,0.0044024353707245,0.077,0.115871294491036,1.06052916271059
"P10169",0.103126780544103,0,0.0465644890835248,0.186862362237682,0,0.0491637803165672,0.0995818247958008,0.00481229659072833,0,0,0,0.0758325211739049,0.0414893604219285,0.0216244195968069,0.0690108854271254,0.12946214771546,0.0879961903903421,0,0,0.084472941706026,0,0,0.079,0.113965965532136,1.04021922768512
"P10319",0.0299619570292201,0,0,0.111616656561109,0,0.265750437513239,0,0,0.00608131986414425,0,0,0.136138282884009,0.0625665948350817,0.120857323131703,0.0566136996924435,0.0752611796635216,0.0817175466427543,0,0,0.0534350021827753,0,0,0,0.361641991831348,0.939802491985503
"P10353",0.186396201987222,0,0.00754180301429843,0.0752675148524325,0,0.0411763575781774,0,0.00395299865966072,0,0,0,0.0766127870458954,0.0929494432250523,0.23877724992055,8.2739873685804e-05,0.208830639755012,0,0,0,0.0684122640880141,0,0,0.394,0.030200515415514,1.09836104363859
"P10032",0.119687037841847,0,0.133290962538382,0.0524597285439809,0,0.147419695577826,0.0718081380609001,0,0,0,0,0.00631698458673323,0.017428564104049,0,0.00820521202145554,0.155752918817254,0.0383164170943178,0.0129133417092277,0,0.220125881198305,0,0.0162751179057215,0.094,0.10858120416249,1.04144640202338
"P10243",0.0464466660018536,0,0.0711747115162953,0.174624976092836,0,0.154850230134159,0,0.0126297574516512,0,0,0,0.0500864661025322,0.0522791200364384,0,0.0657385730998425,0.100945001835021,0.0745616764515557,0,0,0.193421739766208,0.00324108151160647,0,0.114,0.099836206461552,1.05597905907704
"P10155",0,0,0.0510812838341703,0.155667497426868,0,0.00853849619528083,0.0358575715052037,0.00726931458844723,0,0,0,0.0387119438581352,0.0537663955649577,0.130833133600582,0.020763587852687,0.0575626449101268,0.0152875024988588,0,0,0.396744488981575,0.0115525764047276,0.0163635627783796,0.114,0.0999609094699514,1.12561417469458
"P10347",0.0143521581316962,0,0,0.276041535503321,0,0,0.23457890947742,0.00582234135723087,0,0,0,0.114265366129687,0.00710848507934545,0,0.0681802682738593,0.108206080816088,0.0445987826781885,0.000645909717945109,0,0.126200162835219,0,0,0.032,0.17352866062478,1.04860479344044
"P10337",0.127924150523426,0,0.142188898140579,0.0983453343470873,0,0.08250640451178,0.0573401221202904,0.0274707645036402,0,0,0,0.0498075855956992,0.0522286283941301,0,0.0252234667340067,0.135972754230503,0.0691431918499117,0,0,0.131848699048947,0,0,0.014,0.230430107334215,0.984706968418531
"P10216",0.00922295861545241,0.345714836236764,0,0.0697915433593539,0.0391913215836738,0.203613126097677,0.0435802001929274,0,0,0,0,0.0394293730792196,0.0121512217763993,0.0881300336132241,0.0251161030961959,0.00694449294295644,0.0252156490159077,0,0,0.0918991403902482,0,0,0,0.496828669878483,0.868577499380202
