"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Mariathasan__Ureteral__PD-(L)1",0.457,0.272,26,0.0931336871459832,"Ureteral","PD-(L)1",0.288765701737115
"HR1","OS","B_cells_memory","ICB_Mariathasan__Ureteral__PD-(L)1",0.401,0.227,26,0.0775581635785154,"Ureteral","PD-(L)1",0.288765701737115
"HR2","OS","Plasma_cells","ICB_Mariathasan__Ureteral__PD-(L)1",0.029,0.197,26,0.881583075314259,"Ureteral","PD-(L)1",0.927982184541325
"HR3","OS","T_cells_CD8","ICB_Mariathasan__Ureteral__PD-(L)1",-0.513,0.333,26,0.123522284207798,"Ureteral","PD-(L)1",0.288765701737115
"HR4","OS","T_cells_CD4_naive","ICB_Mariathasan__Ureteral__PD-(L)1",0.926,0.304,26,0.0023437042646017,"Ureteral","PD-(L)1",0.046874085292034
"HR5","OS","T_cells_CD4_memory_resting","ICB_Mariathasan__Ureteral__PD-(L)1",0.365,0.184,26,0.0475587702218755,"Ureteral","PD-(L)1",0.237793851109378
"HR6","OS","T_cells_CD4_memory_activated","ICB_Mariathasan__Ureteral__PD-(L)1",0.094,0.23,26,0.683870196827093,"Ureteral","PD-(L)1",0.811955052176588
"HR7","OS","T_cells_follicular_helper","ICB_Mariathasan__Ureteral__PD-(L)1",-0.619,0.305,26,0.0428108598387785,"Ureteral","PD-(L)1",0.237793851109378
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Mariathasan__Ureteral__PD-(L)1",-0.425,0.425,26,0.316789641263184,"Ureteral","PD-(L)1",0.549341255941951
"HR9","OS","T_cells_gamma_delta","ICB_Mariathasan__Ureteral__PD-(L)1",-0.273,0.314,26,0.384794728427175,"Ureteral","PD-(L)1",0.591991889887962
"HR10","OS","NK_cells_activated","ICB_Mariathasan__Ureteral__PD-(L)1",-0.098,0.247,26,0.6901617943501,"Ureteral","PD-(L)1",0.811955052176588
"HR11","OS","Monocytes","ICB_Mariathasan__Ureteral__PD-(L)1",0.393,0.26,26,0.129944565781702,"Ureteral","PD-(L)1",0.288765701737115
"HR12","OS","Macrophages_M0","ICB_Mariathasan__Ureteral__PD-(L)1",-0.54,0.338,26,0.110425273085726,"Ureteral","PD-(L)1",0.288765701737115
"HR13","OS","Macrophages_M1","ICB_Mariathasan__Ureteral__PD-(L)1",-0.073,0.261,26,0.778583997349315,"Ureteral","PD-(L)1",0.865093330388128
"HR14","OS","Macrophages_M2","ICB_Mariathasan__Ureteral__PD-(L)1",-0.264,0.271,26,0.329604753565171,"Ureteral","PD-(L)1",0.549341255941951
"HR15","OS","Dendritic_cells_resting","ICB_Mariathasan__Ureteral__PD-(L)1",0.507,0.238,26,0.0329109970431702,"Ureteral","PD-(L)1",0.237793851109378
"HR16","OS","Dendritic_cells_activated","ICB_Mariathasan__Ureteral__PD-(L)1",0.154,0.206,26,0.453101259706941,"Ureteral","PD-(L)1",0.647287513867058
"HR17","OS","Mast_cells_activated","ICB_Mariathasan__Ureteral__PD-(L)1",-0.334,0.245,26,0.172099935929313,"Ureteral","PD-(L)1",0.344199871858626
"HR18","OS","Eosinophils","ICB_Mariathasan__Ureteral__PD-(L)1",0.01,0.265,26,0.969912037219266,"Ureteral","PD-(L)1",0.969912037219266
"HR19","OS","Neutrophils","ICB_Mariathasan__Ureteral__PD-(L)1",0.129,0.235,26,0.584036468816573,"Ureteral","PD-(L)1",0.778715291755431
