"","sig_name","Pval","FDR","Study"
"1","B_cells_naive",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"2","B_cells_memory",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"3","Plasma_cells",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"4","T_cells_CD8",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"5","T_cells_CD4_naive",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"6","T_cells_CD4_memory_resting",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"7","T_cells_CD4_memory_activated",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"8","T_cells_follicular_helper",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"9","T_cells_regulatory_.Tregs.",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"10","T_cells_gamma_delta",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"11","NK_cells_activated",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"12","Monocytes",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"13","Macrophages_M0",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"14","Macrophages_M1",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"15","Macrophages_M2",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"16","Dendritic_cells_resting",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"17","Dendritic_cells_activated",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"18","Mast_cells_activated",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"19","Eosinophils",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
"20","Neutrophils",NA,NA,"ICB_Mariathasan__Ureteral__PD-(L)1"
