"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"PD_005T",0,0.00412423751131438,0.108491264906214,0.0481282599414974,0,0.055718310050674,0.00332551138667572,0.019138956033579,0,0,0.0109477060241997,0.0126139366329742,0.0698273149508155,0,0.0142242687425982,0.580844376136163,0.00828125709254731,0.00515400300968191,0,0.0497433263346512,0,0.00943727124641474,0.047,0.159415472791386,1.04666770728164
"PD_007T",0.0724085185206175,0,0.0694897507389893,0.0645963119147658,0,0.184935836325981,0,0.15091753403312,0,0,0,0.0555350883861567,0.0415983448226095,0,0.0610772398167367,0.2732024491091,0,0,0,0.0250789188256424,0,0.00116000750628126,0.359,0.0429784026370474,1.06857756693376
"PD_010T",0,0,0.0458653434342965,0.129413494392442,0,0.291463970301991,0,0.0226941792168631,0.0286608580727343,0,0,0.102124045872785,0.00826634666660169,0.0761133574093712,0.039515973803852,0.136737431112719,0,0.00707087440490833,0,0.112074125311437,0,0,0.154,0.0907456488413514,1.07333412192174
"PD_011T",0.00295013420093965,0,0.0173774773619039,0.295505064115331,0.0196703074821274,0.223955833167323,0,0.0101722824963108,0,0,0,0.121095605797881,0.0609120188073962,0.0453725516744748,0.0176471183488444,0.114482386481758,0.00516632201563289,0,0,0.0656928980500773,0,0,0.0629999999999999,0.140436476047314,1.06909354527967
"PD_012T",0.0489732876993632,0,0.00102192231623805,0.0511837976333985,0,0.0712425538380505,0,0.0412912702517592,0.0181900162075452,0,0,0.0712942197304644,0.0173492166734659,0.236755194386467,0.030259802385692,0.185831547587005,0,0,0,0.183056677141004,0,0.0435504941495466,0.149,0.093738029524467,1.08455357451517
"PD_013T",0,0,0.000226489291762503,0.0143586736717133,0,0.227218635349289,0,0.0199717332300536,0,0,0,0.0674284142945136,0.0112822509824754,0.194331950819318,0.0163404996015085,0.126889814813082,0,0,0,0.294970092415299,0,0.0269814455309854,0.005,0.300782362312159,0.992025887111005
"PD_014T",0.00686948582122164,0.039699408421456,0.049527748879669,0.0147508848074919,0,0.524288468053757,0,0.0145791893223637,0,0,0,0.0657034087743822,0.0271676543413644,0,0.0169315624091882,0.173159571010506,0.0100024056202901,0.0131414875790133,0,0.0441787249592969,0,0,0.143,0.0960163287996783,1.06615838731773
"PD_015T",0,0.0136215472836476,0.0299355333331528,0.0208464678259789,0,0.338123135392941,0,0,0,0,0.0217698904454017,0.065112778786731,0.0691420318766703,2.58042229125015e-05,0.0180375319701976,0.342506463408643,0,0.0286628235646389,0,0.0356185453294185,0,0.016597446559666,0.307,0.0519471690547031,1.0745212135814
"PD_018T",0,0,0.0221673734855061,0.106642655885741,0,0.339822740736501,0,0.0358601845602901,0,0.0120921025629407,0,0.0908773423321242,0.0451456742413395,0,0.0374803239650112,0.252942338191645,0,0.036654766238409,0.00881614236817928,0,0,0.0114983554323133,0.144,0.0953451074494874,1.06666971123649
"PD_019T",0.0633910437057486,0,0.0756582664735211,0.00154616906888658,0,0.108812862746312,0,0.0773473172818236,0,0,0.0647547138299779,0,0.0792039347423999,0.18902889572496,0.0047772727844934,0.178336179002301,0,0,0,0.0793785322898418,0,0.0777648123497342,0.026,0.196763945123366,1.0092518322459
"PD_020T",0.0393817393101724,0,0.305940378856186,0.123506267229678,0.0768736459091271,0.0336135002567094,0.0386968270303039,0.0428318327441243,0,0,0,0.0786565510385557,0.0527033718866662,0,0.065766690493483,0.0475023908262976,0.00377811089257005,0,0,0.0818573711478019,0.00889132237832416,0,0.021,0.205149007615772,0.997567713678103
"PD_021T",0.0304022318411257,0,0.0736782184078595,0.206787851022589,0,0.203508732296462,0,0.0343215403399858,0.0223284755161075,0,0,0.13902647740887,0.0345883373353594,0.0199555828928804,0.0801043366181694,0.0870214399383885,0,0.0208853133372006,0.0302541337337063,0,0,0.0171373293112956,0.524,0.0210601793073282,1.11031942942024
"PD_022T",0.0348082213458885,0,0.0220309952936791,0.096055863230618,0,0.348326820793742,0,0.00892337581791112,0,0,0,0.0209888290267413,0.00800113640275396,0.120012113752099,0.0340246965318496,0.191138157928295,0,0,0,0.115689789876422,0,0,0.104,0.113848223572571,1.05312963291906
"PD_023T",0,0.0255473475998914,0.00978865942068689,0.0631028765693538,0,0.335054791061921,0,0,0,0,0,0.0449772206497796,0.123800092103742,0,0.000832433979747812,0.312553732009362,0,0.0366447088493172,0.0192391101324908,0.0284590276237067,0,0,0.0600000000000001,0.143399534997111,1.03433204978064
"PD_024T",0,0.0110436572978103,0.0354213862534667,0.241113364227412,0,0.15878874028837,0,0.144348875369995,0.0480060564476247,0.0736729983663984,0,0.125264721831728,0.0147960369333613,0,0.0261801596068075,0.0940334638831841,0,0,0,0.015155359090173,0,0.0121751804036695,0.00800000000000001,0.266728448997828,1.01354116938186
"PD_025T",0,0.0112422354141697,0.00551045878677288,0.025844737281459,0,0.306343152593208,0,0,0,0,0.0101837594010632,0.0586882314458313,0.145931763655161,0,0.0212940181393841,0.363676590525247,0.000846626448556388,0,0.0328553716701039,0,0,0.0175830546390432,0.026,0.196715557263419,1.01398698841483
"PD_026T",0.0744619856664102,0,0.00836156516506906,0,0.0553556804149742,0.0836215137405318,0,0.0449625861523919,0,0,0,0.0580158882182515,0.129886597196172,0,0,0.387349641210862,0,0.132099887851293,0.0199380018916949,0,0,0.00594665249234925,0.562,0.015996955610113,1.08886524593827
"RCC_102",0,0,0.0544773305281132,0.220081196366909,0,0,0,0.0136709585029844,0.0525628911011755,0.000941098115788351,0,0.0651870658920227,0.101502757386783,0.054820298202716,0.0445962134797608,0.309322037449586,0.0018485360171178,0,0.079592741918878,0,0,0.00139687503816478,0.002,0.354777380988962,0.937441139107941
"RCC_105",0.0385564133178984,0,0.0545340163127258,0.0156770583178821,0,0.0178598544321725,0,0.00186248963362376,0,0.00131619905994841,0,0.0293280028531343,0.217496705996674,0.0461972720246401,0.0136883507944973,0.492520242951519,0,0,0.0146031836615006,0,0,0.0563602106437835,0.011,0.249259657106867,1.01253972778971
"RCC_106",0.0538380251503259,0,0.0615400756860318,0.0561732335427535,0,0.0269202991930432,0,0.00470212111530944,0,0.0233465394215689,0.0273581669163429,0,0.0345632284975638,0,0.0483245998360784,0.525486359192739,0.071154877541948,0,0.0557283317705082,0,0,0.0108641421357871,0.002,0.341507039075978,0.949893656681584
"RCC_115",0.0408063048421602,0,0.133705945450228,0.00352147152901424,0.00195549400805091,0.0135478505231548,0,0.0441195743339479,0.00910272012027039,0.049349923353538,0,0.0181430910605192,0.117263217168302,0.0530102185680338,0.0901025237856014,0.256151599820601,0.0661374732996206,0,0.0565135747509116,0,0,0.046569017386046,0,0.41775401713113,0.907810393755014
"RCC_117",0,0,0.0490962181589193,0.3388605792966,0,0.00768805848676903,0,0.0878848017797309,0.0305843297828757,0.0260365269273853,0,0.0804732469943627,0.0391488403270842,0,0.0509816899146422,0.23966575240099,0.0294659267421923,0.00234886200502424,0.00703711483834735,0,0,0.010728052345077,0.01,0.258787637248728,0.99276065319539
"RCC_14",0.00150332156372274,0.00987250504765116,0.0133613585349168,0.100710269431005,0,0.0578635128215996,0,0.020609402414174,0.0492351562614269,0.0068956263392312,0,0.0774017098188993,0.305392988700845,0,0.0532254901144589,0.114506758069655,0.00105180695122339,0,0.0366566130454553,0,0,0.151713480885736,0.001,0.403842806207631,0.921181394804411
"RCC_18",0.0361031653672124,0,0.00344366873428648,0.070906226365005,0,0.120961748541641,0,0.0110912805528226,0,0,0.00789611279237634,0.0422621031582759,0.0923703535615378,0,0.063678421264678,0.415499012225209,0.0623795119945708,0,0.0522419070906931,0,0,0.0211664883516915,0.086,0.12218505770875,1.04674441155879
"RCC_21",0.0140806505035003,0,0.0185349026717051,0.012710306474212,0,0.0592556213966474,0.0379671617309305,0.0137920919334408,0,0,0.0284278072843261,0.00772618267347232,0.155279300462124,0,0.170623974854062,0.395719532333202,0,0,0.0646455990555486,0,0,0.0212368686268289,0.001,0.405762425413355,0.919545949190865
"RCC_27",0,0.00325774955751748,0,0,0,0.0271371794093171,0.00291484463953044,0.00214816117039513,0,0,0.0409860429581809,0,0.032721458798808,0.206892868134442,0.0382373772063068,0.590229425395807,0,0,0.0324760748794268,0,0,0.0229988178502678,0,0.54571573806419,0.841544324932748
"RCC_41",0,0.00985684738350776,0.0497811328413425,0.333149534093363,0,0,0.00546715898979503,0.0160003541014319,0.0213893096292461,0.186168989985055,0,0.0470864645860924,0.00736841058764684,0.00373726591832075,0.0794848431713767,0.222532566894798,0.014956364425812,0,0,0.00199443755075997,0.00102631984145223,0,0.043,0.164346506510396,1.05803244582043
"RCC_50",0,0,0.0427121289425627,0.281342638369861,0,0,0,0.075520070028691,0.00952754190235556,0.199451767196687,0,0.0784954969522468,0,1.33610878987524e-05,0.0653640184130566,0.182050628217452,0.0181547442277024,0,0.0473676046614866,0,0,0,0.00700000000000001,0.279890285080319,0.997521024589328
"RCC_73",0.00569345397049238,0.00605795700160201,0.00419812775136944,0,0,0.00948010279753707,0,0.0297719451462727,0.011401261899693,0,0.0517469985959389,0,0.126449663530059,0.124995224788304,0.0458638140645915,0.54698568420797,0.0053789183043218,0,0.0319768479418483,0,0,0,0.00700000000000001,0.277467540842949,1.00379730250621
