"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Miao1__Kidney__PD-(L)1",0.41,0.196,33,0.0368641761047293,"Kidney","PD-(L)1",0.405505937152023
"HR1","OS","B_cells_memory","ICB_Miao1__Kidney__PD-(L)1",-0.255,0.266,33,0.338211153554754,"Kidney","PD-(L)1",0.62005378151705
"HR2","OS","Plasma_cells","ICB_Miao1__Kidney__PD-(L)1",0.491,0.196,33,0.0123521787929118,"Kidney","PD-(L)1",0.271747933444059
"HR3","OS","T_cells_CD8","ICB_Miao1__Kidney__PD-(L)1",0.2,0.248,33,0.421197022723212,"Kidney","PD-(L)1",0.665875760068631
"HR4","OS","T_cells_CD4_naive","ICB_Miao1__Kidney__PD-(L)1",0.342,0.205,33,0.0948759199155836,"Kidney","PD-(L)1",0.62005378151705
"HR5","OS","T_cells_CD4_memory_resting","ICB_Miao1__Kidney__PD-(L)1",-0.294,0.23,33,0.20120662178559,"Kidney","PD-(L)1",0.62005378151705
"HR6","OS","T_cells_CD4_memory_activated","ICB_Miao1__Kidney__PD-(L)1",0.492,0.395,33,0.212995959985452,"Kidney","PD-(L)1",0.62005378151705
"HR7","OS","T_cells_follicular_helper","ICB_Miao1__Kidney__PD-(L)1",0.159,0.207,33,0.44319079510526,"Kidney","PD-(L)1",0.665875760068631
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Miao1__Kidney__PD-(L)1",0.102,0.199,33,0.607406218815096,"Kidney","PD-(L)1",0.703312463891164
"HR9","OS","T_cells_gamma_delta","ICB_Miao1__Kidney__PD-(L)1",-0.045,0.207,33,0.826726950078858,"Kidney","PD-(L)1",0.849702773769711
"HR10","OS","NK_cells_resting","ICB_Miao1__Kidney__PD-(L)1",0.047,0.249,33,0.849702773769711,"Kidney","PD-(L)1",0.849702773769711
"HR11","OS","NK_cells_activated","ICB_Miao1__Kidney__PD-(L)1",-0.368,0.252,33,0.143760765190929,"Kidney","PD-(L)1",0.62005378151705
"HR12","OS","Monocytes","ICB_Miao1__Kidney__PD-(L)1",-0.156,0.208,33,0.454006200046794,"Kidney","PD-(L)1",0.665875760068631
"HR13","OS","Macrophages_M0","ICB_Miao1__Kidney__PD-(L)1",0.18,0.184,33,0.326218721418571,"Kidney","PD-(L)1",0.62005378151705
"HR14","OS","Macrophages_M1","ICB_Miao1__Kidney__PD-(L)1",0.233,0.221,33,0.293175397329201,"Kidney","PD-(L)1",0.62005378151705
"HR15","OS","Macrophages_M2","ICB_Miao1__Kidney__PD-(L)1",-0.134,0.231,33,0.560562222638446,"Kidney","PD-(L)1",0.703312463891164
"HR16","OS","Dendritic_cells_resting","ICB_Miao1__Kidney__PD-(L)1",0.188,0.183,33,0.30599487034684,"Kidney","PD-(L)1",0.62005378151705
"HR17","OS","Dendritic_cells_activated","ICB_Miao1__Kidney__PD-(L)1",-0.146,0.284,33,0.606698497153675,"Kidney","PD-(L)1",0.703312463891164
"HR18","OS","Mast_cells_resting","ICB_Miao1__Kidney__PD-(L)1",0.075,0.246,33,0.760034213788414,"Kidney","PD-(L)1",0.836037635167255
"HR19","OS","Mast_cells_activated","ICB_Miao1__Kidney__PD-(L)1",0.248,0.179,33,0.165111581163102,"Kidney","PD-(L)1",0.62005378151705
"HR20","OS","Eosinophils","ICB_Miao1__Kidney__PD-(L)1",-0.306,0.471,33,0.515275269668419,"Kidney","PD-(L)1",0.703312463891164
"HR21","OS","Neutrophils","ICB_Miao1__Kidney__PD-(L)1",-0.297,0.269,33,0.270209700609284,"Kidney","PD-(L)1",0.62005378151705
