"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Miao1__Kidney__PD-(L)1",-0.185,0.409,33,0.65127301117647,"Kidney","PD-(L)1",0.885312149628871
"HR1","PFS","B_cells_memory","ICB_Miao1__Kidney__PD-(L)1",0.173,0.265,33,0.514960772544305,"Kidney","PD-(L)1",0.812641421175457
"HR2","PFS","Plasma_cells","ICB_Miao1__Kidney__PD-(L)1",-0.182,0.711,33,0.79764906775719,"Kidney","PD-(L)1",0.923593657403063
"HR3","PFS","T_cells_CD8","ICB_Miao1__Kidney__PD-(L)1",0.24,0.641,33,0.708031631837395,"Kidney","PD-(L)1",0.885312149628871
"HR4","PFS","T_cells_CD4_naive","ICB_Miao1__Kidney__PD-(L)1",-119.829,36070.405,33,0.997349370060323,"Kidney","PD-(L)1",0.9992476412206
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Miao1__Kidney__PD-(L)1",0.263,0.351,33,0.453277281444633,"Kidney","PD-(L)1",0.812641421175457
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Miao1__Kidney__PD-(L)1",0.332,0.478,33,0.486588783987916,"Kidney","PD-(L)1",0.812641421175457
"HR7","PFS","T_cells_follicular_helper","ICB_Miao1__Kidney__PD-(L)1",0.316,0.296,33,0.285869916519613,"Kidney","PD-(L)1",0.812641421175457
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Miao1__Kidney__PD-(L)1",-0.009,0.379,33,0.980704321256106,"Kidney","PD-(L)1",0.9992476412206
"HR9","PFS","T_cells_gamma_delta","ICB_Miao1__Kidney__PD-(L)1",-2.688,2.517,33,0.285410930537998,"Kidney","PD-(L)1",0.812641421175457
"HR10","PFS","NK_cells_resting","ICB_Miao1__Kidney__PD-(L)1",-0.218,0.611,33,0.720911624028594,"Kidney","PD-(L)1",0.885312149628871
"HR11","PFS","NK_cells_activated","ICB_Miao1__Kidney__PD-(L)1",0.157,0.444,33,0.724346304241803,"Kidney","PD-(L)1",0.885312149628871
"HR12","PFS","Monocytes","ICB_Miao1__Kidney__PD-(L)1",-0.3,0.445,33,0.500027918669837,"Kidney","PD-(L)1",0.812641421175457
"HR13","PFS","Macrophages_M0","ICB_Miao1__Kidney__PD-(L)1",0.452,0.467,33,0.332831809733789,"Kidney","PD-(L)1",0.812641421175457
"HR14","PFS","Macrophages_M1","ICB_Miao1__Kidney__PD-(L)1",0.473,0.388,33,0.222221655513318,"Kidney","PD-(L)1",0.812641421175457
"HR15","PFS","Macrophages_M2","ICB_Miao1__Kidney__PD-(L)1",-0.535,0.484,33,0.26897563152983,"Kidney","PD-(L)1",0.812641421175457
"HR16","PFS","Dendritic_cells_resting","ICB_Miao1__Kidney__PD-(L)1",-0.353,0.471,33,0.454186953212428,"Kidney","PD-(L)1",0.812641421175457
"HR17","PFS","Dendritic_cells_activated","ICB_Miao1__Kidney__PD-(L)1",-0.441,0.681,33,0.517135449838927,"Kidney","PD-(L)1",0.812641421175457
"HR18","PFS","Mast_cells_resting","ICB_Miao1__Kidney__PD-(L)1",-0.385,0.516,33,0.455256159516949,"Kidney","PD-(L)1",0.812641421175457
"HR19","PFS","Mast_cells_activated","ICB_Miao1__Kidney__PD-(L)1",0.493,0.29,33,0.089888061091058,"Kidney","PD-(L)1",0.812641421175457
"HR20","PFS","Eosinophils","ICB_Miao1__Kidney__PD-(L)1",-171.139,181494.366,33,0.9992476412206,"Kidney","PD-(L)1",0.9992476412206
"HR21","PFS","Neutrophils","ICB_Miao1__Kidney__PD-(L)1",-0.988,1.102,33,0.370183553691904,"Kidney","PD-(L)1",0.812641421175457
