"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P8",0,0.0125151114734265,0,0,0,0.242651267349128,0,0.00346557735701204,0.0414679011594108,0,0.0203560200460434,0,0,0.410854160805156,0.0883110561080961,0.135235923674687,0.0162435737909567,0,0.00587870789299344,0,0,0.0230207003430901,0.026,0.20016878999908,1.04415497727166
"P9",0.0527085797238238,0,0.0168410839481231,0.0360110367853615,0,0.225755897387458,0,0.132097623705213,0.0389914400658017,0,0.126294492462319,0,0.0939705284307085,0.0915143971204821,0.00255167919372035,0.0246127470860011,0.00260278744794882,0,0.143386670984194,0,0,0.012661035658845,0.911,-0.0202068723068987,1.09803377647666
"P10",0.0130779078993136,0,0,0.0275684993244699,0,0.121056569397747,0,0.0522781679814374,0.0109231456589111,0,0.0537722073541766,0,0.0143025860412494,0.536192498464379,0.00913892001917021,0.127614223512077,0,0,0.0169098880546471,0.00843900193693125,0,0.00872638435549094,0,0.474576995087071,0.893649273149432
"P11",0.0215566383938678,0,0,0.0148806541317972,0,0.239837721123901,0,0.087577998420139,0,0,0.00677728899729938,0.03945954693821,0,0.180354533363123,0.0394970166513662,0.1741011742134,0.0658899372831007,0,0.00430843395858279,0.0073943693475473,0,0.118364687177666,0.143,0.101874872350874,1.05935197792764
"P15",0.0654045220588443,0,0.0826870740861966,0,0,0.114268217289434,0,0.0211982182600387,0.0706713213656805,0,0.0438572059771605,0,0,0.437130807542585,0,0.134641766926401,0,0,0,0.0280329022768188,0,0.0021079642168408,0.002,0.317860433365161,0.974353889570547
"P16",0.0689158502549937,0,0.0589685582442203,0.00731389656206664,0,0.246602784964864,0,0.0330129913755561,0.00796809479105667,0,0.0591875844361305,0.0114938188488939,0.0861693068520311,0.232953451194819,0.0426540107531232,0.135797178964594,0,0,0.00303852779398826,0.000131522234783146,0,0.00579242272887877,0.161,0.0956564966002344,1.051718499407
"P18",0.0864141765955248,0,0.0494934911392376,0.0210148656212206,0,0.249193537259985,0,0.0175065255131341,0.0361981170593828,0,0.0504127941869438,0,0.0475870918678205,0.304324034154219,0.00499847333063888,0.0759794831526652,0,0.00376268531213256,0,0.0431629027601353,0,0.00995182204695951,0.033,0.185274300730396,1.02061411229781
"P19",0.00299960628021652,0,0.0282364741520672,0.002367519960522,0,0.255506717172267,0.00619823206204845,0.0644312644835054,0.0376811849166529,0.0912168025450524,0,0.058061910892002,0,0.0238168313574276,0.0636204791121074,0.240925558008738,0.00382779506020438,0,0.0618159510502894,0,0,0.0592936729468992,0.003,0.288892409462168,0.968570285920454
"P22",0,0.0136607789487204,0,0.0427442782918355,0,0.20827430629443,0,0.0112482668391216,0.0619464970329402,0,0.0114426897056867,0,0.0367914443118137,0.293287660947135,0.0232081119517222,0.21162753191268,0.0301752572343974,0,0.0511814726419504,0,0,0.00441170388756682,0.034,0.183093367030402,1.030390767116
"P28",0.0980923060301227,0,0,0.0186828117577594,0,0.418640660201018,0,0.024475301994556,0,0,0,0.0586585426044885,0.0985231965675192,0.0379155443299248,0.00904665210313004,0.0881003102217187,0.00282690387669179,0.00333188234980081,0.103963412770196,0.0256826671787318,0,0.0120598080143418,0.0659999999999999,0.140997356862528,1.03456309724846
"P30",0,0.00371810930423631,0.136025579382085,0.0186941367020799,0,0.249358180242869,0,0.0331871250977097,0,0,0.0417974484236323,0.023601806522605,0.0573653054713653,0.12937228986133,0.0255830386421648,0.220715150957233,0,0,0.0152570101040447,0,0,0.0453248192886465,0.657,0.0125468305070251,1.07503422250487
"P32",0.00180431955719217,0.00246748978945192,0.0173808543770935,0,0,0.286663967488348,0,0.0176433990553124,0.0437085968178818,0,0.0796389464714185,0.0220231400678131,0.0504076848419122,0.257542415475709,0.00415218026194958,0.0353844224671205,0.041827363911413,0,0.134171894518495,0,0,0.00518332489889014,0.485,0.0350259305046279,1.08108340896549
"P33",0.00939142247035484,0.131388121996924,0.031709764773432,0.0465848525172494,0,0.259742646985854,0,0.0274911065095091,0.0364206986291233,0,0.0354743396899288,0.00792498543209549,0.120227628791345,0.0693985413302936,0.00591927838413451,0.118700710247858,0.0373290777648538,0.00800459616922777,0.0542922283078152,0,0,0,0.00700000000000001,0.264987330351125,0.972088562029824
