"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Padron__Pancreas__PD-(L)1",-0.037,0.162,45,0.817883790845725,"Pancreas","PD-(L)1",0.854659392765154
"HR1","OS","B_cells_memory","ICB_Padron__Pancreas__PD-(L)1",-0.346,0.217,45,0.11134856341728,"Pancreas","PD-(L)1",0.48993367903603
"HR2","OS","Plasma_cells","ICB_Padron__Pancreas__PD-(L)1",0.201,0.188,45,0.285073473577574,"Pancreas","PD-(L)1",0.724782799940777
"HR3","OS","T_cells_CD8","ICB_Padron__Pancreas__PD-(L)1",-0.11,0.177,45,0.534957201618294,"Pancreas","PD-(L)1",0.854659392765154
"HR4","OS","T_cells_CD4_naive","ICB_Padron__Pancreas__PD-(L)1",0.076,0.153,45,0.618482222135715,"Pancreas","PD-(L)1",0.854659392765154
"HR5","OS","T_cells_CD4_memory_resting","ICB_Padron__Pancreas__PD-(L)1",-0.282,0.19,45,0.136341158790225,"Pancreas","PD-(L)1",0.499917582230825
"HR6","OS","T_cells_CD4_memory_activated","ICB_Padron__Pancreas__PD-(L)1",-0.029,0.155,45,0.850956634454389,"Pancreas","PD-(L)1",0.854659392765154
"HR7","OS","T_cells_follicular_helper","ICB_Padron__Pancreas__PD-(L)1",-0.067,0.17,45,0.693312880240189,"Pancreas","PD-(L)1",0.854659392765154
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Padron__Pancreas__PD-(L)1",0.489,0.188,45,0.00944355360717143,"Pancreas","PD-(L)1",0.207758179357772
"HR9","OS","T_cells_gamma_delta","ICB_Padron__Pancreas__PD-(L)1",0.22,0.157,45,0.16162842408463,"Pancreas","PD-(L)1",0.507975047123123
"HR10","OS","NK_cells_resting","ICB_Padron__Pancreas__PD-(L)1",0.096,0.164,45,0.557562183878947,"Pancreas","PD-(L)1",0.854659392765154
"HR11","OS","NK_cells_activated","ICB_Padron__Pancreas__PD-(L)1",-0.07,0.187,45,0.709167200906017,"Pancreas","PD-(L)1",0.854659392765154
"HR12","OS","Monocytes","ICB_Padron__Pancreas__PD-(L)1",-0.258,0.162,45,0.110082153520488,"Pancreas","PD-(L)1",0.48993367903603
"HR13","OS","Macrophages_M0","ICB_Padron__Pancreas__PD-(L)1",0.359,0.175,45,0.039990635396717,"Pancreas","PD-(L)1",0.293264659575925
"HR14","OS","Macrophages_M1","ICB_Padron__Pancreas__PD-(L)1",-0.061,0.163,45,0.708044885145092,"Pancreas","PD-(L)1",0.854659392765154
"HR15","OS","Macrophages_M2","ICB_Padron__Pancreas__PD-(L)1",-0.061,0.172,45,0.722557931866598,"Pancreas","PD-(L)1",0.854659392765154
"HR16","OS","Dendritic_cells_resting","ICB_Padron__Pancreas__PD-(L)1",0.143,0.203,45,0.481436778956822,"Pancreas","PD-(L)1",0.854659392765154
"HR17","OS","Dendritic_cells_activated","ICB_Padron__Pancreas__PD-(L)1",0.028,0.153,45,0.854659392765154,"Pancreas","PD-(L)1",0.854659392765154
"HR18","OS","Mast_cells_resting","ICB_Padron__Pancreas__PD-(L)1",-0.057,0.176,45,0.74749640593602,"Pancreas","PD-(L)1",0.854659392765154
"HR19","OS","Mast_cells_activated","ICB_Padron__Pancreas__PD-(L)1",0.342,0.16,45,0.0322034541306678,"Pancreas","PD-(L)1",0.293264659575925
"HR20","OS","Eosinophils","ICB_Padron__Pancreas__PD-(L)1",-0.065,0.151,45,0.665917146521427,"Pancreas","PD-(L)1",0.854659392765154
"HR21","OS","Neutrophils","ICB_Padron__Pancreas__PD-(L)1",-0.193,0.185,45,0.296502054521227,"Pancreas","PD-(L)1",0.724782799940777
