"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Padron__Pancreas__PD-(L)1",-0.212,0.177,45,0.230454846028463,"Pancreas","PD-(L)1",0.633750826578272
"HR1","PFS","B_cells_memory","ICB_Padron__Pancreas__PD-(L)1",-0.152,0.175,45,0.386236464034421,"Pancreas","PD-(L)1",0.746714197913881
"HR2","PFS","Plasma_cells","ICB_Padron__Pancreas__PD-(L)1",0.127,0.156,45,0.414810180561017,"Pancreas","PD-(L)1",0.746714197913881
"HR3","PFS","T_cells_CD8","ICB_Padron__Pancreas__PD-(L)1",0.062,0.17,45,0.714461738175704,"Pancreas","PD-(L)1",0.859808972659615
"HR4","PFS","T_cells_CD4_naive","ICB_Padron__Pancreas__PD-(L)1",-0.029,0.152,45,0.848300929158289,"Pancreas","PD-(L)1",0.933131022074118
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Padron__Pancreas__PD-(L)1",-0.391,0.169,45,0.0208488820870509,"Pancreas","PD-(L)1",0.152891801971706
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Padron__Pancreas__PD-(L)1",-0.174,0.188,45,0.35395612224188,"Pancreas","PD-(L)1",0.746714197913881
"HR7","PFS","T_cells_follicular_helper","ICB_Padron__Pancreas__PD-(L)1",-0.022,0.162,45,0.89408496972804,"Pancreas","PD-(L)1",0.936660444476994
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Padron__Pancreas__PD-(L)1",0.443,0.162,45,0.00633292627019962,"Pancreas","PD-(L)1",0.133279508679538
"HR9","PFS","T_cells_gamma_delta","ICB_Padron__Pancreas__PD-(L)1",0.05,0.153,45,0.742562294569667,"Pancreas","PD-(L)1",0.859808972659615
"HR10","PFS","NK_cells_resting","ICB_Padron__Pancreas__PD-(L)1",0.295,0.163,45,0.0712499087091538,"Pancreas","PD-(L)1",0.313499598320277
"HR11","PFS","NK_cells_activated","ICB_Padron__Pancreas__PD-(L)1",-0.503,0.201,45,0.012116318970867,"Pancreas","PD-(L)1",0.133279508679538
"HR12","PFS","Monocytes","ICB_Padron__Pancreas__PD-(L)1",0.002,0.17,45,0.990302150046242,"Pancreas","PD-(L)1",0.990302150046242
"HR13","PFS","Macrophages_M0","ICB_Padron__Pancreas__PD-(L)1",0.311,0.164,45,0.0580963832512739,"Pancreas","PD-(L)1",0.313499598320277
"HR14","PFS","Macrophages_M1","ICB_Padron__Pancreas__PD-(L)1",-0.076,0.178,45,0.668084402903669,"Pancreas","PD-(L)1",0.859808972659615
"HR15","PFS","Macrophages_M2","ICB_Padron__Pancreas__PD-(L)1",-0.071,0.16,45,0.655514311381461,"Pancreas","PD-(L)1",0.859808972659615
"HR16","PFS","Dendritic_cells_resting","ICB_Padron__Pancreas__PD-(L)1",0.268,0.163,45,0.101589942222427,"Pancreas","PD-(L)1",0.372496454815564
"HR17","PFS","Dendritic_cells_activated","ICB_Padron__Pancreas__PD-(L)1",-0.12,0.156,45,0.441240207858203,"Pancreas","PD-(L)1",0.746714197913881
"HR18","PFS","Mast_cells_resting","ICB_Padron__Pancreas__PD-(L)1",-0.089,0.17,45,0.601497134721425,"Pancreas","PD-(L)1",0.859808972659615
"HR19","PFS","Mast_cells_activated","ICB_Padron__Pancreas__PD-(L)1",0.207,0.16,45,0.196120692593499,"Pancreas","PD-(L)1",0.616379319579568
"HR20","PFS","Eosinophils","ICB_Padron__Pancreas__PD-(L)1",-0.171,0.155,45,0.270614692291446,"Pancreas","PD-(L)1",0.661502581156869
"HR21","PFS","Neutrophils","ICB_Padron__Pancreas__PD-(L)1",-0.129,0.202,45,0.524430018467104,"Pancreas","PD-(L)1",0.82410431473402
