"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"X0021B83B832420742F7471D507766310",0.0114939945976545,0,0.0358482823233019,0.0983264572457093,0,0,0.119560838742116,0.0702957445234686,0,0.05254414942426,0,0.069175938962613,0,0.0325490264546586,0.14644595132085,0.235519627455806,0.00621674359860377,0,0,0.0692011082195988,0.00446158816699378,0.0483605489643664,0.108,0.102967293307674,1.06892076933504
"X04B821125002719A73F3A867800F963D",0.00877529174570314,0.0207840151415361,0.069850974386943,0.056199828012356,0,0.296059305043794,0.0937968852217332,0.044212973291709,0,0.089403192464888,0,0.0132307279650263,0.0534265123128319,0.0423143140337705,0.0447732245124387,0.0627691826620634,0,0.0472340063122409,0,0.0372814844756136,0.0198880824173525,0,0.00600000000000001,0.300526923998215,0.963537149725223
"X0549FA1EBCF9289DBF601FDFEDBF9591",0.0522397520830405,0,0.0257552249506749,0.0262554266412153,0.0723041681782155,0.261289004421781,0.0550802905189095,0,0,0.00809906595950657,0,0.0218538943358019,0.137594180187757,0,0.167150256059871,0.0455245906463027,0.00421760998640072,0.0962161438041345,0,0.0255236681470119,0.000896724079377458,0,0.091,0.117191300806737,1.06417672574552
"X06C3B3C45A4F2E3C14CB37119FBAE16E",0.0114248616384961,0.180958412046987,0,0.0638132958998797,0,0.113122915692077,0.0905122267388632,0.01415773025327,0.0275597906097806,0.101016215124015,0,0,0.0453372230251661,0.140063039579613,0.0941516457205991,0.0518785056536259,0,0,0,0.0584354655455153,0.00756867247211285,0,0.001,0.456901720302772,0.888789038125796
"X070ACB635E8C1916954F9FBCFB11E0B0",0.00568307925871473,0.270268584429692,0.0209262991148624,0,0.0332194316224791,0.0932478864179125,0.112982359347537,0.0150624326045043,0,0,0.00543226106765472,0,0.241003007433294,0.0265266486573234,0.010864000700588,0.0700507116705732,0.0171229621787138,0.00337624628953306,0,0.0694211368321144,0.00481295237450362,0,0.013,0.25082392406971,0.977136358004954
"X07CB5444371128106E7B3500746ADD04",0.000755207662772687,0,0.0252094564725528,0.0297736139658384,0,0.170854725413656,0.0914885969644675,0.011795450868148,0,0.046210652542449,0,0.036167398780195,0.00499543945554596,0.104523327325143,0.0755788051630413,0.0597394884844421,0.00953654154313316,0,0,0.264654571148941,0.0612824274923208,0.00743429671735302,0.001,0.413759954241047,0.917228504287129
"X086017DFE41A8F4141F1781336E0C2B8",0.00964433692924287,0,0.0223478363398359,0,0.0471884800258045,0.263500367066524,0.00433873420778776,0.0379180009932864,0,0.175347946826844,0,0.0585466339868529,0.075040599637476,0.0330612881948079,0.0191420296983089,0.122659939566444,0.00279545018047584,0,0,0.128468356346308,0,0,0.408,0.0296802175210901,1.10649094855504
"X09A005E5F2D2AD18E99CDF6212BC805A",0.0659055432902438,0,0.0769135053358598,0,0.073276200226684,0.253729717570394,0,0,0.000301297675873378,0.154826308045413,0,0,0.046225616497186,0,0,0.204973953563821,0,0.0065203604775524,0,0.0392105423628484,0.0781169549541253,0,0.531,0.0126224047977542,1.08397750207297
"X0AB2B89FAACB27E0139A2EB082F2D73C",0.0658820622310496,0,0.0892747366548626,0.0416604580343269,0,0.0515621621849368,0.126282353277962,0.0464361269097311,0,0.0930837571108143,0,0.0481582576750152,0.031138222168682,0.0154923869670018,0.228602691442244,0.117055205789747,0.0128013145822934,0,0,0.0270657757558788,0.00550448921545508,0,0.001,0.418752400597392,0.914793811040929
"X0AED714504A80F2A6C1843C65FCDF86A",0.00174465501400635,0.210060797941599,0.0505798919645267,0.0283775544028304,0,0.16685884215352,0.121379970046347,0.0162888531017495,0,0.0927338962085128,0,0.025047041916444,0.0284686977528095,0.0435630700682199,0.101532428766764,0.0510412928016905,0.00931612631766359,0,0,0.0434078097310617,0.00959907181225597,0,0.001,0.434928940816604,0.89954888241664
