"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"X190511_59F",0.140043587992995,0,0.0687337760857096,0.010886715945578,0,0.313980234604314,0,0.0508667917910846,0,0,0.0755624734776479,0,0.0868358611093696,0,0.0355188473070683,0.148175004677967,0,0.0266934932571924,0,0.0427032137510731,0,0,0.329,0.0810799280332974,1.04755963580703
"X190511_83F",0.0820826376603503,0.0376460477734959,0.0540712915249592,0.0681082317984507,0.12447858252044,0.0905478859543705,0,0.0547218514874445,0,0,0.13925576812674,0,0.0818260828544963,0.0183337919888389,0.0125722560614676,0.0907694749333201,0.0662272039422473,0,0,0.0793584225613028,4.70812076354924e-07,0,0.013,0.200773498097177,1.00170129568203
"X190511_69F",0.00948673983353447,0.102993620265834,0.0501285307590615,0.0247892831008238,0.0051686828018072,0.0528370528030522,0,0.0918697422510833,0,0.0200011209957254,0,0.0252233653085446,0.0159754507759484,0.240752817431851,0,0.163200172149747,0.0942295427939417,0.0412307911932305,0,0.0621130875358149,0,0,0.033,0.174182029370502,1.02152499965674
"X190511_52F",0.0151465433713218,0.0514482804057249,0.0138780424731903,0.0636118151432242,0,0.0446238245562988,0,0.142571600307645,0.0136089477789018,0,0,0.0234977721068989,0.0732277923481034,0.219276722597019,0.0394875280018802,0.226660667761357,0.0377302945982602,0,0,0.0331646702295028,0.00206549832067217,0,0.004,0.233007050130792,0.997735342111456
"X190511_30F",0.0211695325127267,0,0,0.132934785438954,0.00138154225097512,0.199671646227661,0.0284261335715274,0.0509123689967373,0,0,0.0661995410823375,0,0.0597651979344494,0,0.0722227100129775,0.201127702688099,0.0400142943009433,0,0.0403932006151537,0.0286543934809773,0.0571269508864813,0,0.166,0.105644086242939,1.04338078624659
"X190511_39F",0.0401129442446356,0,0,0,0.0105048104826447,0.183362963231512,0,0.100635712904452,0,0,0.0198695693526477,0.0315048175206661,0.105854834448319,0.114167183197262,0.0466261891041326,0.282985209589042,0.0410763064453619,0.00335709237074583,0.000746429685132553,0,0.0191959374234464,0,0,0.313018424645947,0.958117594780435
"X190511_65F",0.0161772616554545,0.0238048780139186,0.0912832995395912,0.245926902442541,0,0,0.0476786436934732,0.0930518206555726,0,0.00689696956917504,0,0.02251098134104,0.0356920445642441,0.0245411262539075,0.0604304414690009,0.25699162144472,0.0221846233215415,0,0,0.0490032522107415,0.00382613382507772,0,0,0.377540773786323,0.92580167499035
"X190511_11F",0.157841310762139,0,0.119711583573106,0.202356405427902,0,0.000609813104773633,0.0514612424992075,0.100034513228345,0.0445266859259285,0,0.0106965373476408,0.0311830401064002,0.0281961203291957,0,0.0347248393166167,0,0.00716760013469812,0.0583754882312181,0.038866405065716,0.0187137176203427,0,0.0955346973267705,0.993,-0.0539975289667117,1.10177668665525
"X190511_76F",0.189908582191843,0,0.0593362511241435,0,0,0.154011463201007,0,0.120675733817444,0,0,0.0390449309894355,0.0356792243662015,0.0637419004395862,0.0905142590716011,0.027103150289074,0.165623904224372,0.01300905814244,0,0,0.0305468888803541,0.0108046532624981,0,0.569,0.0504253559020613,1.05735498826349
"X190511_25F",0.104435192118037,0,0,0,0.0723191161269604,0.151231618135932,0,0.104438244484148,0,0.0119822712857783,0.00206744949217905,0,0.0419233413820947,0.115265756210585,0.00229330985852679,0.211906458596793,0,0.0378658354402709,0.0798703015484523,0.0644011053202423,0,0,0.247,0.0941642265232703,1.04734805341325
"X190511_86F",0.146759802272039,0,0,0.0922351764719994,0,0.247054325241704,0,0.0486590454168454,0.0179591543960293,0,0.000573873345003282,0.0126448484985843,0.0522894266888064,0,0.0636517981086223,0.159613546536363,0.110901872101222,0,0,0.0476571309227823,0,0,0.024,0.179441581758781,1.01147836381388
"X190511_38F",0,0.148804201880625,0.0366392007689945,0.000466206234455883,0,0.28507406673937,0.019949068348821,0,0,0,0.0561717370980423,0,0.0284045219557008,0.110738629098319,0.0490316998170223,0.0974311887757748,0.140492294153038,0,0.0267971851298359,0,0,0,0.037,0.167564424816891,1.01002467282128
"X190511_81F",0.0617052988562575,0,0,0.13798862073656,0,0.207184334689449,0,0.0842510187487222,0,0,0,0,0.0152470907265017,0.15275543981077,0.0210045300577293,0.232168109372561,0,0,0,0.0843818720602615,0.00331368494118688,0,0.209,0.099156818599178,1.05797405123497
