"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"SU2CLC_CLE_NIVO10",0.0368285540803791,0,0.00131960393931712,0.0235523440568038,0,0,0,0.0382935431816642,0.003936657700712,0.000713267797466784,0,0.0255794024903839,0,0.437814007742548,0.0152839183513138,0.375033050087232,0,0,0,0.0390183937277382,0.0017213419741337,0.000905914870307439,0,0.692866549222196,0.721270572068704
"SU2CLC_CLE_NIVO18",0,0,0.120412116197012,0.0576631483604288,0,0.2739178264588,0.00468315363582529,0.0227448169216457,0,0,0,0,0.00842885616950052,0.20299905213526,0.022902467972891,0.264570358171867,0,0.00835005186117922,0,0.01332815211559,0,0,0.002,0.394339585530738,0.921682901462081
"SU2CLC_CLE_NIVO19",0,0.124123475209008,0.0782935351477587,0.0896083379390202,0,0,0.0254665278208805,0.0678589839407307,0,0,0,0.0207791176363678,0,0.118097662522886,0.0617731531245951,0.231434262117199,0.00428740882763222,0.0973326119201395,0,0.0809449237937827,0,0,0.00900000000000001,0.259583103066514,0.977889971248288
"SU2CLC_CLE_NIVO2",0,0.0155873520437402,0.211624780121924,0.110849634182242,0,0.242580042105435,0.0321159144945161,0.0199295881448383,0,0.0387831606744733,0,0,0.00992937663255311,0.0602863073402899,0.0867796689891481,0.159410624858111,0,0,0.0121235504127284,0,0,0,0.017,0.211447910243475,0.996668858781111
"SU2CLC_CLE_NIVO20",0.00263824573024092,0,0.0373361938071855,0.502588032062924,0,0,0.0763194286926379,0.0570196195639767,0.0371893455900928,0,0,0.0898224856652898,0.0136145571079357,0,0.00836808166200239,0.136594056054281,0,0,0,0.036561085952193,0.00194886811124052,0,0.024,0.197645685072152,1.04805552077901
"SU2CLC_CLE_NIVO21",0,0,0.386368125052504,0.0986609231882629,0.115789068145731,0,0,0,0,0,0.0545286081121402,0.0201568370217457,0.0154523379408157,0.043383947634835,0,0.066246698615395,0,0.00719857705044297,0,0.192214877238127,0,0,0.448,0.0364936373991638,1.06304752534343
"SU2CLC_CLE_NIVO24",0.0061191531417091,0.164282379757282,0,0.0482979506959026,0.0949910825547279,0,0.122744402914819,0,0,0,0.118816784864845,0,0.0470800651116575,0.0654410333324473,0,0.256438020685195,0.00758558189024508,0,0,0,0,0.0682035450511697,0.107,0.118703926587514,1.03858918099484
"SU2CLC_CLE_NIVO3",0.134801943160313,0,0.0165898992014234,0.0362326364910756,0,0.122969132086704,0,0.0499743396729469,0.0745692712610069,0,0.073690192441136,0.0610605949134376,0.0101109895467896,0.0689488752162572,0.0232719100098741,0.28857381854469,0,0,0,0.0392063974543454,0,0,0.695,0.00725142388115577,1.08907209440421
"SU2CLC_CLE_NIVO31",0,0.000351151269607533,0,0.410066315593911,0,0.0609631108327934,0,0,0,0,0.173795146358946,0,0.125365355320014,0.212815497607235,0.00404297747306451,0,0,0,0.0126004455444283,0,0,0,0.085,0.131064636373993,1.08759286720264
"SU2CLC_CLE_NIVO5",0.057926090361179,0.0798255577006364,0.0333301206771189,0.165329896317229,0,0.121559304793879,0,0.124802090809792,0,0,0,0.0412524040199579,0.0156869148355287,0.0382246615428337,0.114302970974069,0.207759987967777,0,0,0,0,0,0,0.002,0.392930744410968,0.920935029345884
