"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Ravi__Lung__PD-(L)1",-0.037,0.141,125,0.794962168483581,"Lung","PD-(L)1",0.964140302916281
"HR1","OS","B_cells_memory","ICB_Ravi__Lung__PD-(L)1",-0.296,0.182,125,0.103222947669289,"Lung","PD-(L)1",0.395598157320976
"HR2","OS","Plasma_cells","ICB_Ravi__Lung__PD-(L)1",-0.025,0.147,125,0.865772102351921,"Lung","PD-(L)1",0.964140302916281
"HR3","OS","T_cells_CD8","ICB_Ravi__Lung__PD-(L)1",-0.021,0.14,125,0.882197763551932,"Lung","PD-(L)1",0.964140302916281
"HR4","OS","T_cells_CD4_naive","ICB_Ravi__Lung__PD-(L)1",0.093,0.099,125,0.349696894667643,"Lung","PD-(L)1",0.769333168268815
"HR5","OS","T_cells_CD4_memory_resting","ICB_Ravi__Lung__PD-(L)1",-0.038,0.122,125,0.758664227938818,"Lung","PD-(L)1",0.964140302916281
"HR6","OS","T_cells_CD4_memory_activated","ICB_Ravi__Lung__PD-(L)1",-0.162,0.156,125,0.298328481739635,"Lung","PD-(L)1",0.74300566981855
"HR7","OS","T_cells_follicular_helper","ICB_Ravi__Lung__PD-(L)1",-0.304,0.137,125,0.0268840904398016,"Lung","PD-(L)1",0.197149996558545
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Ravi__Lung__PD-(L)1",-0.099,0.129,125,0.444137021968057,"Lung","PD-(L)1",0.888274043936115
"HR9","OS","T_cells_gamma_delta","ICB_Ravi__Lung__PD-(L)1",0.023,0.118,125,0.844235438346538,"Lung","PD-(L)1",0.964140302916281
"HR10","OS","NK_cells_resting","ICB_Ravi__Lung__PD-(L)1",0.195,0.121,125,0.107890406542084,"Lung","PD-(L)1",0.395598157320976
"HR11","OS","NK_cells_activated","ICB_Ravi__Lung__PD-(L)1",-0.173,0.148,125,0.241130427481097,"Lung","PD-(L)1",0.74300566981855
"HR12","OS","Monocytes","ICB_Ravi__Lung__PD-(L)1",0.032,0.102,125,0.752490840827278,"Lung","PD-(L)1",0.964140302916281
"HR13","OS","Macrophages_M0","ICB_Ravi__Lung__PD-(L)1",0.055,0.124,125,0.654917485045514,"Lung","PD-(L)1",0.964140302916281
"HR14","OS","Macrophages_M1","ICB_Ravi__Lung__PD-(L)1",0.053,0.117,125,0.651793924846509,"Lung","PD-(L)1",0.964140302916281
"HR15","OS","Macrophages_M2","ICB_Ravi__Lung__PD-(L)1",0,0.129,125,0.998329218088065,"Lung","PD-(L)1",0.998329218088065
"HR16","OS","Dendritic_cells_resting","ICB_Ravi__Lung__PD-(L)1",-0.275,0.159,125,0.0838837827984826,"Lung","PD-(L)1",0.395598157320976
"HR17","OS","Dendritic_cells_activated","ICB_Ravi__Lung__PD-(L)1",-0.013,0.129,125,0.920315743692813,"Lung","PD-(L)1",0.964140302916281
"HR18","OS","Mast_cells_resting","ICB_Ravi__Lung__PD-(L)1",-0.04,0.14,125,0.773010203078454,"Lung","PD-(L)1",0.964140302916281
"HR19","OS","Mast_cells_activated","ICB_Ravi__Lung__PD-(L)1",0.293,0.098,125,0.00290691659790171,"Lung","PD-(L)1",0.0319760825769188
"HR20","OS","Eosinophils","ICB_Ravi__Lung__PD-(L)1",0.128,0.124,125,0.303956864925771,"Lung","PD-(L)1",0.74300566981855
"HR21","OS","Neutrophils","ICB_Ravi__Lung__PD-(L)1",0.309,0.093,125,0.000935554151155963,"Lung","PD-(L)1",0.0205821913254312
