"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Ravi__Lung__PD-(L)1",-0.097,0.121,118,0.423417981823505,"Lung","PD-(L)1",0.748866780730792
"HR1","PFS","B_cells_memory","ICB_Ravi__Lung__PD-(L)1",-0.14,0.125,118,0.262894836150303,"Lung","PD-(L)1",0.731621949268481
"HR2","PFS","Plasma_cells","ICB_Ravi__Lung__PD-(L)1",-0.096,0.135,118,0.476551587737777,"Lung","PD-(L)1",0.748866780730792
"HR3","PFS","T_cells_CD8","ICB_Ravi__Lung__PD-(L)1",0.001,0.105,118,0.995369664087082,"Lung","PD-(L)1",0.995369664087082
"HR4","PFS","T_cells_CD4_naive","ICB_Ravi__Lung__PD-(L)1",0.043,0.142,118,0.759232523147381,"Lung","PD-(L)1",0.937140271338759
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Ravi__Lung__PD-(L)1",-0.112,0.108,118,0.299299888337106,"Lung","PD-(L)1",0.731621949268481
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Ravi__Lung__PD-(L)1",-0.129,0.113,118,0.252757199082488,"Lung","PD-(L)1",0.731621949268481
"HR7","PFS","T_cells_follicular_helper","ICB_Ravi__Lung__PD-(L)1",-0.017,0.106,118,0.870967743207713,"Lung","PD-(L)1",0.957983272117456
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Ravi__Lung__PD-(L)1",-0.139,0.114,118,0.222182623531485,"Lung","PD-(L)1",0.731621949268481
"HR9","PFS","T_cells_gamma_delta","ICB_Ravi__Lung__PD-(L)1",0.087,0.121,118,0.472483389820096,"Lung","PD-(L)1",0.748866780730792
"HR10","PFS","NK_cells_resting","ICB_Ravi__Lung__PD-(L)1",0.09,0.114,118,0.430570480173876,"Lung","PD-(L)1",0.748866780730792
"HR11","PFS","NK_cells_activated","ICB_Ravi__Lung__PD-(L)1",-0.144,0.11,118,0.191275859980854,"Lung","PD-(L)1",0.731621949268481
"HR12","PFS","Monocytes","ICB_Ravi__Lung__PD-(L)1",-0.033,0.101,118,0.746967782475454,"Lung","PD-(L)1",0.937140271338759
"HR13","PFS","Macrophages_M0","ICB_Ravi__Lung__PD-(L)1",0.154,0.101,118,0.126736579784614,"Lung","PD-(L)1",0.731621949268481
"HR14","PFS","Macrophages_M1","ICB_Ravi__Lung__PD-(L)1",0.011,0.099,118,0.914438577930299,"Lung","PD-(L)1",0.957983272117456
"HR15","PFS","Macrophages_M2","ICB_Ravi__Lung__PD-(L)1",0.121,0.114,118,0.288425393023181,"Lung","PD-(L)1",0.731621949268481
"HR16","PFS","Dendritic_cells_resting","ICB_Ravi__Lung__PD-(L)1",-0.1,0.119,118,0.404004331971452,"Lung","PD-(L)1",0.748866780730792
"HR17","PFS","Dendritic_cells_activated","ICB_Ravi__Lung__PD-(L)1",0.016,0.119,118,0.891700942822787,"Lung","PD-(L)1",0.957983272117456
"HR18","PFS","Mast_cells_resting","ICB_Ravi__Lung__PD-(L)1",-0.036,0.108,118,0.736686995415272,"Lung","PD-(L)1",0.937140271338759
"HR19","PFS","Mast_cells_activated","ICB_Ravi__Lung__PD-(L)1",0.137,0.098,118,0.162711598546998,"Lung","PD-(L)1",0.731621949268481
"HR20","PFS","Eosinophils","ICB_Ravi__Lung__PD-(L)1",-0.032,0.107,118,0.766751131095348,"Lung","PD-(L)1",0.937140271338759
"HR21","PFS","Neutrophils","ICB_Ravi__Lung__PD-(L)1",0.188,0.102,118,0.0656495587833272,"Lung","PD-(L)1",0.731621949268481
