"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"EA_e673af5463",0,0,0.0481724727613012,0.0709271389197033,0,0.0896764200271686,0.0604327883430097,0.0198341645215414,0,0.00972144689363723,0,0.17695498347174,0,0.0804962358474853,0.0768914957870981,0.166060927536668,0,0,0,0.127685558035692,0.00710216077064456,0.0660442070843117,0.012,0.289314055557895,0.986317717257709
"EA_dac81ad023",0.114967178995415,0,0.0631199441666851,0,0,0.103270887387838,0.15601839681899,0.0549618507113572,0,0,0,0.0145635812353773,0.020283471318957,0.177785503759781,0.0167589464479198,0.153255498545016,0,0,0,0.0678029339597772,0.0343634245337477,0.0228483821191392,0.316,0.0607041906459695,1.05466815856186
"EA_0ed12cf5b1",0.0441136459378525,0.0135770544949885,0.116360447186494,0.0204725067384478,0,0.15411412139581,0.0198697743668375,0.088161475464148,0.00128182523966793,0.0606824044501681,0,0.0158279162468725,0.0126749378785877,0.137689421191285,0.0433253531497249,0.121482836440019,0.00258041669935104,0.0119613529050988,0,0.101261866119002,0.0319412775825055,0.00262136651313994,0.032,0.20267480051293,0.998040520673204
"EA_532141db56",0.0431085017058231,0,0.0732644539285898,0.0200367934125893,0,0.196711937254864,0.0561444450835155,0.0677353453422719,0,0,0,0.0539528379703465,0.0187494425712648,0,0,0.264150858201858,0.0783499340618953,0.0514400446202079,0,0.0343892404795906,0.0366626941947632,0.00530347117242033,0.0600000000000001,0.159223982125139,1.01332164212282
"EA_98c2ccc42c",0.0150438235138508,0,0.0447282021345687,0.120036059639971,0,0.0338944494849988,0.0067447814854121,0.0540113827381691,0,0.000127153342115072,0,0.0754088495528951,0.0323745920708634,0.1156639965664,0.0506300492129783,0.376958230352181,0.0414903364755704,0,0.014426469568015,0,0.0184616238620107,0,0.003,0.346741264963483,0.945388784563539
"EA_a0d4b694fb",0.126996998707459,0.134612146433863,0.0575624969604312,0,0.0747123045336776,0.0399967679122546,0.0606380230575909,0.0332033685618411,0,0,0.0397021501806517,0,0,0.27057861633046,0.0377388736580911,0.110676691912603,0,0,0,0.0135815617510756,0,0,0,0.624335342505583,0.802362711626755
"EA_315c5e432a",0.064832834895652,0,0.00598133927538905,0,0,0.0962305305140114,0,0.0227527411700955,0.028116862879711,0,0,0.00953465371221241,0,0.401869423259163,0.0263431733642518,0.300854651947698,0.00109685355445406,0,0,0.0134950343795313,0.0035131693321314,0.0253787317156999,0.012,0.281800820754488,1.01088091255673
"EA_eb9923dd6c",0.00704922395866816,0.00675436062289536,0.0790490481746236,0.00357359019551469,0,0.0912253802827485,0.0125750976309068,0.0633528904342245,0,0.0654542725018776,0,0.0991431510485545,0,0.215084729181162,0.114757127773132,0.169140765984278,0.0259900405544235,0,0,0.0468503216569913,0,0,0,0.509727932727004,0.859712642009564
"EA_0a32b10266",0,0,0.00146655836267726,0.0529255539307358,0,0.171253043920961,0.0854376464631952,0.0150501208352187,0,0.0362174332233521,0,0.0278775027723218,0.0181626427715257,0.0511474214357709,0.102539930826096,0.324319239233642,0.0879636919603801,0,0,0.0248532617298272,0,0.000785952534296125,0.001,0.414118034721211,0.910475302558645
"EA_44b121568a",0.0992895343813186,0.249842343457411,0.0374200258178431,0.0126121356197447,0.089298674021072,0.244731458073745,0.0506198202729933,0,0,0.00634426781592809,0.00186685252800091,0,0,0.0823952131227578,0.0308974887019693,0.0902890762201695,0.000288597742734999,0.00335077423914593,0,0,0.000753737985166314,0,0,0.579080849680614,0.826444407307651
"EA_4777220b55",0,0,0,0.00311662824802476,0,0.184258322696341,0.000189708106457379,0.0321808963593202,0,0,0,0.0398214242170167,0.0331952522548199,0.0638764469399584,0.0858965769522606,0.369131519327184,0.176880359287267,0,0,0.00439458055574075,0,0.00705828505560911,0.052,0.172399686464425,1.03368028786538
"EA_9a4b749eaf",0,0,0.17432395472323,0.0222388376611418,0,0.0814874360661344,0.0645116309099105,0.00200924874523812,0,0.0302664419806609,0,0.0112675802817527,0,0.0819083951213765,0.068697628525491,0.24664130719349,0.0247758281496412,0,0,0.177824381702664,0.00592847915657549,0.00811884978269422,0.001,0.411680682607908,0.911209342567783
"EA_3e3fc66b5f",0.190083084889596,0.0593294967697013,0.0559015909767015,0.0741255007282014,0.109618492052655,0.158660223038485,0.0560523557282814,0,0,0,0.0218801359323023,0.00591128001226394,0.00346105839946909,0.0646417833410547,0.0370765907507131,0.161700217968157,0,0,0.00155818941241858,0,0,0,0,0.5488426375319,0.845059838935038
"EA_f07cfba7fb",0,0,0.210344784220413,0.00164507371609559,0.00188482638908908,0.0531800220375894,0.0501224407201564,0,0,0,0,0.0188172149919545,0.00460305999277964,0.138344741362138,0,0.339194229726141,0,0.125477473891227,0,0.0296781326921317,0.0149355704136198,0.0117724298466637,0,0.529004554095237,0.852265769172777
"EA_ada5a8fa2b",0.00362387440468818,0.116092246013006,0.0822219031633854,0.00889264731578866,0,0.0871305220332904,0,0.103636169864841,0.0158406965285925,0.0298279798823526,0,0.10033829910769,0,0.0368329450342931,0.181890400382038,0.213315998325304,0.00390210221374785,0.00195723633674218,0,0.0144969793942399,0,0,0.014,0.243206448015322,0.998993066324043
"EA_c6ae1d4ac9",0,0.0146974493552189,0.124171751885978,0.0233130841863779,0,0.285393653743217,0.0522423039183409,0,0,0,0,0.0182666887075795,0.00413680932492698,0.039977406362974,0.0426385753288897,0.356637723666569,0.0167318973178147,0.0208659127271808,3.54519228409509e-05,0,0,0.000891291552092468,0,0.500375420578762,0.869298204511419
"EA_dc95d4320d",0,0,0.0132347374031751,0,0,0.376567102659673,0.0424068376622837,0,0,0,0.0948221613193754,0,0.060278858383165,0.112014236357926,0.00894204779556342,0.00278274311429594,0.0741969662487184,0.0186652002713967,0.196089108784428,0,0,0,0.831,-0.00705825805003371,1.09028310809627
