"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Rittmeyer__Lung__PD-(L)1",-0.011,0.068,344,0.876301246395962,"Lung","PD-(L)1",0.948733509126039
"HR1","OS","B_cells_memory","ICB_Rittmeyer__Lung__PD-(L)1",-0.088,0.068,344,0.196307978548279,"Lung","PD-(L)1",0.540880507949449
"HR2","OS","Plasma_cells","ICB_Rittmeyer__Lung__PD-(L)1",-0.161,0.07,344,0.0209997845141066,"Lung","PD-(L)1",0.205116554737936
"HR3","OS","T_cells_CD8","ICB_Rittmeyer__Lung__PD-(L)1",-0.093,0.069,344,0.177026589901774,"Lung","PD-(L)1",0.540880507949449
"HR4","OS","T_cells_CD4_naive","ICB_Rittmeyer__Lung__PD-(L)1",0.025,0.056,344,0.650426964913926,"Lung","PD-(L)1",0.948733509126039
"HR5","OS","T_cells_CD4_memory_resting","ICB_Rittmeyer__Lung__PD-(L)1",-0.025,0.063,344,0.691953415266546,"Lung","PD-(L)1",0.948733509126039
"HR6","OS","T_cells_CD4_memory_activated","ICB_Rittmeyer__Lung__PD-(L)1",-0.016,0.066,344,0.81207075281483,"Lung","PD-(L)1",0.948733509126039
"HR7","OS","T_cells_follicular_helper","ICB_Rittmeyer__Lung__PD-(L)1",-0.131,0.069,344,0.0565275018452294,"Lung","PD-(L)1",0.310901260148762
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Rittmeyer__Lung__PD-(L)1",0.006,0.063,344,0.923094802303207,"Lung","PD-(L)1",0.948733509126039
"HR9","OS","T_cells_gamma_delta","ICB_Rittmeyer__Lung__PD-(L)1",-0.103,0.08,344,0.19921625667249,"Lung","PD-(L)1",0.540880507949449
"HR10","OS","NK_cells_resting","ICB_Rittmeyer__Lung__PD-(L)1",0.068,0.056,344,0.221269298706593,"Lung","PD-(L)1",0.540880507949449
"HR11","OS","NK_cells_activated","ICB_Rittmeyer__Lung__PD-(L)1",0.004,0.068,344,0.948733509126039,"Lung","PD-(L)1",0.948733509126039
"HR12","OS","Monocytes","ICB_Rittmeyer__Lung__PD-(L)1",0.055,0.071,344,0.442521209192444,"Lung","PD-(L)1",0.763903813205572
"HR13","OS","Macrophages_M0","ICB_Rittmeyer__Lung__PD-(L)1",0.15,0.062,344,0.0158346725644703,"Lung","PD-(L)1",0.205116554737936
"HR14","OS","Macrophages_M1","ICB_Rittmeyer__Lung__PD-(L)1",-0.046,0.065,344,0.481149917750879,"Lung","PD-(L)1",0.763903813205572
"HR15","OS","Macrophages_M2","ICB_Rittmeyer__Lung__PD-(L)1",0.144,0.065,344,0.0279704392824458,"Lung","PD-(L)1",0.205116554737936
"HR16","OS","Dendritic_cells_resting","ICB_Rittmeyer__Lung__PD-(L)1",-0.091,0.07,344,0.194990334332926,"Lung","PD-(L)1",0.540880507949449
"HR17","OS","Dendritic_cells_activated","ICB_Rittmeyer__Lung__PD-(L)1",0.051,0.068,344,0.455957746516857,"Lung","PD-(L)1",0.763903813205572
"HR18","OS","Mast_cells_resting","ICB_Rittmeyer__Lung__PD-(L)1",-0.062,0.07,344,0.374301207853848,"Lung","PD-(L)1",0.763903813205572
"HR19","OS","Mast_cells_activated","ICB_Rittmeyer__Lung__PD-(L)1",0.044,0.063,344,0.486120608403546,"Lung","PD-(L)1",0.763903813205572
"HR20","OS","Eosinophils","ICB_Rittmeyer__Lung__PD-(L)1",0.007,0.064,344,0.918082566486578,"Lung","PD-(L)1",0.948733509126039
"HR21","OS","Neutrophils","ICB_Rittmeyer__Lung__PD-(L)1",0.005,0.059,344,0.929030298404344,"Lung","PD-(L)1",0.948733509126039
