"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P6428",0.135004974385802,0,0.00244607933934563,0.0231120184401539,0.1353465390705,0,0,0.0313068222394829,0.168030303594427,0,0.0417161020834324,0,0.0177394072563834,0,0.00905030179621178,0,0.127207452644111,0,0,0.291389188918832,0.0176508102313172,0,0.396,0.044224267057367,1.09931734354982
"P5037",0.124713128609249,0,0.00198644557028358,0,0.616636759358256,0,0,0.0108241566337498,0.04759411147088,0,0.042586109617643,0.0558348209825832,0.0294027989379444,0.0101923163430436,0.00239067816138106,0,0.0197527418712483,0,0,0.0178188611873386,0.0202670712563993,0,0.725,0.00147186235435873,1.16233334840084
"P3529",0,0.0539109241166676,0,0,0,0.309465056293983,0,0,0.0242199229854423,0,0.232957441706267,0,0.0140825895612286,0,0.0163728361006515,0,0.071347903525377,0,0,0.251291664060058,0.0263516616503245,0,0.675,0.00751809391827354,1.1395974692945
"P7577",0.0419651805782901,0,0.00385401360404525,0.13247414686426,0,0.0977436534148373,0,0.110162098332262,0.153606769162491,0,0.0785028005763717,0,0.0267085557323104,0.0843285271287553,0.0125901170396525,0,0.111611954086923,0,0,0.125009456142303,0.0214427273374985,0,0.185,0.0881864433649196,1.0606583808618
"P9881",0.0409426410607911,0,0,0.0411974820517738,0.242330431647923,0,0,0.0220697141397741,0.186132297425513,0,0.049986700359799,0.00769221026671702,0.0283339102346153,0.126065847591067,0.00390469018109273,0.013809193407258,0,0,0,0.165005773282011,0.0725291083516658,0,0.234,0.0738669413354575,1.07681700834455
"P9517",0.00938419787590688,0,0,0,0.107912601691496,0.276445420357651,0,0.0574159550817732,0,0,0.261654664195354,0,0.013949592635915,0,0.00122290030040974,0,0.11596158832022,0,0,0.0997449091311415,0.0563081704101324,0,0.978,-0.0437505696479966,1.15291965982721
"P8728",0.00285552246880409,0.0523547459219167,0,0,0,0.273221447093219,0,0,0.0272130675994536,0,0.250194569812976,0,0.0170709264675991,0,0.021914205266593,0.0276912078712969,0.052795403863809,0,0,0.26753740861152,0.00523762787003817,0.00191386715277454,0.483,0.0327295287750862,1.13356216755639
"P6800",0.0925911463402257,0,0,0,0.122179486930927,0.21654220818556,0,0.0123115802003218,0,0,0.280404772545938,0,0.0192572775348203,0,0.0777560804194958,0,0.0607394742604575,0,0,0.0923703978726122,0.0258475757096421,0,0.842,-0.0109798354547348,1.13822189716832
"P1249",0.0140221365585027,0,0,0,0,0.23353119521971,0,0.0376741486594758,0.0467713488377822,0,0.261768747595562,0,0,0.00188115333951782,0.0264792768651919,0,0.235370244484698,0,0,0.12825499537166,0.00314755645653808,0.0110991966113625,0.98,-0.0446531999315918,1.13974426261039
"P0471",0.0685682509620132,0,0,0,0.0684238617976494,0.0219975172062709,0,0.129214296352597,0.314004193962435,0,0.0244199356538538,0,0.03854511624725,0,0.0050402705881701,0,0.0741606342281536,0,0,0.23992203731482,0.0157038856867883,0,0.611,0.0166051932992913,1.1141134277605
