"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Snyder__Ureteral__PD-(L)1",-0.237,0.278,25,0.394225431386822,"Ureteral","PD-(L)1",0.898259289708709
"HR1","OS","B_cells_memory","ICB_Snyder__Ureteral__PD-(L)1",-0.147,0.27,25,0.584935433338194,"Ureteral","PD-(L)1",0.898259289708709
"HR2","OS","Plasma_cells","ICB_Snyder__Ureteral__PD-(L)1",-0.169,0.261,25,0.517372920243792,"Ureteral","PD-(L)1",0.898259289708709
"HR3","OS","T_cells_CD8","ICB_Snyder__Ureteral__PD-(L)1",0.136,0.207,25,0.510197248956687,"Ureteral","PD-(L)1",0.898259289708709
"HR4","OS","T_cells_CD4_naive","ICB_Snyder__Ureteral__PD-(L)1",-0.47,0.353,25,0.182748165156079,"Ureteral","PD-(L)1",0.898259289708709
"HR5","OS","T_cells_CD4_memory_resting","ICB_Snyder__Ureteral__PD-(L)1",0.114,0.258,25,0.65876012971581,"Ureteral","PD-(L)1",0.898259289708709
"HR6","OS","T_cells_follicular_helper","ICB_Snyder__Ureteral__PD-(L)1",0.313,0.219,25,0.15321468747801,"Ureteral","PD-(L)1",0.898259289708709
"HR7","OS","T_cells_regulatory_.Tregs.","ICB_Snyder__Ureteral__PD-(L)1",0.565,0.242,25,0.0195797847664869,"Ureteral","PD-(L)1",0.391595695329738
"HR8","OS","T_cells_gamma_delta","ICB_Snyder__Ureteral__PD-(L)1",-0.08,0.264,25,0.763520396252402,"Ureteral","PD-(L)1",0.898259289708709
"HR9","OS","NK_cells_resting","ICB_Snyder__Ureteral__PD-(L)1",-0.124,0.239,25,0.605980459211064,"Ureteral","PD-(L)1",0.898259289708709
"HR10","OS","NK_cells_activated","ICB_Snyder__Ureteral__PD-(L)1",-0.115,0.259,25,0.655501254524058,"Ureteral","PD-(L)1",0.898259289708709
"HR11","OS","Monocytes","ICB_Snyder__Ureteral__PD-(L)1",0.091,0.266,25,0.730763738626564,"Ureteral","PD-(L)1",0.898259289708709
"HR12","OS","Macrophages_M0","ICB_Snyder__Ureteral__PD-(L)1",-0.05,0.234,25,0.829767441039625,"Ureteral","PD-(L)1",0.921963823377361
"HR13","OS","Macrophages_M1","ICB_Snyder__Ureteral__PD-(L)1",-0.339,0.268,25,0.206985360175084,"Ureteral","PD-(L)1",0.898259289708709
"HR14","OS","Macrophages_M2","ICB_Snyder__Ureteral__PD-(L)1",-0.016,0.231,25,0.945829647049624,"Ureteral","PD-(L)1",0.945829647049624
"HR15","OS","Dendritic_cells_resting","ICB_Snyder__Ureteral__PD-(L)1",0.197,0.258,25,0.444854834316207,"Ureteral","PD-(L)1",0.898259289708709
"HR16","OS","Mast_cells_resting","ICB_Snyder__Ureteral__PD-(L)1",-0.694,0.99,25,0.483103241742275,"Ureteral","PD-(L)1",0.898259289708709
"HR17","OS","Mast_cells_activated","ICB_Snyder__Ureteral__PD-(L)1",0.221,0.222,25,0.318201797065871,"Ureteral","PD-(L)1",0.898259289708709
"HR18","OS","Eosinophils","ICB_Snyder__Ureteral__PD-(L)1",0.097,0.245,25,0.692399816849078,"Ureteral","PD-(L)1",0.898259289708709
"HR19","OS","Neutrophils","ICB_Snyder__Ureteral__PD-(L)1",-0.02,0.208,25,0.922768484739211,"Ureteral","PD-(L)1",0.945829647049624
