"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Snyder__Ureteral__PD-(L)1",-0.265,0.265,25,0.317794463576882,"Ureteral","PD-(L)1",0.929919909213871
"HR1","PFS","B_cells_memory","ICB_Snyder__Ureteral__PD-(L)1",-0.113,0.234,25,0.627349648258686,"Ureteral","PD-(L)1",0.939085348771721
"HR2","PFS","Plasma_cells","ICB_Snyder__Ureteral__PD-(L)1",-0.116,0.225,25,0.606858127933625,"Ureteral","PD-(L)1",0.939085348771721
"HR3","PFS","T_cells_CD8","ICB_Snyder__Ureteral__PD-(L)1",0.062,0.201,25,0.75965409234515,"Ureteral","PD-(L)1",0.939085348771721
"HR4","PFS","T_cells_CD4_naive","ICB_Snyder__Ureteral__PD-(L)1",-0.521,0.341,25,0.126930353047504,"Ureteral","PD-(L)1",0.664733741022582
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Snyder__Ureteral__PD-(L)1",0.162,0.246,25,0.511455950067629,"Ureteral","PD-(L)1",0.929919909213871
"HR6","PFS","T_cells_follicular_helper","ICB_Snyder__Ureteral__PD-(L)1",0.325,0.213,25,0.127133040055321,"Ureteral","PD-(L)1",0.664733741022582
"HR7","PFS","T_cells_regulatory_.Tregs.","ICB_Snyder__Ureteral__PD-(L)1",0.54,0.251,25,0.0317095167305631,"Ureteral","PD-(L)1",0.634190334611263
"HR8","PFS","T_cells_gamma_delta","ICB_Snyder__Ureteral__PD-(L)1",-0.004,0.285,25,0.989947566843007,"Ureteral","PD-(L)1",0.989947566843007
"HR9","PFS","NK_cells_resting","ICB_Snyder__Ureteral__PD-(L)1",-0.057,0.223,25,0.798222546455963,"Ureteral","PD-(L)1",0.939085348771721
"HR10","PFS","NK_cells_activated","ICB_Snyder__Ureteral__PD-(L)1",-0.211,0.262,25,0.420924984326186,"Ureteral","PD-(L)1",0.929919909213871
"HR11","PFS","Monocytes","ICB_Snyder__Ureteral__PD-(L)1",-0.036,0.267,25,0.894196122180746,"Ureteral","PD-(L)1",0.989947566843007
"HR12","PFS","Macrophages_M0","ICB_Snyder__Ureteral__PD-(L)1",-0.168,0.243,25,0.490298862975984,"Ureteral","PD-(L)1",0.929919909213871
"HR13","PFS","Macrophages_M1","ICB_Snyder__Ureteral__PD-(L)1",-0.227,0.251,25,0.365432239610854,"Ureteral","PD-(L)1",0.929919909213871
"HR14","PFS","Macrophages_M2","ICB_Snyder__Ureteral__PD-(L)1",-0.007,0.23,25,0.976393144924545,"Ureteral","PD-(L)1",0.989947566843007
"HR15","PFS","Dendritic_cells_resting","ICB_Snyder__Ureteral__PD-(L)1",0.393,0.262,25,0.132946748204516,"Ureteral","PD-(L)1",0.664733741022582
"HR16","PFS","Mast_cells_resting","ICB_Snyder__Ureteral__PD-(L)1",-0.625,0.773,25,0.419088987237732,"Ureteral","PD-(L)1",0.929919909213871
"HR17","PFS","Mast_cells_activated","ICB_Snyder__Ureteral__PD-(L)1",0.305,0.227,25,0.179672518741654,"Ureteral","PD-(L)1",0.718690074966618
"HR18","PFS","Eosinophils","ICB_Snyder__Ureteral__PD-(L)1",-0.094,0.235,25,0.690875824843705,"Ureteral","PD-(L)1",0.939085348771721
"HR19","PFS","Neutrophils","ICB_Snyder__Ureteral__PD-(L)1",0.07,0.211,25,0.740250019030188,"Ureteral","PD-(L)1",0.939085348771721
