"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM5033982",0.0860832073956877,0,0.0428260743746555,0,0.0316364384317732,0.052112495628531,0.0933267176965901,0,0.030062309412788,0.0486716264534522,0,0.0140669715465276,0,0,0.053138420550661,0.00073345447110283,0,0,0,0.527437572558651,0,0.01990471147958,0.096,0.636848158919861,0.756606793793166
"GSM5033975",0.0898250693735827,0,0,0,0.0334620303240896,0.071503906569134,0.065925594372533,0,0.0166780201191493,0,0,0.100731587441603,0.0184380601045878,0,0,0,0,0.00439353794914309,0,0.447478635385393,0.151563558360784,0,0.056,0.760437456671266,0.662232628235296
"GSM5033946",0.0365765705526182,0,0.0668964238374979,0,0.0263359853423573,0.064279512557612,0.0850650007660429,0,0,0.0364643504663945,0,0.0212542423920337,0,0,0,0.143715597019378,0.0928663245868224,0,0.0645598809738531,0.124433467226727,0.237552644278663,0,0.372,0.309241254992011,0.937195818771433
"GSM5033948",0.0638400538281022,0,0.0285917052561694,0,0.0352641041734812,0.0919188038754848,0.0561553818732076,0,0.0789644449061493,0,0,0.101540783321137,0.00992558164237661,0,0.0266983829799238,0.0430053257210969,0.0167115944622654,0,0.00446379251123536,0.442920045449371,0,0,0.00600000000000001,0.940690081207749,0.448036842685442
"GSM5033951",0.0191296753364108,0,0.00938753105768966,0,0.0203358061208375,0.0220329888892003,0.0580171016250118,0.00094329778295814,0.0158503730062114,0.0284889661751857,0,0.00557404217286481,0,0,0,0.0902090109964146,0.0677729716096872,0,0.0601728987120713,0.570992077923125,0,0.0310932585923318,0.145,0.542602822090049,0.840120610241883
"GSM5033952",0.159784598136358,0,0.0240529306395421,0,0.0875088886134911,0.102928929075374,0.0836143765150449,0,0.0184230872474336,0,0,0.111579977739254,0.00984752428477995,0,0.0584606516849589,0.000640210709209724,0,0.000702964564597431,0.006666869307344,0.335788991482613,0,0,0.003,0.958892386136526,0.44605216855352
"GSM5033953",0.0480077346107891,0,0.0428737411379103,0,0.0267721997797629,0.0566888528688525,0.0858443261156359,0,0,0.0467253750185408,0,0.0329453539945875,0,0,0,0.112011385526428,0.0776227077062226,0.0184852835131713,0.0608978344722171,0.165092639390527,0.226032565865355,0,0.38,0.299044428026155,0.941431974493805
"GSM5033955",0.0398532296449534,0,0.0415741157597503,0,0,0.0897678245244588,0.106673149609032,0,0.0221592292862787,0.129442252255088,0,0.0643037732874766,0,0,0.0225167378448363,0.138652073531278,0,0,0,0.0636913661692059,0.281366248087643,0,0.26,0.417229148272084,0.892475393243934
"GSM5033958",0.0413453110742044,0,0.0719446176931727,0,0.0285818501190983,0.0884436151086545,0.0335754810114802,0,0.0611758717855632,0.0500128262557415,0,0.0370563914295028,0.00666416370808169,0,0,0.06074270750331,0.127085549666169,0.00138454968231395,0.0730998780556394,0.318887186907068,0,0,0.467,0.215757967193328,0.996681506006367
"GSM5033960",0.0427756836148718,0,0.0896845324334618,0,0.00385200287569675,0.06743886959018,0.0306210017586992,0,0.01923859453673,0.0684300673321292,0,0.0415559760944424,0.0255625079726897,0,0.00238334271181652,0,0,0.000599018588637137,0,0.607858402490646,0,0,0.146,0.537525335291715,0.834297697664625
"GSM5033962",0.0296719527434556,0,0.0197829264427823,0,0.0139033240866594,0.0640803879476016,0.0868459690498529,0.00474379191311202,0.0244014266589546,0.0804451561226045,0,0.00979235075054466,0,0,0,0.179562500401028,0.0923681020062245,0,0.0741574214837046,0.279196412965799,0,0.0410482774276762,0.278,0.404587231699198,0.907132763643535
