"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","B_cells_naive","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.609,0.435,32,0.161804177853819,"Esophageal","PD-(L)1",0.995029904285351
"2","R vs NR","B_cells_memory","ICB_VanDenEnde__Esophageal__PD-(L)1",8.637,1237.649,32,0.994431886631764,"Esophageal","PD-(L)1",0.995029904285351
"3","R vs NR","Plasma_cells","ICB_VanDenEnde__Esophageal__PD-(L)1",0.434,0.403,32,0.281336508212221,"Esophageal","PD-(L)1",0.995029904285351
"4","R vs NR","T_cells_CD8","ICB_VanDenEnde__Esophageal__PD-(L)1",-2.901,405.597,32,0.994292793094985,"Esophageal","PD-(L)1",0.995029904285351
"5","R vs NR","T_cells_CD4_naive","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.092,0.365,32,0.800109075091148,"Esophageal","PD-(L)1",0.995029904285351
"6","R vs NR","T_cells_CD4_memory_resting","ICB_VanDenEnde__Esophageal__PD-(L)1",0.395,0.396,32,0.318164565125102,"Esophageal","PD-(L)1",0.995029904285351
"7","R vs NR","T_cells_CD4_memory_activated","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.074,0.363,32,0.838531723178894,"Esophageal","PD-(L)1",0.995029904285351
"8","R vs NR","T_cells_follicular_helper","ICB_VanDenEnde__Esophageal__PD-(L)1",-28.507,4576.466,32,0.995029904285351,"Esophageal","PD-(L)1",0.995029904285351
"9","R vs NR","T_cells_regulatory_.Tregs.","ICB_VanDenEnde__Esophageal__PD-(L)1",0.649,0.488,32,0.183320431464595,"Esophageal","PD-(L)1",0.995029904285351
"10","R vs NR","T_cells_gamma_delta","ICB_VanDenEnde__Esophageal__PD-(L)1",0.234,0.385,32,0.543804159539538,"Esophageal","PD-(L)1",0.995029904285351
"11","R vs NR","NK_cells_activated","ICB_VanDenEnde__Esophageal__PD-(L)1",0.106,0.393,32,0.786531659697895,"Esophageal","PD-(L)1",0.995029904285351
"12","R vs NR","Monocytes","ICB_VanDenEnde__Esophageal__PD-(L)1",0.253,0.392,32,0.51840377429991,"Esophageal","PD-(L)1",0.995029904285351
"13","R vs NR","Macrophages_M0","ICB_VanDenEnde__Esophageal__PD-(L)1",9.593,1284.458,32,0.994040938615695,"Esophageal","PD-(L)1",0.995029904285351
"14","R vs NR","Macrophages_M1","ICB_VanDenEnde__Esophageal__PD-(L)1",0.212,0.409,32,0.603699491570466,"Esophageal","PD-(L)1",0.995029904285351
"15","R vs NR","Macrophages_M2","ICB_VanDenEnde__Esophageal__PD-(L)1",0.225,0.377,32,0.551287149201321,"Esophageal","PD-(L)1",0.995029904285351
"16","R vs NR","Dendritic_cells_resting","ICB_VanDenEnde__Esophageal__PD-(L)1",0.379,0.397,32,0.339369551677318,"Esophageal","PD-(L)1",0.995029904285351
"17","R vs NR","Dendritic_cells_activated","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.112,0.364,32,0.75725841381621,"Esophageal","PD-(L)1",0.995029904285351
"18","R vs NR","Mast_cells_resting","ICB_VanDenEnde__Esophageal__PD-(L)1",0.097,0.367,32,0.792601717688588,"Esophageal","PD-(L)1",0.995029904285351
"19","R vs NR","Mast_cells_activated","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.357,0.378,32,0.345095959370078,"Esophageal","PD-(L)1",0.995029904285351
"20","R vs NR","Eosinophils","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.129,0.352,32,0.71367961903478,"Esophageal","PD-(L)1",0.995029904285351
"21","R vs NR","Neutrophils","ICB_VanDenEnde__Esophageal__PD-(L)1",-0.422,0.384,32,0.272501053424529,"Esophageal","PD-(L)1",0.995029904285351
