"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Pat02",0.017839337189311,0,0,0.0202499479233747,0,0,0,0.0379115074372002,0.0194140320278826,0,0.00365429912693841,0.00866023572230591,0.0126943828092927,0.560137165909523,0.0158275523578758,0.254273050438125,0,0,0.0493384890581704,0,0,0,0,0.773710903809936,0.638587245401637
"Pat03",0,0.00257124921278286,0,0,0,0.264572723453544,0,0.00549999352068638,0.0794501995024774,0,0.00307280512960614,0,0.0750902281152163,0.024349957731578,0.0112129668008588,0.301478985279995,0.0567984986938245,0,0.17590239255943,0,0,0,0.093,0.11113627967227,1.04201173659519
"Pat04",0.0025417191218862,0,0.00855721813720616,0.250663599686612,0,0,0.000373064679994662,0.184289138899004,0.0160544473014937,0,0,0.0463581395272727,0.0519906781911437,0.120451047345634,0.0314119334812969,0.23810045791375,0.00753232671778834,0,0,0.0338023615792095,0.00787386741770783,0,0.342,0.0462875568450772,1.08354093171635
"Pat06",0.0503139779838867,0.0161275807247664,0.053131076957859,0.0956920550097584,0.170821588721126,0.0969467670381811,0.0938897894823812,0,0,0,0.0311279158649485,0,0.191306079897646,0.000724614760458325,0.0420179525237095,0.121935476179026,0.00614989225501052,0.0165761946313155,0.0132390379699265,0,0,0,0.00600000000000001,0.277094454092079,0.969524185648333
"Pat08",0,0.000944468584222393,0.0193079331932244,0.138556051566723,0.0649674746814232,0.00806278623056761,0.119564246089576,0.0951509895099857,0,0,0.00942295748242405,0.00907297201708516,0.0580604894031536,0.177633027261464,0.106033061244785,0.160797923224213,0.00733872572464883,0,0.0250868937865036,0,0,0,0.233,0.0653147534710339,1.065933138807
"Pat118",0,0,0.00312952629265231,0.0966718943046243,0.0376473533402739,0.276352477996766,0.00454462973274596,0.0245325736842647,0,0,0,0.0504948612762342,0.0698876356301222,0.00980283184002616,0.0200645312779582,0.317902817074385,0.00578006355323812,0,0.0831888039967095,0,0,0,0.034,0.177141566530066,1.02029763391952
"Pat119",0,0.137322641113754,0,0.119690219145707,0,0.22203846949781,0,0.0647512602656615,0,0,0.0204090193214434,0,0.098879803960175,0,0,0.260920975137168,0,0,0.0759876115582802,0,0,0,0.666,0.00473079503813926,1.08327041075712
"Pat123",0,0.011756318093456,0.0707825340873346,0,0.0595641894747661,0.209869865154829,0,0.13025072024375,0,0,0.0255337068932175,0.0288740702447945,0.110174511899608,0,0.0135883555079985,0.296021911587878,0.00438702588723099,0,0.0221162444853289,0,0.0170805464398069,0,0.687,0.00279964079092446,1.08223433089281
"Pat126",0,0.00783820662258799,0.0211784441279827,0,0,0.126833796214498,0,0.0708068920874051,0,0,0,0.117016267972048,0.084730277607656,0.0354496498920784,0.0810736812480853,0.358920316409106,0.084636317793172,0,0.0115161500253807,0,0,0,0.496,0.0246220091737892,1.09323936361036
"Pat14",0.0389917541280783,0,0.0714027452640986,0.0424360401709871,0.0668773044779934,0.255533534342533,0,0.00379491045982779,0,0,0.0264139211915698,0.0065603412919781,0.0737145133707965,0.206610952065207,0.0203768193429218,0.174277597611082,0,0,0,0.0130095662829264,0,0,0.00700000000000001,0.268909180985593,0.978611850471622
"Pat15",0.0018582105952084,0,0.000149783187196204,0,0,0.239917543831999,0,0.0103342437210934,0.0295309207090267,0,0.0853258637458532,0.00686874525435281,0,0.537216686920823,0.017924044273463,0,0,0,0.0577579135436931,0,0.0131160442172908,0,0.297,0.0533685845807985,1.13666991878846
"Pat16",0.0134939061871243,0,0,0,0.203071251161891,0.014790311429187,0,0.250311676233146,0,0.16519972866025,0,0,0.0285162542435842,0.0249762429483574,0.0385675076802821,0.219057216914057,0.0119302173341117,0,0.0300856872080082,0,0,0,0.17,0.0815245516728495,1.07200890282273
"Pat19",0.00347476593890416,0.0604393506298039,0.00522809366271514,0.105745815721397,0,0.0658005874797069,0.00872314834814819,0.0687865533612659,0.00341756290429783,0,0,0.0438326570414448,0.0420399003238102,0.288706154797304,0.0463870919916475,0.247371193659042,0.00269761715199793,0,0.00734950698851417,0,0,0,0.003,0.371909073457565,0.936455858196992
"Pat20",0,0.0226359345840173,0.139103477783844,0.198323983587845,0,0.0919749393747451,0,0.0685826504346933,0,0,0,0.0517862570223715,0.117917443862492,0.0438818996751484,0.018350917187845,0.193824658244006,0,0,0,0.0469081886976363,0.00670964954535697,0,0.707,0.000622999489723874,1.07818306164256
"Pat25",0.0675545492622225,0,0.175699207053879,0.190246245956162,1.39494155267863e-05,0,0.0100687437994851,0.114872958533298,0,0,0,0.0743524747914059,0.0553984214587884,0,0.0183436576836992,0.276801672842425,0,0.00633824681888612,0.0103098723842219,0,0,0,0.803,-0.00963409726914665,1.08046008837378
"Pat27",0.0124403194244969,0,0,0.0320246179969936,0.00419972337131507,0,0.02977586455104,0.0514296267644724,0,0.000136784888809247,0,0,0,0.451622306926491,0.000307310532676014,0.388869760021822,0,0,0.0291936855218839,0,0,0,0.003,0.361072080776833,0.982726529696383
"Pat28",0,0,0.00048009201112599,0.271717575674248,0,0,0.0777343333264882,0.159654360141408,0.0125032431036582,0,0,0.104707037475983,0.0484642477142767,0.0446886588181589,0.10870259162217,0.157422865015404,0,0,0,0.0139249950970794,0,0,0.168,0.0825320751858008,1.08513851359481
"Pat29",0.184412001628415,0.111632151789191,0.0632045529169521,0.0199705492734376,0.144457543877229,0.186027233128915,0.0539328550711158,0,0,0,0.0385274011172669,0,0.0165299859736442,0.0889941544591206,0.0118184703354105,0.0804931004293019,0,0,0,0,0,0,0.00900000000000001,0.251467986177925,0.986873433849915
"Pat33",0.123028208832022,0,0.0229384199228529,0.00874126846281552,0.0582863140472003,0,0,0.0527847029762721,0,0,0.00811082037266265,0,0.0462989661218363,0.129288249531177,0,0.465181763621117,0,0.0295649113115804,0,0.0557763748004632,0,0,0.471,0.028803262215327,1.10799695167678
"Pat36",0,0.0070364140267862,0,0.049412147609909,0,0.13470451696244,0,0.0410644194392673,0.0818655882487246,0,0.138974149443929,0,0.0391486905432963,0.35970696580207,0.0122133416838159,0.0152414530041342,0,0,0.111867889486814,0,0.00876442374881312,0,0.583,0.0143653042090162,1.10922850262107
"Pat37",0,0.0274446236473911,0.00658350612125749,0,0.00471436438782343,0.230869476535988,0,0.0378738227232564,0,0,0.00698285354166087,0.0784541387988927,0.111851457733317,0.134824149777034,0.0540018496846552,0.186318192939888,0.0152447804701062,0,0.104836783638729,0,0,0,0.343,0.0462537253416327,1.06733709752113
"Pat38",0.011930420262371,0,0.0221261177593585,0.226191426127512,0,0,0.0102281489912981,0.0842236722603986,0.00253431905590778,0,0,0.0940943791355691,0.0638409121330308,0.174409114600381,0.0511710661961037,0.202159827444753,0.00923115405144996,0,0,0.0478594419818664,0,0,0.011,0.235675953995843,1.00084958164128
"Pat39",0.0400195042647227,0.166221745524296,0,0.125496697901274,0.127164809180771,0.123384607244388,0,0,0,0,0,0.00393922835346211,0.0723072250280401,0,0.00431481850600047,0.240574874062762,0.0124793055498969,0,0.0840971843843852,0,0,0,0.003,0.3975124064898,0.917569819882004
"Pat40",0,0.00314829126422953,0.00437978490408653,0.0130159090873427,0,0.13659622170846,0,0.0173777391989455,0,0,0.0396281289419821,0.0317303782194254,0.0705109380539302,0.465140937184199,0.00446431590220993,0.136461809532467,0,0,0,0.0727472630643683,0.00479828293835324,0,0.014,0.222258962538199,1.0447415000317
"Pat41",0.00479654149752932,0,0.00215908520028363,0,0,0.536057417969729,0,0.0175299548829619,0.0115950674149741,0,0.0329925231865413,0.00461021285056146,0.0808469896147936,0.239870819706219,0.00194627050555712,0.0222775932883678,0,0,0.0333795766238628,0,0.0119379472586185,0,0.563,0.0164782575094184,1.11272796815139
"Pat43",0,0,0.0936487377865785,0.200912988944772,0.00122652580281641,0.0739809674625841,0,0.0203320471577363,0,0.0133332114918981,0,0.113073798301212,0.0246412982284351,0.00844623372333802,0.0394975504289079,0.27056366444378,0.0108193406809534,0,0.129523635546988,0,0,0,0.003,0.354105126849031,0.938275944636592
"Pat44",0.197528243973308,0,0,0.00811590193075529,0.0662293168351392,0,0,0.0689341199554867,0,0,0.0924793044071749,0,0.0211519592692568,0,0,0.155293688632958,0.185136232432526,0,0.164333146045521,0.0407980865178751,0,0,0.944,-0.032183854989494,1.09189572870738
"Pat45",0.0929541546884298,0,0.135375216854552,0,0.0467587883635412,0,0,0.103860352844168,0,0,0.111849263523316,0,0,0.26457793893316,0,0.135780254553378,0,0,0,0.108844030239454,0,0,0.89,-0.02289371019471,1.10520247439101
"Pat46",0,0.00872885213151393,0,0.0129264079929584,0.0163392297895294,0.149265549276349,0,0.0158004593414687,0,0,0.0241314102453497,0.0330032188341839,0.0892981542925391,0.298288726087619,0.0150646318364624,0.256610648653207,0,0,0,0.0736745431327542,0.0068681683860653,0,0.052,0.141909896446518,1.06260775325259
"Pat47",0.00104802219153415,0.010714372911176,0.131442539400014,0,0.039593988331636,0.0786661770765244,0,0.0687077495744182,0.0201510547887013,0,0.0670127843684226,0,0.0789490202470241,0.111278995974182,0.00287116474709369,0.191674021258992,0,0,0.187122415079895,0,0.0107676940503865,0,0.542,0.0190975722600031,1.06343403815614
"Pat49",0.00586508023031906,0.0731725473077739,0.0790847172220173,0.331048869213804,0.0262987184066786,0,0.0952962085793947,0.0514853277301899,0.0174320638596197,0,0,0.0748054861736518,0.0173854640986503,0,0.0894665834149113,0.120308956212852,0.0102786390275999,0,0,0.0054665957966575,0,0.00260474272587995,0.004,0.344402825452794,0.948292877994246
"Pat50",0.117383852710811,0,0.0714011453789049,0.157327894735833,0,0,0.168604858949639,0.0682637258051937,0,0,0.0200451141138952,0,0.0144103518919209,0.170874584871208,0.0312771322707756,0.16360796399348,0.00204367294721215,0,0.0147597023311273,0,0,0,0.483,0.027132891798948,1.0656967792913
"Pat79",0.14046611997122,0,0.0820723808567698,0.214394664681593,0.0467461287174806,0,0.0854218274378023,0.116651963732385,0,0,0.0070383932968871,0.00862465358715211,0.0525458261016745,0.011609510273191,0.0585151580063531,0.109747168690664,0.0654429209794447,0,0.000723283667382092,0,0,0,0.896,-0.0241727877034207,1.0877573309003
"Pat80",0.0493632756041945,0,0.0218794379597503,0.074310091015762,0.0002619123681092,0,0.0478768359533097,0.0784539135440113,0.00606031087784607,0,0.00878493856464367,0.0181737506980631,0.00764677599488963,0.473402311906225,0.0567283115076939,0.157058134005502,0,0,0,0,0,0,0.026,0.189227750677065,1.05803726781848
"Pat81",0,0.00195862122877248,0.00268177854839704,0,0.0163813625569226,0.183008425437526,0,0.0618255559470763,0,0,0.0600315340875299,0.0138593540365998,0.131933856872434,0.0465407836111131,0.00351126940784844,0.236729203578082,0.00148371323955215,0,0.240054541448147,0,0,0,0.886,-0.0220861943671364,1.09778953375263
"Pat83",0.0673474709157108,0,0.144151010291137,0.302585626115342,0,0.0179738437324934,0,0.0330412748678399,0.0680175409603866,0,0,0.0819134633056917,0.0261289528280467,0,0.0739547199650225,0.184886097018329,0,0,0,0,0,0,0.037,0.167114942072554,1.02706328444074
"Pat85",0,0.00690532989670531,0.0362309310034953,0.240506798550872,0,0.125319134118434,0,0.144514198285353,0.0355515431905357,0,0,0.0771946277122853,0.040480794870825,0,0.084955778082185,0.189773690853444,0,0,0,0.0175221524752986,0,0.00104502096056707,0.00900000000000001,0.250921619758205,0.997750446296057
"Pat86",0,0.0149132148909991,0.000335674369956475,0.102723094015599,0,0.0855482014889772,0,0.0253299361191788,0,0,0,0.00498398551449921,0.149884757822372,0.154636019076599,0.0023340441345332,0.228182702242489,0.00489865462013991,0,0.226229715704657,0,0,0,0.606,0.0111874917217516,1.0943455595017
"Pat88",0.0109838260909907,0,0.073140173837668,0.273054213374381,0,0,0.0190110410040175,0.0888359951391995,0.0138227780626027,0.0106635396093968,0,0.0788155429848602,0.0814598556889269,0.133017127183244,0.125242318304535,0.0518797125095552,0.00605540734181181,0,0,0.0340184688688101,0,0,0.012,0.234526232657668,1.00240212021054
"Pat90",9.45150884430377e-05,0.0151541945593066,0,0.150691957212496,0.0606069919029603,0.24110758155208,0,0.0169076688502324,0,0,0.0415922002033317,0,0.0882476321552002,0.126875331897333,0.047810288896915,0.169480348524229,0.00736649761636167,0,0.0340647915411109,0,0,0,0.367,0.0436415243502619,1.08079102232808
"Pat91",0.0283590782898848,0,0.117158027804184,0.0773302644313131,0.032309610063846,0,0,0.100481850892177,0,0,0,0.0787226960837954,0.025449526233558,0.0602508961563086,0.059855105775377,0.344341675564505,0.0077587327512875,0,0,0.0617262951889745,0.00625624076478975,0,0.054,0.139925331490408,1.03182863871232
"Pat98",0.0473701784330129,0,0.000640241869398043,0.0680654770462249,0,0,0,0.104574860084151,0,0,0,0.0354335751988293,0,0.543120407869089,0.036893744675867,0.145798738383031,0,0,0,0.0181027764403969,0,0,0.075,0.124201701202013,1.11781640232663
