"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","B_cells_naive","ICB_Van_Allen__Melanoma__CTLA4",0.043,0.181,42,0.81157390480355,"Melanoma","CTLA4",0.981746174759454
"HR1","OS","B_cells_memory","ICB_Van_Allen__Melanoma__CTLA4",-0.609,0.365,42,0.095605412599437,"Melanoma","CTLA4",0.463334643239296
"HR2","OS","Plasma_cells","ICB_Van_Allen__Melanoma__CTLA4",-0.02,0.194,42,0.917611171576397,"Melanoma","CTLA4",0.981746174759454
"HR3","OS","T_cells_CD8","ICB_Van_Allen__Melanoma__CTLA4",-0.452,0.21,42,0.0315815028994766,"Melanoma","CTLA4",0.347396531894243
"HR4","OS","T_cells_CD4_naive","ICB_Van_Allen__Melanoma__CTLA4",-0.091,0.192,42,0.634151977717451,"Melanoma","CTLA4",0.871958969361495
"HR5","OS","T_cells_CD4_memory_resting","ICB_Van_Allen__Melanoma__CTLA4",0.312,0.185,42,0.0908167383847992,"Melanoma","CTLA4",0.463334643239296
"HR6","OS","T_cells_CD4_memory_activated","ICB_Van_Allen__Melanoma__CTLA4",-0.016,0.227,42,0.945114798107382,"Melanoma","CTLA4",0.981746174759454
"HR7","OS","T_cells_follicular_helper","ICB_Van_Allen__Melanoma__CTLA4",-0.178,0.193,42,0.357603345257162,"Melanoma","CTLA4",0.611124314499864
"HR8","OS","T_cells_regulatory_.Tregs.","ICB_Van_Allen__Melanoma__CTLA4",-0.008,0.237,42,0.97231340387221,"Melanoma","CTLA4",0.981746174759454
"HR9","OS","T_cells_gamma_delta","ICB_Van_Allen__Melanoma__CTLA4",-0.004,0.158,42,0.981746174759454,"Melanoma","CTLA4",0.981746174759454
"HR10","OS","NK_cells_resting","ICB_Van_Allen__Melanoma__CTLA4",0.456,0.195,42,0.0195646533540408,"Melanoma","CTLA4",0.347396531894243
"HR11","OS","NK_cells_activated","ICB_Van_Allen__Melanoma__CTLA4",-0.225,0.204,42,0.270556377647488,"Melanoma","CTLA4",0.611124314499864
"HR12","OS","Monocytes","ICB_Van_Allen__Melanoma__CTLA4",0.109,0.201,42,0.588375645061382,"Melanoma","CTLA4",0.862950946090027
"HR13","OS","Macrophages_M0","ICB_Van_Allen__Melanoma__CTLA4",0.229,0.176,42,0.192773750529588,"Melanoma","CTLA4",0.605860358807278
"HR14","OS","Macrophages_M1","ICB_Van_Allen__Melanoma__CTLA4",-0.313,0.205,42,0.126363993610717,"Melanoma","CTLA4",0.463334643239296
"HR15","OS","Macrophages_M2","ICB_Van_Allen__Melanoma__CTLA4",-0.185,0.214,42,0.385963635014521,"Melanoma","CTLA4",0.611124314499864
"HR16","OS","Dendritic_cells_resting","ICB_Van_Allen__Melanoma__CTLA4",0.054,0.184,42,0.771091029749314,"Melanoma","CTLA4",0.981746174759454
"HR17","OS","Dendritic_cells_activated","ICB_Van_Allen__Melanoma__CTLA4",0.171,0.155,42,0.271097101949597,"Melanoma","CTLA4",0.611124314499864
"HR18","OS","Mast_cells_resting","ICB_Van_Allen__Melanoma__CTLA4",0.158,0.172,42,0.358502914818421,"Melanoma","CTLA4",0.611124314499864
"HR19","OS","Mast_cells_activated","ICB_Van_Allen__Melanoma__CTLA4",0.312,0.199,42,0.117203774064745,"Melanoma","CTLA4",0.463334643239296
"HR20","OS","Eosinophils","ICB_Van_Allen__Melanoma__CTLA4",0.153,0.164,42,0.351755032594791,"Melanoma","CTLA4",0.611124314499864
"HR21","OS","Neutrophils","ICB_Van_Allen__Melanoma__CTLA4",-0.26,0.302,42,0.388897291045368,"Melanoma","CTLA4",0.611124314499864
