"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Van_Allen__Melanoma__CTLA4",0.016,0.167,42,0.921698613477422,"Melanoma","CTLA4",0.979247102874889
"HR1","PFS","B_cells_memory","ICB_Van_Allen__Melanoma__CTLA4",-0.18,0.178,42,0.311352041156285,"Melanoma","CTLA4",0.827526923158623
"HR2","PFS","Plasma_cells","ICB_Van_Allen__Melanoma__CTLA4",-0.158,0.192,42,0.410415470948825,"Melanoma","CTLA4",0.827526923158623
"HR3","PFS","T_cells_CD8","ICB_Van_Allen__Melanoma__CTLA4",-0.209,0.175,42,0.231200849629768,"Melanoma","CTLA4",0.827526923158623
"HR4","PFS","T_cells_CD4_naive","ICB_Van_Allen__Melanoma__CTLA4",-0.233,0.201,42,0.2450554495794,"Melanoma","CTLA4",0.827526923158623
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Van_Allen__Melanoma__CTLA4",0.227,0.177,42,0.201133863998558,"Melanoma","CTLA4",0.827526923158623
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Van_Allen__Melanoma__CTLA4",0.135,0.179,42,0.451378321722885,"Melanoma","CTLA4",0.827526923158623
"HR7","PFS","T_cells_follicular_helper","ICB_Van_Allen__Melanoma__CTLA4",-0.153,0.176,42,0.38393786471246,"Melanoma","CTLA4",0.827526923158623
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Van_Allen__Melanoma__CTLA4",0.146,0.189,42,0.440334769839033,"Melanoma","CTLA4",0.827526923158623
"HR9","PFS","T_cells_gamma_delta","ICB_Van_Allen__Melanoma__CTLA4",0.047,0.162,42,0.770868693191119,"Melanoma","CTLA4",0.979247102874889
"HR10","PFS","NK_cells_resting","ICB_Van_Allen__Melanoma__CTLA4",0.347,0.192,42,0.0699989603759604,"Melanoma","CTLA4",0.827526923158623
"HR11","PFS","NK_cells_activated","ICB_Van_Allen__Melanoma__CTLA4",-0.004,0.169,42,0.979247102874889,"Melanoma","CTLA4",0.979247102874889
"HR12","PFS","Monocytes","ICB_Van_Allen__Melanoma__CTLA4",-0.065,0.188,42,0.729242705901396,"Melanoma","CTLA4",0.979247102874889
"HR13","PFS","Macrophages_M0","ICB_Van_Allen__Melanoma__CTLA4",0.204,0.158,42,0.196309665313511,"Melanoma","CTLA4",0.827526923158623
"HR14","PFS","Macrophages_M1","ICB_Van_Allen__Melanoma__CTLA4",-0.149,0.172,42,0.386229946534691,"Melanoma","CTLA4",0.827526923158623
"HR15","PFS","Macrophages_M2","ICB_Van_Allen__Melanoma__CTLA4",-0.188,0.174,42,0.279066407242278,"Melanoma","CTLA4",0.827526923158623
"HR16","PFS","Dendritic_cells_resting","ICB_Van_Allen__Melanoma__CTLA4",0.08,0.194,42,0.679008085596495,"Melanoma","CTLA4",0.979247102874889
"HR17","PFS","Dendritic_cells_activated","ICB_Van_Allen__Melanoma__CTLA4",0.011,0.146,42,0.940773761429793,"Melanoma","CTLA4",0.979247102874889
"HR18","PFS","Mast_cells_resting","ICB_Van_Allen__Melanoma__CTLA4",0.075,0.166,42,0.649614030240786,"Melanoma","CTLA4",0.979247102874889
"HR19","PFS","Mast_cells_activated","ICB_Van_Allen__Melanoma__CTLA4",0.026,0.198,42,0.895057912040229,"Melanoma","CTLA4",0.979247102874889
"HR20","PFS","Eosinophils","ICB_Van_Allen__Melanoma__CTLA4",-0.116,0.178,42,0.5129001210384,"Melanoma","CTLA4",0.867984820218831
"HR21","PFS","Neutrophils","ICB_Van_Allen__Melanoma__CTLA4",0.01,0.152,42,0.946413553930148,"Melanoma","CTLA4",0.979247102874889
