"Study","N","Expression","Age_Median","Age_IQR","Age_NA","Female","Male","Sex_NA","Cancer_Type","Treatment_Type","No_Response","Response","No_Progression","Progressed","PFS_Median","PFS_IQR","Alive","Dead","OS_Median","OS_IQR"
"ICB_Abacus__Bladder__PD-(L)1",84,"TPM",NA,NA,84,0,0,84,"Bladder","PD-1/PD-L1",23,17,0,0,NA,NA,0,0,NA,NA
"ICB_Auslander__Melanoma__PD-(L)1",27,"TPM",72,28.5,0,0,0,27,"Melanoma","PD-1/PD-L1",26,1,0,0,NA,NA,0,0,NA,NA
"ICB_Cloughesy__Brain__PD-(L)1",28,"TPM",63.2,11.2,0,17,11,0,"Brain","PD-1/PD-L1",21,1,1,27,2.6,3.4,8,20,9.1,7.4
"ICB_Damrauer__Bladder__PD-(L)1",90,"TPM",70,14,0,34,56,0,"Bladder","PD-1/PD-L1",69,17,10,79,2.1,3.6,33,57,5.9,7.9
"ICB_Fehrenbacher__Lung__PD-(L)1",95,"TPM",NA,NA,95,27,68,0,"Lung","PD-1/PD-L1",56,14,5,90,2.8,7.1,16,79,11.1,20.1
"ICB_Gide__Melanoma__PD-(L)1",41,"TPM",66,21,0,15,26,0,"Melanoma","PD-1/PD-L1",19,19,12,29,9,27,17,24,20.2,30.5
"ICB_Hugo__Melanoma__PD-(L)1",27,"TPM",61,14.5,0,8,19,0,"Melanoma","PD-1/PD-L1",13,14,0,0,NA,NA,15,12,14.4,18.2
"ICB_IMmotion150__Kidney__PD-(L)1",107,"TPM",NA,NA,107,0,0,107,"Kidney","PD-1/PD-L1",32,22,0,0,NA,NA,0,0,NA,NA
"ICB_Jerby_Arnon__Melanoma__PD-(L)1",112,"TPM",NA,NA,112,49,56,7,"Melanoma","PD-1/PD-L1",53,43,33,72,3.9,10.4,0,0,NA,NA
"ICB_Jung__Lung__PD-(L)1",27,"TPM",62,10,0,5,22,0,"Lung","PD-1/PD-L1",19,8,6,21,2,5.1,0,0,NA,NA
"ICB_Kim__Gastric__PD-(L)1",45,"TPM",NA,NA,45,0,0,45,"Gastric","PD-1/PD-L1",18,13,0,0,NA,NA,0,0,NA,NA
"ICB_Limagne1__Lung__PD-(L)1",70,"TPM",NA,NA,70,0,0,70,"Lung","PD-1/PD-L1",52,17,18,52,2.7,3.8,0,0,NA,NA
"ICB_Limagne2__Lung__PD-(L)1",26,"TPM",NA,NA,26,0,0,26,"Lung","PD-1/PD-L1",16,6,6,20,3.1,10.4,0,0,NA,NA
"ICB_Liu__Melanoma__IO+combo",47,"TPM",NA,NA,47,20,27,0,"Melanoma","IO+combo",26,17,10,37,3.4,24.2,16,31,14,25
"ICB_Liu__Melanoma__PD-(L)1",74,"TPM",NA,NA,74,30,44,0,"Melanoma","PD-1/PD-L1",34,35,25,49,6.4,17.9,43,31,19,17.6
"ICB_Mariathasan__Bladder__PD-(L)1",195,"TPM",NA,NA,195,42,153,0,"Bladder","PD-1/PD-L1",91,42,0,0,NA,NA,67,128,8.9,15.9
"ICB_Mariathasan__Kidney__PD-(L)1",67,"TPM",NA,NA,67,10,57,0,"Kidney","PD-1/PD-L1",37,9,0,0,NA,NA,20,47,7,11.3
"ICB_Mariathasan__Ureteral__PD-(L)1",26,"TPM",NA,NA,26,10,16,0,"Ureteral","PD-1/PD-L1",13,5,0,0,NA,NA,8,18,10.3,15.4
"ICB_Miao1__Kidney__PD-(L)1",33,"TPM",64,8,0,9,24,0,"Kidney","PD-1/PD-L1",18,10,25,8,2.9,11.7,10,23,12.4,14.2
"ICB_Padron__Pancreas__PD-(L)1",45,"TPM",62,12,0,19,26,0,"Pancreas","PD-1/PD-L1",20,3,6,39,5.8,6.2,11,34,9.7,11.3
"ICB_Powles__Bladder__PD-(L)1",148,"TPM",NA,NA,148,0,0,148,"Bladder","PD-1/PD-L1",46,27,0,0,NA,NA,0,0,NA,NA
"ICB_Puch__Melanoma__PD-(L)1",55,"TPM",NA,NA,55,0,0,55,"Melanoma","PD-1/PD-L1",35,14,0,0,NA,NA,0,0,NA,NA
"ICB_Ravi__Lung__PD-(L)1",130,"TPM",64,15,1,70,60,0,"Lung","PD-1/PD-L1",62,45,27,91,4.1,7.9,62,63,10.7,14.6
"ICB_Rittmeyer__Lung__PD-(L)1",344,"TPM",NA,NA,344,125,219,0,"Lung","PD-1/PD-L1",221,53,30,314,2.5,5.5,107,237,10.8,16.9
"ICB_Snyder__Ureteral__PD-(L)1",25,"TPM",68,12,0,3,22,0,"Ureteral","PD-1/PD-L1",10,8,6,19,2.5,11.1,8,17,11.6,15.3
"ICB_Van_Allen__Melanoma__CTLA4",42,"TPM",61,24,0,14,28,0,"Melanoma","CTLA4",30,9,6,36,2.8,7,13,29,12.8,27.8
"ICB_VanDenEnde__Esophageal__PD-(L)1",35,"TPM",NA,NA,35,0,0,35,"Esophageal","PD-1/PD-L1",20,12,0,0,NA,NA,0,0,NA,NA
