"Treatment","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PD-(L)1","B_cells_naive",0.0301012392006243,0.0416813794237511,-0.0515927632958766,0.111795241697125,0.470187053647863,0.183170536106988,0.253739646422541,0.544120016931691
"PD-(L)1","B_cells_memory",-0.0384798000294918,0.0563456148502749,-0.148915175822796,0.0719555757638122,0.494654560846991,0.389917361602815,0.0670450830976527,0.544120016931691
"PD-(L)1","Plasma_cells",-0.0785271327401135,0.0539695228104437,-0.184305453711396,0.027251188231169,0.145661684936652,0.367144929727289,0.0824991340520513,0.274006411429843
"PD-(L)1","T_cells_CD8",-0.0499159524435638,0.0557822722106456,-0.159247196952239,0.0594152920651112,0.370875078158551,0.347281340138849,0.0973069449363404,0.509953232468007
"PD-(L)1","T_cells_CD4_naive",0.07916615494984,0.0352108887309752,0.0101540811734813,0.148178228726199,0.0245543272467013,0.400404864855072,0.0668309319619731,0.116393123455722
"PD-(L)1","T_cells_CD4_memory_resting",0.0328853186013967,0.0428141632546554,-0.0510288994059461,0.11679953660874,0.442431109686296,0.27352212849143,0.161564251717134,0.540749134061028
"PD-(L)1","T_cells_CD4_memory_activated",-0.0588788938283458,0.0515015416985848,-0.15982006070586,0.0420622730491681,0.252936772294755,0.300159616858319,0.144159335767224,0.428046845421893
"PD-(L)1","T_cells_follicular_helper",-0.0510660007207142,0.0541326798806577,-0.157164103673439,0.0550321022320109,0.345502502546971,0.431710991174376,0.0431925566460406,0.506737003735557
"PD-(L)1","T_cells_regulatory_.Tregs.",0.0893065974793742,0.0529254518191749,-0.0144253819517186,0.193038576910467,0.0915257737281307,0.415531797967147,0.0517172898796064,0.225926573430114
"PD-(L)1","T_cells_gamma_delta",-0.0214339211110256,0.0491321944860102,-0.117731252785023,0.0748634105629717,0.662655335807706,0.342957354995963,0.100686054347577,0.69421035179855
"PD-(L)1","NK_cells_resting",0.0988988202961537,0.032982059586499,0.0342551713706616,0.163542469221646,0.00271255076494044,0,0.743551791872541,0.0298380584143448
"PD-(L)1","NK_cells_activated",-0.0558668630369844,0.0387574488990013,-0.131830067011679,0.0200963409377097,0.149458042598096,0,0.484015637898811,0.274006411429843
"PD-(L)1","Monocytes",0.113112848641123,0.0467712223502018,0.0214429373218122,0.204782759960433,0.0155877164033615,0.369356584698311,0.0809253726804436,0.114309920291317
"PD-(L)1","Macrophages_M0",0.123707988655612,0.0353350114078219,0.0544526389029693,0.192963338408255,0.000463510246441144,0.0897576835962017,0.354294286844984,0.0101972254217052
"PD-(L)1","Macrophages_M1",-0.0859802225785099,0.0476685981069021,-0.179408958061552,0.00744851290453243,0.0712771249506123,0.3254852059232,0.114876131981705,0.225926573430114
"PD-(L)1","Macrophages_M2",0.0818286439878541,0.0368681155838124,0.00956846526572185,0.154088822709986,0.0264529826035733,0.152289394806753,0.286883581712281,0.116393123455722
"PD-(L)1","Dendritic_cells_resting",0.0512570373368006,0.0635803954408288,-0.0733582478500385,0.17587232252364,0.420140935559196,0.54614325147908,0.00735200915929589,0.540749134061028
"PD-(L)1","Dendritic_cells_activated",0.0594650915875373,0.0353823025640515,-0.00988294712810281,0.128813130303177,0.092831880267511,0.178564944382643,0.263542866216903,0.225926573430114
"PD-(L)1","Mast_cells_resting",0.00515327800409514,0.0468601407308114,-0.0866909101387735,0.0969974661469638,0.912432010711101,0.199765541499155,0.247369994857985,0.912432010711101
"PD-(L)1","Mast_cells_activated",0.0846786120503437,0.0478492708716334,-0.00910423554455914,0.178461459645247,0.0767779750064199,0.398323446734043,0.0617703375483607,0.225926573430114
"PD-(L)1","Eosinophils",0.0337042590944811,0.0346929570170645,-0.0342926871761614,0.101701205365124,0.331298616387483,0,0.844532447239228,0.506737003735557
"PD-(L)1","Neutrophils",0.074280150216191,0.0455167057156412,-0.0149309536813741,0.163491254113756,0.102693897013688,0.250449481808445,0.184063471033867,0.225926573430114
